Factor,Term,NES,P-value,Adj. P-value
Factor 1,EPHB,-1.233784,0.04545455,0.52052056
Factor 1,LAMININ,1.129901,0.1121121,0.758912676923077
Factor 1,COLLAGEN,1.025257,0.3603604,1.0
Factor 1,ncWNT,-1.0,1.0,1.0
Factor 1,MK,0.9767205,0.5632066,1.0
Factor 1,SEMA4,0.9289547,0.6836216,1.0
Factor 1,ANGPTL,0.9057897,0.7472081,1.0
Factor 1,THBS,0.8745406,0.8445336,1.0
Factor 1,EPHA,-0.8582984,1.0,1.0
Factor 1,NOTCH,0.8471928,0.955956,1.0
Factor 1,FGF,0.7577979,0.9648241,1.0
Factor 2,FGF,-1.286174,0.001,0.0176
Factor 2,EPHB,1.209475,0.1008147,0.7393078
Factor 2,THBS,1.201068,0.06506507,0.52052056
Factor 2,EPHA,1.085363,0.2906155,1.0
Factor 2,LAMININ,1.002855,0.4694695,1.0
Factor 2,NOTCH,0.9977667,0.4934935,1.0
Factor 2,SEMA4,0.8317106,0.8642351,1.0
Factor 2,MK,0.825061,0.8531541,1.0
Factor 2,COLLAGEN,0.7997458,0.990991,1.0
Factor 2,ANGPTL,0.7955251,0.9200405,1.0
Factor 2,ncWNT,0.7267926,0.998999,1.0
Factor 3,SEMA4,-1.2392,0.001,0.0176
Factor 3,NOTCH,1.088559,0.2262262,1.0
Factor 3,ANGPTL,1.020323,0.4550959,1.0
Factor 3,MK,1.019609,0.4637224,1.0
Factor 3,EPHB,0.9736107,0.5608247,1.0
Factor 3,THBS,0.9527135,0.6174699,1.0
Factor 3,LAMININ,0.8479113,0.8867735,1.0
Factor 3,COLLAGEN,0.8268748,0.958959,1.0
Factor 3,FGF,0.798988,0.8990918,1.0
Factor 3,ncWNT,0.7707121,0.977978,1.0
Factor 3,EPHA,0.7520907,0.9256966,1.0
Factor 4,EPHB,1.116086,0.2795478,1.0
Factor 4,LAMININ,1.090153,0.2622623,1.0
Factor 4,NOTCH,0.933094,0.7017017,1.0
Factor 4,EPHA,0.9225362,0.6670072,1.0
Factor 4,MK,0.9219536,0.6663102,1.0
Factor 4,SEMA4,0.8698589,0.7323077,1.0
Factor 4,COLLAGEN,0.8621093,0.8958959,1.0
Factor 4,FGF,0.835015,0.8212121,1.0
Factor 4,THBS,0.8314703,0.8548549,1.0
Factor 4,ANGPTL,0.7949167,0.8651116,1.0
Factor 4,ncWNT,0.6696839,0.994995,1.0
Factor 5,COLLAGEN,1.133224,0.06006006,0.52052056
Factor 5,LAMININ,1.057679,0.2912913,1.0
Factor 5,NOTCH,0.998221,0.5095095,1.0
Factor 5,THBS,0.9725057,0.5985986,1.0
Factor 5,SEMA4,0.9548331,0.6247423,1.0
Factor 5,ANGPTL,0.8763946,0.8042596,1.0
Factor 5,MK,0.8631372,0.7860125,1.0
Factor 5,ncWNT,-0.8470948,1.0,1.0
Factor 5,EPHB,0.8417108,0.8306122,1.0
Factor 5,FGF,0.8355257,0.8743719,1.0
Factor 5,EPHA,0.705008,0.9766022,1.0
Factor 6,EPHB,-1.279319,0.02272727,0.3333332933333334
Factor 6,LAMININ,1.22887,0.06506507,0.52052056
Factor 6,THBS,1.091566,0.2802419,1.0
Factor 6,COLLAGEN,1.046617,0.3493493,1.0
Factor 6,NOTCH,1.041709,0.3837675,1.0
Factor 6,MK,1.039342,0.432319,1.0
Factor 6,SEMA4,0.9878153,0.5251799,1.0
Factor 6,EPHA,0.8904478,0.6989691,1.0
Factor 6,ANGPTL,0.8827652,0.704499,1.0
Factor 6,FGF,0.8080694,0.8713273,1.0
Factor 6,ncWNT,0.621608,1.0,1.0
Factor 7,FGF,-1.321521,0.001,0.0176
Factor 7,ANGPTL,-1.215757,0.001,0.0176
Factor 7,ncWNT,-1.0,1.0,1.0
Factor 7,EPHA,-0.982381,0.4736842,1.0
Factor 7,MK,-0.9499668,0.6666667,1.0
Factor 7,SEMA4,0.8741102,0.82263,1.0
Factor 7,THBS,0.826085,0.95996,1.0
Factor 7,LAMININ,0.8184256,0.984985,1.0
Factor 7,COLLAGEN,0.7188556,1.0,1.0
Factor 7,EPHB,0.6866038,0.9868154,1.0
Factor 7,NOTCH,0.664057,1.0,1.0
Factor 8,EPHA,-1.322802,0.001,0.0176
Factor 8,NOTCH,1.185054,0.06406406,0.52052056
Factor 8,MK,1.111837,0.2738589,1.0
Factor 8,THBS,1.014414,0.4523571,1.0
Factor 8,LAMININ,1.010734,0.4704705,1.0
Factor 8,COLLAGEN,0.8988096,0.8178178,1.0
Factor 8,FGF,0.8764051,0.7631579,1.0
Factor 8,EPHB,0.8293369,0.8362334,1.0
Factor 8,ANGPTL,0.8238456,0.848731,1.0
Factor 8,ncWNT,0.815479,0.9389389,1.0
Factor 8,SEMA4,0.7781431,0.8831967,1.0
