Factor,Term,NES,P-value,Adj. P-value
Factor 1,LAMININ,1.129901,0.1121121,0.758912676923077
Factor 1,COLLAGEN,1.025257,0.3603604,1.0
Factor 1,MK,0.9767205,0.5632066,1.0
Factor 1,SEMA4,0.9289547,0.6836216,1.0
Factor 1,ANGPTL,0.9057897,0.7472081,1.0
Factor 2,EPHB,1.209475,0.1008147,0.7393078
Factor 2,THBS,1.201068,0.06506507,0.52052056
Factor 2,EPHA,1.085363,0.2906155,1.0
Factor 2,LAMININ,1.002855,0.4694695,1.0
Factor 2,NOTCH,0.9977667,0.4934935,1.0
Factor 3,NOTCH,1.088559,0.2262262,1.0
Factor 3,ANGPTL,1.020323,0.4550959,1.0
Factor 3,MK,1.019609,0.4637224,1.0
Factor 3,EPHB,0.9736107,0.5608247,1.0
Factor 3,THBS,0.9527135,0.6174699,1.0
Factor 4,EPHB,1.116086,0.2795478,1.0
Factor 4,LAMININ,1.090153,0.2622623,1.0
Factor 4,NOTCH,0.933094,0.7017017,1.0
Factor 4,EPHA,0.9225362,0.6670072,1.0
Factor 4,MK,0.9219536,0.6663102,1.0
Factor 5,COLLAGEN,1.133224,0.06006006,0.52052056
Factor 5,LAMININ,1.057679,0.2912913,1.0
Factor 5,NOTCH,0.998221,0.5095095,1.0
Factor 5,THBS,0.9725057,0.5985986,1.0
Factor 5,SEMA4,0.9548331,0.6247423,1.0
Factor 6,LAMININ,1.22887,0.06506507,0.52052056
Factor 6,THBS,1.091566,0.2802419,1.0
Factor 6,COLLAGEN,1.046617,0.3493493,1.0
Factor 6,NOTCH,1.041709,0.3837675,1.0
Factor 6,MK,1.039342,0.432319,1.0
Factor 7,SEMA4,0.8741102,0.82263,1.0
Factor 7,THBS,0.826085,0.95996,1.0
Factor 7,LAMININ,0.8184256,0.984985,1.0
Factor 7,COLLAGEN,0.7188556,1.0,1.0
Factor 7,EPHB,0.6866038,0.9868154,1.0
Factor 8,NOTCH,1.185054,0.06406406,0.52052056
Factor 8,MK,1.111837,0.2738589,1.0
Factor 8,THBS,1.014414,0.4523571,1.0
Factor 8,LAMININ,1.010734,0.4704705,1.0
Factor 8,COLLAGEN,0.8988096,0.8178178,1.0
