,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
Actr2^Adrb2,0.07980242314189528,0.014684923129144729,0.019592099607060678,9.161928547640838e-11,0.0019813583131374937,0.00037082570875768706,0.021909888515314425,0.001384247890154711
Actr2^Ldlr,0.02454454734982152,0.006249451896016404,0.002827362171740925,0.01326656882759471,0.025977913691034454,0.006977385004661033,0.019619429144338337,0.020947750836367136
Ada^Dpp4,0.00047251089830262357,0.0019103538499384769,0.00042113840766198283,1.9912006699250953e-12,3.85854553559043e-05,0.00011425612866420476,0.0038591769473623992,3.668261845702513e-05
Adam10^Axl,0.035237552450184915,0.012174167236347129,8.493431627029498e-10,0.02501503812286859,0.1149711397680747,0.007232137280725887,0.033821934752361144,0.07082436672794262
Adam10^Cadm1,0.04628952702553567,0.009149921472333677,0.00514495465959979,5.265521493341132e-05,0.003600799547736611,4.005880134777982e-05,0.006075277047922455,1.5212934134076586e-06
Adam10^Cd44,0.07552665322930847,0.023254926442003724,0.01658026632329954,0.015423311671157009,0.023914976009900793,0.003508780497163673,0.01845425501581076,0.006890712950233093
Adam10^Gpnmb,1.4568813028925814e-36,1.7101721448832977e-14,1.0195275098465985e-23,7.89941400679692e-19,0.04449334988747443,1.2883199180241077e-10,0.0022607644317105876,0.03169900647632781
Adam10^Il6ra,0.0640910814752751,1.44743500032895e-07,6.211858844568026e-24,2.779917298289651e-20,0.0300401127226828,2.797502042448745e-05,0.0047764129757036375,0.011330526944424381
Adam10^Notch1,0.016060837407797506,0.0935941957314474,0.058561230312350984,0.005278516046664812,0.03455259122066281,0.02490617574168372,0.06458425897360007,0.010406929465937204
Adam10^Notch2,0.04128508071753826,0.02325178254377552,6.190689939409481e-06,0.017729912495689386,0.07387078703311528,0.01561883632007114,0.029624890005217033,0.029791496090881327
Adam10^Trem2,0.09784569308219761,0.004306995013109753,8.665853227041885e-06,1.9288432449929116e-18,0.0024774282610632156,1.1195686661742072e-08,0.004893065184195996,8.456861667761659e-15
Adam10^Tspan12,2.361342360981906e-37,0.07230332475674967,0.059692088222513436,0.056204328096585085,0.02361999951892416,0.00025301121933495594,0.04835058933365066,0.022228969092220604
Adam10^Tspan14,0.03810543697166162,0.058335525452624,0.03598518085074707,0.005354074080685618,0.012934241897789852,0.008651336167385846,0.03802396284818608,0.006301796260411932
Adam10^Tspan15,9.351560534167392e-25,0.037662344606951455,0.03316089995039473,0.018714172545518777,5.666772003943974e-17,3.9207001627209554e-09,0.022774679428238073,4.545369206041987e-12
Adam10^Tspan17,0.03389286208253048,0.05035683266783266,0.029897041699596647,0.03361083494229409,0.04026386561062177,0.010632363421377642,0.040941611508641756,0.01775045121049502
Adam10^Tspan5,0.002140835621174352,0.03501522555307028,0.018967351222160502,5.794290394781812e-11,0.03433267300602892,0.011761802246493728,0.027208264517177602,0.014747771007586874
Adam11^Itga4,0.004229156014856482,6.400223832357639e-34,0.000828094581513613,0.0009966137033064054,1.8377429587856716e-05,1.2327887741162395e-35,4.638160541355522e-17,0.001251436481749406
Adam15^Itga5,0.01795607008196221,0.05760941875723451,0.023250862908328476,0.013919405684532645,0.05702544738336497,0.021942809475130935,0.048109213067288374,0.008382671173618449
Adam15^Itga9,0.03695735905754153,0.040911922353698546,0.012778417067842421,0.00011670416084794556,0.05480594714456891,0.018272463262675138,0.03730862455437078,0.008128659114577535
Adam15^Itgav,0.0270000567001325,0.021204338526746223,9.407862222298928e-06,0.03761858163845879,0.07188721510688177,0.016385593847816585,0.03167511409232573,0.008995790034233701
