sender,receiver,weight
Fibroblasts,Leukocytes,0.4658571230050448
EndocardialCells,Leukocytes,0.45266572576177044
SmoothMuscleCells,Leukocytes,0.4240793405767544
EndothelialCells,Leukocytes,0.4093640786359149
Leukocytes,Leukocytes,0.3775946883088934
Myocytes,Leukocytes,0.2967612377706904
Fibroblasts,EndothelialCells,0.0007461572940137217
EndocardialCells,EndothelialCells,0.0007250288046438272
SmoothMuscleCells,EndothelialCells,0.0006792423633467721
EndothelialCells,EndothelialCells,0.0006556731197133309
Leukocytes,EndothelialCells,0.0006047885004850888
Myocytes,EndothelialCells,0.0004753186142454735
Fibroblasts,Myocytes,0.000373696913989651
EndocardialCells,Myocytes,0.0003631151622087088
SmoothMuscleCells,Myocytes,0.0003401840028505546
EndothelialCells,Myocytes,0.00032837985152542494
Leukocytes,Myocytes,0.00030289537884427623
Fibroblasts,Fibroblasts,0.00026538604743074043
EndocardialCells,Fibroblasts,0.0002578712696123847
SmoothMuscleCells,Fibroblasts,0.00024158638869085388
Myocytes,Myocytes,0.00023805315679471779
EndothelialCells,Fibroblasts,0.00023320350687894455
Leukocytes,Fibroblasts,0.00021510535508127132
Myocytes,Fibroblasts,0.00016905675159498384
Fibroblasts,EndocardialCells,0.00014442652283493796
EndocardialCells,EndocardialCells,0.00014033688345604223
SmoothMuscleCells,EndocardialCells,0.00013147444042617073
EndothelialCells,EndocardialCells,0.0001269123676150661
Leukocytes,EndocardialCells,0.00011706311909886826
Myocytes,EndocardialCells,9.200287291292299e-05
Fibroblasts,SmoothMuscleCells,8.752098593096641e-05
EndocardialCells,SmoothMuscleCells,8.504270657121108e-05
SmoothMuscleCells,SmoothMuscleCells,7.967215733616616e-05
EndothelialCells,SmoothMuscleCells,7.6907588180312e-05
Leukocytes,SmoothMuscleCells,7.093904497996145e-05
Myocytes,SmoothMuscleCells,5.5752793792751586e-05
