,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
1-M-63,0.20106607914349603,0.23042330129280442,0.2183984285364461,0.2093844428116286,0.2007874535285053,0.21803328348756204,0.2359775884604759,0.21440827699666504
18-F-50,0.21538387973499165,0.21514266884078298,0.2098009491762195,0.1870978431704777,0.20182625524407152,0.18941279954083443,0.24869391043514158,0.21678877811098338
18-M-52,0.14444534197212885,0.15746371090192404,0.14719790254973472,0.1405691026834061,0.18766541219289545,0.1673159537678465,0.1760811121958904,0.1966094605552304
18-M-53,0.2017627486019672,0.19682620103356147,0.1778036417776717,0.15217232996972313,0.19442665138214815,0.19284607150300667,0.20621039352958292,0.19175203446277508
21-F-54,0.20989316188433108,0.21004318716678136,0.20739074203345859,0.19995413060360387,0.20048703945309623,0.17890356351627207,0.23357461996313525,0.21233415777001857
21-F-55,0.22758896635889772,0.1969937014205125,0.2040176628253925,0.23459608765318413,0.1920400538101266,0.179153469729227,0.2521905261612844,0.2191932059206893
24-M-58,0.22714633594459951,0.19846522215186177,0.19339164287284066,0.18237364706086368,0.18476026110008234,0.16467545228495334,0.24864385184765248,0.1922844797752996
24-M-59,0.2051289578767712,0.21385927625586043,0.18241828987698208,0.15716018532646805,0.20866542056530116,0.18525401804660097,0.24431380976171557,0.20652550840499334
24_58_M,0.3178883223354503,0.21826885335466856,0.23290635819719416,0.3360485019996634,0.2056916576153567,0.2208289349083528,0.21154316985018595,0.2141789967940183
24_59_M,0.20844003402452488,0.2157150560938593,0.20537812609128434,0.2687152450450053,0.2171750523180811,0.2064371152815775,0.2122369919399086,0.2115168041277515
24_60_M,0.28490005360784054,0.15678725659824447,0.27837254961361907,0.32148662717332904,0.26674874003339677,0.2611590252967597,0.049677895481226385,0.19872926104332433
24_61_M,0.07362803774898663,0.26175819318870397,0.3011557327832644,0.38156210700164334,0.2736636652787356,0.2808521873313106,0.10868266073989527,0.2897544611996083
3-F-56,0.215001179184856,0.20800199645949888,0.20143428942455333,0.20393085888842802,0.18949578533247668,0.206137856971673,0.25068860589733905,0.20008786451524352
30-M-2,0.2422672412531981,0.2461794797172897,0.21229041561997372,0.1409637429769768,0.2524800597514024,0.2584998692382279,0.2814689606726665,0.2559649970628006
30-M-3,0.1628407781015194,0.1930663439608461,0.19211400587307573,0.168185616620893,0.17944538284742548,0.16791274552069596,0.19464185760031133,0.18363387562362812
3_10_M,0.22572100871792208,0.21964532065036088,0.2036747844752439,0.16841876612525428,0.22706369256992828,0.24733887086526227,0.2446931604044884,0.23313997815740553
3_11_M,0.22663092657549666,0.22414770166536488,0.2221671738437459,0.27379005844789667,0.2342575833145903,0.25122525668362344,0.21078223886314357,0.22917741122280608
3_39_F,0.2152329948597435,0.24018813770376313,0.20295304678010215,0.16699923909223516,0.22004286908284415,0.2257430938594444,0.2103277024676149,0.19530865103750666
3_56_F,0.23164408542141876,0.21037795339361798,0.19876157920624374,0.21181645680108582,0.20068666912090416,0.1937898847611052,0.2184754942884569,0.20234611397886423
3_8_M,0.21523205617949134,0.2728767542737202,0.2785307178931122,0.05910727525281969,0.2588704460097537,0.26894550318102006,0.2076728167614363,0.25449290981669015
3_9_M,0.22569517334495812,0.2563583570067252,0.251821215760454,0.1478538552733072,0.24831392502540311,0.254460930200128,0.2140967395931293,0.23405092157118956
