source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,clean_label,module_ligand,kME_ligand,module_receptor,kME_receptor,age_module_ligand,age_module_receptor,age_relevant
Myocytes,EndocardialCells,Nppa,Npr3,2.2262194,0.0,4.9512124,2.1383842969476827,2.4701780087058043,0.29149494,0.9223772,1.88177053388915e-05,4.905996978817347e-08, ,brown,0.916636044825977,brown,0.935438617735889,True,True,True
EndothelialCells,EndothelialCells,Gnai2,Cav1,1.7746767,0.0,3.1358173,0.8027984943134301,1.108649594926425,0.070932224,0.9043673,0.028541536280802495,4.4149620075526435e-07, ,black,0.730197986867085,brown,0.884758647437185,False,True,True
SmoothMuscleCells,SmoothMuscleCells,Mfge8,Pdgfrb,1.7657559,0.0,3.116308,1.4502353661103076,1.4122312269395771,0.17648776,0.9040971,0.003954835775629722,7.848435983905509e-07, ,lightcyan,0.510462651252352,brown,0.766275459333072,True,True,True
Leukocytes,EndothelialCells,Gnai2,Cav1,1.7602721,0.0,3.0813236,0.7733710097215447,1.0247307180245275,0.06969957,0.90360653,0.028541536280802495,1.2262576517502916e-06, ,turquoise,0.515281533766225,brown,0.884758647437185,False,True,True
EndothelialCells,EndocardialCells,Sparc,Eng,1.7159512,0.0,2.9007075,0.7543164096997605,0.643402108736271,0.07791597,0.90094364,0.028541536280802495,1.765723987076956e-06, ,black,0.731223351438005,brown,0.973204830554305,False,True,True
EndocardialCells,EndothelialCells,Mmrn2,Cd93,1.7008685,0.0,2.875457,1.1757447916325163,1.5051376528595988,0.17011802,0.9005528,0.004897670001117698,3.138756163054337e-06, ,brown,0.943558775036418,turquoise,0.705808522625346,True,False,True
EndocardialCells,Fibroblasts,Vwf,Lrp1,1.7082644,0.0,2.858587,1.7448444939424048,2.0502869847035283,0.34210467,0.900289,5.565423569870955e-05,3.138756163054337e-06, ,brown,0.691096517422782,,,True,False,True
EndocardialCells,SmoothMuscleCells,Vwf,Itgb1,1.6992688,0.0,2.8234618,1.4938135342358734,1.4042203646881788,0.1539544,0.8997327,0.0063642455046049665,3.972292135048922e-06, ,brown,0.691096517422782,,,True,False,True
Fibroblasts,EndocardialCells,Sparc,Eng,1.6909887,0.0,2.8045926,0.7068419997340203,0.6080446158200389,0.07533422,0.89942986,0.028541536280802495,4.9038231256832815e-06, ,black,0.649519023068726,brown,0.973204830554305,False,True,True
EndocardialCells,EndocardialCells,Mmrn2,Cd93,1.6620799,0.0,2.733247,1.130243162046831,1.0778116935383264,0.16170458,0.8982584,0.006865483286669262,8.286236595879427e-06, ,brown,0.943558775036418,lightcyan,0.582187985085655,True,True,True
EndothelialCells,EndocardialCells,Gnai2,F2r,1.6597552,0.0,2.7547839,0.8344255991002549,0.8100423882011992,0.0913908,0.8986165,0.028541536280802495,9.609600212011532e-06, ,black,0.730197986867085,brown,0.784344492026737,False,True,True
EndocardialCells,EndothelialCells,Gnai2,Cav1,1.6653953,0.0,2.7223945,0.5795820235638776,0.8763844634887761,0.0615806,0.8980765,0.036046719724897563,9.609600212011532e-06, ,black,0.68121307835009,brown,0.884758647437185,False,True,True
Leukocytes,EndocardialCells,Gnai2,F2r,1.6453507,0.0,2.7069116,0.8049981145083696,0.7261235112993017,0.08980262,0.8978151,0.028541536280802495,1.960563265219004e-05, ,turquoise,0.515281533766225,brown,0.784344492026737,False,True,True
EndocardialCells,Leukocytes,Rps19,C5ar1,1.6387975,0.0,2.654081,1.1353403166378178,1.2376586573389738,0.16877851,0.89690745,0.005150293274487492,2.5924616459196913e-05, ,yellow,0.271007395088597,turquoise,0.712817995193886,True,False,True
Fibroblasts,EndothelialCells,Col1a2,Cd36,1.6540534,0.0,2.650529,1.1342977920446338,1.8704646024694558,0.21022505,0.8968455,0.0014609553395371646,2.8226545462597555e-05, ,,,brown,0.868570071306074,False,True,True
EndocardialCells,EndothelialCells,Vwf,Itgb1,1.6491559,0.0,2.6277852,1.406643056895352,1.424932590073994,0.14328478,0.89644617,0.005181775012259715,3.5718944247241025e-05, ,brown,0.691096517422782,,,True,False,True
SmoothMuscleCells,EndocardialCells,Sparc,Eng,1.6377006,0.0,2.5994134,0.605503109890275,0.47000842056457104,0.06982289,0.89594126,0.028541536280802495,4.707699980942394e-05, ,black,0.837859698632221,brown,0.973204830554305,False,True,True
EndothelialCells,EndothelialCells,Gnai2,S1pr1,1.621701,0.0,2.6286108,0.786803376560222,1.0950850666814942,0.086498365,0.8964608,0.028541536280802495,5.016074848011425e-05, ,black,0.730197986867085,brown,0.500963498873593,False,True,True
EndocardialCells,EndocardialCells,Vwf,Itgb1,1.6246604,0.0,2.5321376,1.3640318840927805,1.302089905431447,0.13806942,0.8947125,0.014203005539698745,5.999787370863161e-05, ,brown,0.691096517422782,pink,0.572507776572743,True,False,True
Leukocytes,EndothelialCells,Gnai2,S1pr1,1.6072965,0.0,2.582931,0.7573758919683367,1.0111661897795967,0.0849952,0.89564437,0.028541536280802495,6.347216979489388e-05, ,turquoise,0.515281533766225,brown,0.500963498873593,False,True,True
EndothelialCells,EndocardialCells,Ybx1,Notch1,1.6131535,0.0,2.4995706,0.8358152674541142,0.6947459855890007,0.0691247,0.89410126,0.028541536280802495,7.071356826948065e-05, ,yellow,0.31566495597398,darkred,0.343740710918236,True,False,True
Leukocytes,EndocardialCells,C1qa,Cd93,1.593183,0.0,2.5277941,1.4515790247657474,1.6701131474629671,0.23800297,0.8946316,0.000768826530592341,7.448063026053607e-05, ,turquoise,0.847224602986981,lightcyan,0.582187985085655,False,True,True
EndocardialCells,EndocardialCells,Nppa,Npr3,1.6740999,0.0,2.416108,1.5979942087869963,1.6525207589959332,0.14224459,0.8924827,0.0007898891313871393,0.00010358093443643853, ,brown,0.695639542145225,brown,0.935438617735889,True,True,True
Fibroblasts,EndothelialCells,Col1a1,Cd36,1.5926237,0.0,2.4114172,1.1292689611893607,1.889915292121858,0.28996062,0.8923894,0.0002231208018384429,0.00010812806744434253, ,,,brown,0.868570071306074,False,True,True
EndocardialCells,EndothelialCells,Comp,Cd36,1.5905252,0.0,2.4032483,1.652814825693445,1.9941787842404195,0.30678517,0.89222634,0.00012348611179854974,0.00011751466498202008, ,lightgreen,0.125031208796262,brown,0.868570071306074,False,True,True
Myocytes,EndothelialCells,Vegfb,Nrp1,1.562542,0.0,2.4062507,1.2171119563002377,1.3082177817692178,0.12515993,0.89228636,0.013625170025022604,0.00012729090664770283, ,blue,0.734190683037478,brown,0.648185002416343,False,True,True
EndothelialCells,Myocytes,Pdgfb,Art1,1.5695541,0.0,2.3686767,2.269476742460803,2.5875465217238007,0.51719946,0.8915277,3.7992001098743873e-06,0.00014801191911925055, ,cyan,0.464137268387394,brown,0.769648469668736,False,True,True
EndocardialCells,EndocardialCells,Gnai2,F2r,1.5504739,0.0,2.391596,0.6112091283507024,0.5777772567635503,0.07934194,0.89199245,0.028541536280802495,0.00015343552382275486, ,black,0.68121307835009,brown,0.784344492026737,False,True,True
EndocardialCells,SmoothMuscleCells,Mfge8,Pdgfrb,1.5544775,0.0,2.353348,1.1425450802384305,1.1302362932868473,0.1332786,0.8912134,0.02020109700411706,0.00015895644175316505, ,green,0.295522794899105,brown,0.766275459333072,False,True,True
Leukocytes,Fibroblasts,Pf4,Sdc2,1.5458612,0.0,2.3610592,1.395996094664085,2.1918488580839535,0.32621342,0.8913719,7.536428580136924e-05,0.00017029015933569595, ,turquoise,0.841618051106534,brown,0.848057536799011,False,True,True
Fibroblasts,EndothelialCells,Gnai2,Cav1,1.5649828,0.0,2.3425233,0.37448560372970413,0.6896341679827906,0.052987903,0.8909897,0.06501557078775835,0.00017610293000831296, ,black,0.78566112490779,brown,0.884758647437185,False,True,True
EndothelialCells,Myocytes,App,Gpc1,1.5443248,0.0,2.3824923,1.8629575136903722,1.5029737763018516,0.19377713,0.89180857,0.002472780721149362,0.000188020222667491, ,black,0.617473609490099,brown,0.486264962491867,False,True,True
EndothelialCells,Fibroblasts,Lpl,Lrp1,1.5348389,0.0,2.3507369,0.8253860341988659,1.298463120678841,0.12994584,0.89115953,0.02271298285183067,0.0002003264599004296, ,brown,0.487721034349969,,,True,False,True
SmoothMuscleCells,EndothelialCells,Gnai2,Cav1,1.5548273,0.0,2.3041043,0.35373979810956996,0.7397498242778738,0.05211886,0.89018404,0.06925629708195481,0.00020662536262799143, ,black,0.83203351296545,brown,0.884758647437185,False,True,True
Fibroblasts,SmoothMuscleCells,Lum,Itgb1,1.5258254,0.0,2.3218,0.7677970746092846,1.130262954016443,0.12030646,0.8905574,0.028541536280802495,0.00023279265683120114, ,brown,0.949650798111063,,,True,False,True
EndocardialCells,Leukocytes,Vwf,Sirpa,1.5578582,0.0,2.2712944,1.9829515619956475,2.038314430950941,0.42611292,0.88948107,1.5039164331992319e-05,0.00026051394879506365, ,brown,0.691096517422782,turquoise,0.761733552093104,True,False,True
EndocardialCells,EndocardialCells,Sparc,Eng,1.5501735,0.0,2.2624006,0.4390488609625247,0.35131173574612873,0.06077039,0.88928807,0.03787730439213275,0.000274957100300031, ,black,0.677069596089091,brown,0.973204830554305,False,True,True
Fibroblasts,EndocardialCells,Mmp2,Pecam1,1.5206811,0.0,2.2867746,1.0693517554475949,1.3902150602610566,0.29052162,0.88981444,0.0004000319272719707,0.0002823242177127361, ,,,brown,0.774210329710027,False,True,True
Leukocytes,EndocardialCells,Nppa,Npr3,1.6379591,0.0,2.2501643,1.5626213229485895,1.7331894981249567,0.13247493,0.8890208,0.0008939610656592955,0.0002897883585571279, ,turquoise,0.639972798269552,brown,0.935438617735889,False,True,True
EndocardialCells,EndothelialCells,Mmrn2,Clec14a,1.5239694,0.0,2.2268946,1.086001893122012,1.4689844487292745,0.20140964,0.88850695,0.0019317413570951647,0.00032856390711307214, ,brown,0.943558775036418,turquoise,0.909426799361271,True,False,True
EndocardialCells,EndothelialCells,Gnai2,S1pr1,1.5124196,0.0,2.2820575,0.5635869058106694,0.8628199352438451,0.07509451,0.8897132,0.028541536280802495,0.00034475278341594234, ,black,0.68121307835009,brown,0.500963498873593,False,True,True
EndothelialCells,SmoothMuscleCells,Mfge8,Pdgfrb,1.515169,0.0,2.211399,1.0852984911256707,1.1978482052758417,0.1252395,0.88816065,0.02803054920895201,0.0003613293426579179, ,,,brown,0.766275459333072,False,True,True
Fibroblasts,Fibroblasts,Serping1,Lrp1,1.494946,0.0,2.2339165,1.0203254479899393,1.6854215667098131,0.21486789,0.8886628,0.0012988012953699289,0.00041338348654296116, ,brown,0.637205541603263,,,True,False,True
Myocytes,Fibroblasts,Fndc5,Itgb5,1.5159018,0.0,2.1953554,1.9133272988367596,1.95348806325875,0.30257466,0.8877985,0.00010229056600209762,0.00043150935515985655, ,brown,0.866327263435725,turquoise,0.646285311150696,True,False,True
EndothelialCells,Myocytes,App,Rpsa,1.4893986,0.004,2.2182784,-0.06385863533756092,0.07161361561328083,0.03492821,0.8883148,0.8009123705315223,0.0004689221880782847, ,black,0.617473609490099,tan,0.206618269537133,False,True,True
EndothelialCells,SmoothMuscleCells,Gnai2,Cav1,1.4887664,0.0,2.1878526,0.4684138598295135,0.3342041038783029,0.04948925,0.88762784,0.08407381147608013,0.0004882088615535192, ,black,0.730197986867085,midnightblue,0.401042124167732,False,True,True
EndothelialCells,EndothelialCells,Timp3,Kdr,1.4872515,0.0,2.190171,0.7161819997256983,1.3131978759730933,0.12945606,0.88768065,0.02322120692698806,0.0005078822377385937, ,yellow,0.308157376549655,turquoise,0.856715396468162,True,False,True
Myocytes,EndocardialCells,Vegfb,Nrp1,1.4869215,0.0,2.198341,1.1064673165363035,1.0256901992215557,0.11434561,0.88786614,0.028541536280802495,0.0005178639031229414, ,blue,0.734190683037478,brown,0.550721740569223,False,True,True
EndothelialCells,EndothelialCells,Col4a2,Cd93,1.4846075,0.0,2.1970055,0.8370693939176852,1.3543459052210425,0.11969707,0.88783586,0.028541536280802495,0.0005904405187392308, ,yellow,0.155737396507289,turquoise,0.705808522625346,True,False,True
