source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,clean_label,module_ligand,kME_ligand,module_receptor,kME_receptor,age_module_ligand,age_module_receptor,age_relevant
Myocytes,EndocardialCells,Nppa,Npr3,2.2262194,0.0,4.9512124,2.1383842969476827,2.4701780087058043,0.29149494,0.9223772,1.88177053388915e-05,4.905996978817347e-08, ,brown,0.916636044825977,brown,0.935438617735889,True,True,True
Myocytes,Myocytes,S100a1,Ryr2,1.7994847,0.0,3.2194612,2.4586885989922997,2.1157968610574205,0.27704737,0.90549964,1.581365708848048e-05,1.962302193010085e-07, ,royalblue,0.917679412351655,blue,0.754078507519803,False,False,False
EndothelialCells,EndothelialCells,Gnai2,Cav1,1.7746767,0.0,3.1358173,0.8027984943134301,1.108649594926425,0.070932224,0.9043673,0.028541536280802495,4.4149620075526435e-07, ,black,0.730197986867085,brown,0.884758647437185,False,True,True
SmoothMuscleCells,SmoothMuscleCells,Mfge8,Pdgfrb,1.7657559,0.0,3.116308,1.4502353661103076,1.4122312269395771,0.17648776,0.9040971,0.003954835775629722,7.848435983905509e-07, ,lightcyan,0.510462651252352,brown,0.766275459333072,True,True,True
Leukocytes,EndothelialCells,Gnai2,Cav1,1.7602721,0.0,3.0813236,0.7733710097215447,1.0247307180245275,0.06969957,0.90360653,0.028541536280802495,1.2262576517502916e-06, ,turquoise,0.515281533766225,brown,0.884758647437185,False,True,True
EndothelialCells,EndocardialCells,Sparc,Eng,1.7159512,0.0,2.9007075,0.7543164096997605,0.643402108736271,0.07791597,0.90094364,0.028541536280802495,1.765723987076956e-06, ,black,0.731223351438005,brown,0.973204830554305,False,True,True
EndocardialCells,EndothelialCells,Mmrn2,Cd93,1.7008685,0.0,2.875457,1.1757447916325163,1.5051376528595988,0.17011802,0.9005528,0.004897670001117698,3.138756163054337e-06, ,brown,0.943558775036418,turquoise,0.705808522625346,True,False,True
EndocardialCells,Fibroblasts,Vwf,Lrp1,1.7082644,0.0,2.858587,1.7448444939424048,2.0502869847035283,0.34210467,0.900289,5.565423569870955e-05,3.138756163054337e-06, ,brown,0.691096517422782,,,True,False,True
EndocardialCells,SmoothMuscleCells,Vwf,Itgb1,1.6992688,0.0,2.8234618,1.4938135342358734,1.4042203646881788,0.1539544,0.8997327,0.0063642455046049665,3.972292135048922e-06, ,brown,0.691096517422782,,,True,False,True
Fibroblasts,EndocardialCells,Sparc,Eng,1.6909887,0.0,2.8045926,0.7068419997340203,0.6080446158200389,0.07533422,0.89942986,0.028541536280802495,4.9038231256832815e-06, ,black,0.649519023068726,brown,0.973204830554305,False,True,True
EndocardialCells,EndocardialCells,Mmrn2,Cd93,1.6620799,0.0,2.733247,1.130243162046831,1.0778116935383264,0.16170458,0.8982584,0.006865483286669262,8.286236595879427e-06, ,brown,0.943558775036418,lightcyan,0.582187985085655,True,True,True
EndothelialCells,EndocardialCells,Gnai2,F2r,1.6597552,0.0,2.7547839,0.8344255991002549,0.8100423882011992,0.0913908,0.8986165,0.028541536280802495,9.609600212011532e-06, ,black,0.730197986867085,brown,0.784344492026737,False,True,True
EndocardialCells,EndothelialCells,Gnai2,Cav1,1.6653953,0.0,2.7223945,0.5795820235638776,0.8763844634887761,0.0615806,0.8980765,0.036046719724897563,9.609600212011532e-06, ,black,0.68121307835009,brown,0.884758647437185,False,True,True
EndothelialCells,EndocardialCells,H2-K1,Aplp2,1.6559647,0.0,2.7338393,0.6905782495588768,0.5215927929305867,0.05495718,0.8982683,0.05552779085835751,1.103088462027907e-05, ,black,0.701746987237149,,,False,False,False
EndothelialCells,EndothelialCells,Sparc,Eng,1.6551206,0.0,2.7173996,0.6763741848518177,0.7891401969313391,0.07299212,0.8979924,0.028541536280802495,1.255007880815442e-05, ,black,0.731223351438005,turquoise,0.922217361940542,False,False,False
EndothelialCells,Leukocytes,Rps19,C5ar1,1.6511154,0.0,2.6900766,1.1834888822412823,1.269040628587087,0.17106754,0.8975286,0.004683391482192014,1.588212650970495e-05, ,royalblue,0.486062627287861,turquoise,0.712817995193886,False,False,False
Leukocytes,EndocardialCells,Gnai2,F2r,1.6453507,0.0,2.7069116,0.8049981145083696,0.7261235112993017,0.08980262,0.8978151,0.028541536280802495,1.960563265219004e-05, ,turquoise,0.515281533766225,brown,0.784344492026737,False,True,True
EndothelialCells,Fibroblasts,App,Rpsa,1.6426122,0.0,2.6763449,0.41654079627410734,0.3374361201365318,0.04214076,0.897293,0.1525207140742419,2.1614143865116495e-05, ,black,0.617473609490099,black,0.767953600044462,False,False,False
Leukocytes,Leukocytes,Rps19,C5ar1,1.6400967,0.0,2.6578774,1.1404186728027264,1.2583286435939314,0.16901992,0.8969735,0.005086357725437549,2.37204788447866e-05, ,turquoise,0.733098869930847,turquoise,0.712817995193886,False,False,False
EndocardialCells,Leukocytes,Rps19,C5ar1,1.6387975,0.0,2.654081,1.1353403166378178,1.2376586573389738,0.16877851,0.89690745,0.005150293274487492,2.5924616459196913e-05, ,yellow,0.271007395088597,turquoise,0.712817995193886,True,False,True
Fibroblasts,Leukocytes,Rps19,C5ar1,1.6387936,0.0,2.6540694,1.135318004273786,1.2397950130994484,0.16877776,0.8969072,0.005166358817087354,2.8226545462597555e-05, ,,,turquoise,0.712817995193886,False,False,False
