,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,genes,hub_gene_hit
Rps19^C5ar1,0.29151051485559376,3.889539842193557e-06,3.3448014215895758e-18,0.005240709439208263,0.0023829106812876502,6.555943049299058e-05,0.0010895221186556208,1.0666843470169196e-11,"{'Rps19', 'C5ar1'}",[]
Gnai2^C5ar1,0.22506253601448453,0.0003576140729668478,1.654967112582915e-18,0.0003028299801934421,0.004191622633854225,3.139526322693633e-08,0.010648195080927516,2.5950334899452705e-13,"{'Gnai2', 'C5ar1'}",[]
Gnai2^Ccr5,0.16487209074544149,5.963783241051819e-05,1.7773599634651653e-19,0.003654833320395989,0.002337476906406735,1.1865244601096864e-08,0.007315700924842304,1.9029929346612796e-13,"{'Ccr5', 'Gnai2'}",[]
Apoe^Trem2,0.15753758813275826,3.2744997311996445e-05,1.490748955872503e-12,3.2341806930618795e-16,4.75543041258554e-05,0.00340166025005829,0.013105098282514768,9.198148972567441e-12,"{'Apoe', 'Trem2'}",[]
B2m^Hfe,0.154860500282082,0.08669793079419462,0.07176370300204352,5.2879213734197744e-06,0.07967217686755332,0.043461817569902327,0.0922092330001001,0.05595434883747897,"{'B2m', 'Hfe'}",[]
Hspa8^Adrb2,0.15333044429042225,0.02306357650377681,0.035769903474966336,7.830738303218196e-13,0.006364519902256637,0.0007489951192199436,0.020745974817862868,0.0001897730475518146,"{'Adrb2', 'Hspa8'}",[]
App^Cd74,0.15237576898309763,0.041548904177110726,0.029543165883049817,0.05108942236979281,0.038357689524707306,0.020600107747407954,0.04208620973850096,0.008924146665406205,"{'App', 'Cd74'}",[]
Gnas^Adrb2,0.15150097420815709,0.0233852408246156,0.03658657018543498,7.817820390312351e-11,0.006851168215057051,0.0020965106971382705,0.011413992889534224,1.1270103773823765e-05,"{'Adrb2', 'Gnas'}",[]
Vim^Cd44,0.12840850357843692,0.03019166580609442,0.017048245523349756,0.023610694747387508,0.027793327081110833,0.0363214323524582,0.024823052402386005,0.013504707487858186,"{'Vim', 'Cd44'}",[]
Copa^P2ry6,0.12685989859600466,7.11522095682552e-05,8.534273036054864e-10,0.010186905694896744,0.011195750110012784,0.0029982207978519813,0.005041141264318707,0.020267443716151662,"{'Copa', 'P2ry6'}",[]
Lgals1^Ptprc,0.12325085720132464,7.989299410123319e-17,1.5881103847374958e-23,5.085135347853026e-22,2.076756630973385e-07,0.016702713003415304,0.006469663049269605,1.6026124536618165e-17,"{'Ptprc', 'Lgals1'}",['Ptprc']
Cfh^Itgam,0.12234963547381228,7.152095491314463e-13,1.7984655011537794e-30,7.977612186169732e-12,5.860223911164359e-08,0.015381081553948201,0.0019662243465288637,2.3744918250244924e-20,"{'Itgam', 'Cfh'}",['Cfh']
Tnfsf12^Cd163,0.1204880646380762,1.3893378011181952e-06,1.8428451607860562e-24,0.006917502738393101,0.00016867343515505778,0.003431634923336406,0.0002579959071642208,8.234272585837372e-13,"{'Cd163', 'Tnfsf12'}",[]
Mif^Cd74_Cxcr4,0.11871218811039111,0.0006041313835089541,0.0047188936037766815,0.0057953904782413156,0.00047452931711604166,2.131855546672658e-05,0.00168535683024393,5.956534560298105e-11,"{'Mif', 'Cxcr4', 'Cd74'}",[]
Cd47^Sirpa,0.11861009213344002,0.018534865322318912,0.006701911606995475,1.7070639649954824e-14,0.048371578681570146,0.02571552633004693,0.02637881516708203,0.03751517384784395,"{'Cd47', 'Sirpa'}",[]
App^Rpsa,0.1177311560316472,0.18818602935466153,0.10797957352058314,0.11508612306796578,0.23173674825038834,0.13642855547067304,0.1688719976462177,0.09694199715947126,"{'Rpsa', 'App'}",[]
Hsp90b1^Tlr2,0.11512980381299599,0.009392623942113688,0.004195336909628989,3.974885950587926e-25,0.018047002236906633,0.014576390151790526,0.015149426675898577,0.0038230320455843775,"{'Tlr2', 'Hsp90b1'}",['Hsp90b1']
Gnas^Adcy7,0.10552559061367756,4.7038228470241804e-11,7.164093193649168e-19,9.248985867593809e-16,0.08751301483790346,0.00014296891909622682,0.00440225561962456,0.0986449494733169,"{'Gnas', 'Adcy7'}",[]
Copa^Cd74,0.10185824885132971,0.016683180148652284,0.035135984445346755,0.04022916458309151,0.01696442803852008,0.00633985451613878,0.01940401693697478,0.023434687299451765,"{'Copa', 'Cd74'}",[]
Lamb2^Rpsa,0.10023545885788387,0.06822109805137715,0.16714572943547384,0.1344549929615973,0.088901603297635,0.033975670318130806,1.934017024198454e-16,0.14922459279787675,"{'Rpsa', 'Lamb2'}",[]
Psap^Lrp1,0.09943277219296194,1.701581856827041e-07,8.98852514563233e-19,0.018654793231485108,0.20328598590705688,0.004353449141237636,0.06083398404387664,0.21740301468518464,"{'Lrp1', 'Psap'}",[]
Timp3^Cd44,0.09885364041623639,0.02698074132775587,0.019687757373382374,0.021187215020127156,0.03262670705886472,0.03158557314756667,1.5987987562950318e-12,0.005073760968243846,"{'Timp3', 'Cd44'}",[]
Adam10^Trem2,0.09784569308219761,0.004306995013109753,8.665853227041885e-06,1.9288432449929116e-18,0.0024774282610632156,1.1195686661742072e-08,0.004893065184195996,8.456861667761659e-15,"{'Adam10', 'Trem2'}",[]
Apoe^Abca1,0.09739713019395074,0.0325544456942712,0.03514192650337846,1.375217065245e-14,0.03459313985107352,0.028918562108394854,0.05931131673129642,0.04984514326727403,"{'Abca1', 'Apoe'}",['Abca1']
Anxa2^Tlr2,0.09656342587209085,0.01222909783718341,0.001320822068687484,3.45580795227289e-25,0.020904614752474366,0.01680139341441114,0.006451467592941829,2.3093728722806335e-05,"{'Tlr2', 'Anxa2'}",[]
