"celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database","n_overlap_genes","overlap_hit_genes","go_source","hub_hit_genes"
"Myocytes","GO:0051146","striated muscle cell differentiation","63/516","348/13010",0.181034482758621,4.56445469125902,13.6970683479959,7.80684933081237e-25,5.91603042288962e-22,5.6373669904603e-22,"Actc1/Actn2/Acvr1/Adprhl1/Asb2/Camk2d/Cav3/Cfl2/Csrp3/Fhl2/Gata4/Gata6/Hand2/Ldb3/Lmod2/Mfn2/Mybpc3/Myh6/Myl9/Mylk3/Myom1/Myom2/Myoz2/Nkx2-5/Nppa/Nrap/Pdlim5/Pgm5/Popdc2/Ptgfrn/Rpl10a/Rpl11/Rpl12/Rpl13a/Rpl17/Rpl18a/Rpl19/Rpl23/Rpl24/Rpl27/Rpl27a/Rpl29/Rpl31/Rpl32/Rpl34/Rpl35/Rpl35a/Rpl37/Rpl37a/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Smyd1/Speg/Tanc1/Tbx5/Tcap/Tmod1/Tnnt2/Tpm1",63,"brown","GO_BP",2,"Acvr1/Nppa","GO_BP (subset con hub genes)","Nppa"
"Myocytes","GO:0006941","striated muscle contraction","48/516","217/13010",0.221198156682028,5.577108562855,13.817546578984,5.45046439074847e-23,3.44196826275766e-20,3.27984085267846e-20,"Actc1/Atp1a2/Camk2d/Cav3/Csrp3/Gata4/Grcc10/Mb/Mybpc3/Myh6/Myl1/Myl4/Nkx2-5/Nppa/Pgam2/Pln/Rangrf/Rpl10a/Rpl11/Rpl12/Rpl13a/Rpl17/Rpl18a/Rpl19/Rpl23/Rpl24/Rpl27/Rpl27a/Rpl29/Rpl31/Rpl32/Rpl34/Rpl35/Rpl35a/Rpl37/Rpl37a/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Smad7/Tcap/Tnnc1/Tnni3/Tnnt2/Tpm1",48,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"Myocytes","GO:0006936","muscle contraction","57/516","327/13010",0.174311926605505,4.39495768437522,12.635525322682,1.0973970869437e-21,4.62004173603299e-19,4.40242340142327e-19,"Actc1/Actn2/Atp1a2/Camk2d/Cav3/Csrp3/Gata4/Grcc10/Hsbp1/Lmod2/Mb/Mkks/Mybpc3/Myh6/Myl1/Myl4/Myom1/Myom2/Nkx2-5/Nppa/Pgam2/Pln/Rangrf/Rpl10a/Rpl11/Rpl12/Rpl13a/Rpl17/Rpl18a/Rpl19/Rpl23/Rpl24/Rpl27/Rpl27a/Rpl29/Rpl31/Rpl32/Rpl34/Rpl35/Rpl35a/Rpl37/Rpl37a/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Smad7/Tbx20/Tcap/Tmod1/Tnnc1/Tnni3/Tnnt2/Tpm1/Tpm2",57,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"Myocytes","GO:0003012","muscle system process","65/516","442/13010",0.147058823529412,3.7078203374373,11.7704739703889,1.69767673823172e-20,6.43249716116e-18,6.12950653908928e-18,"Actc1/Actn2/Asb2/Atp1a2/Camk2d/Cav3/Csrp3/Fbxo32/Gata4/Gata6/Grcc10/Hand2/Hsbp1/Lmod2/Mb/Mkks/Mybpc3/Myh6/Myl1/Myl4/Myom1/Myom2/Myoz2/Nkx2-5/Nppa/Pdlim5/Pgam2/Pln/Rangrf/Rpl10a/Rpl11/Rpl12/Rpl13a/Rpl17/Rpl18a/Rpl19/Rpl23/Rpl24/Rpl27/Rpl27a/Rpl29/Rpl31/Rpl32/Rpl34/Rpl35/Rpl35a/Rpl37/Rpl37a/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Sln/Smad7/Srl/Tbx20/Tcap/Tmod1/Tnnc1/Tnni3/Tnnt2/Tpm1/Tpm2",65,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"Myocytes","GO:0042692","muscle cell differentiation","64/516","451/13010",0.141906873614191,3.57792330566012,11.3233984684725,2.2888434320691e-19,7.22702313675819e-17,6.88660787017282e-17,"Actc1/Actn2/Acvr1/Adm/Adprhl1/Asb2/Camk2d/Cav3/Cfl2/Csrp3/Fhl2/Gata4/Gata6/Hand2/Ldb3/Lmod2/Mfn2/Mybpc3/Myh6/Myl9/Mylk3/Myom1/Myom2/Myoz2/Nkx2-5/Nppa/Nrap/Pdlim5/Pgm5/Popdc2/Ptgfrn/Rpl10a/Rpl11/Rpl12/Rpl13a/Rpl17/Rpl18a/Rpl19/Rpl23/Rpl24/Rpl27/Rpl27a/Rpl29/Rpl31/Rpl32/Rpl34/Rpl35/Rpl35a/Rpl37/Rpl37a/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Smyd1/Speg/Tanc1/Tbx5/Tcap/Tmod1/Tnnt2/Tpm1",64,"brown","GO_BP",2,"Acvr1/Nppa","GO_BP (subset con hub genes)","Nppa"
"EndocardialCells","GO:0003012","muscle system process","46/309","442/13010",0.104072398190045,4.38181844806631,11.2826359725406,1.5296786943173e-17,8.30870477463345e-15,7.54641489196533e-15,"Abcc9/Actc1/Agrn/Csrp3/Dbn1/Dmd/Ece1/F2r/Gata4/Gsn/Hand2/Kcnj5/Kcnj8/Mb/Myh6/Myl2/Myl4/Nppa/Npr3/Ptgs1/Rem1/Rpl11/Rpl17/Rpl23/Rpl23a/Rpl24/Rpl27/Rpl28/Rpl34/Rpl35a/Rpl36a/Rpl37/Rpl37a/Rpl41/Rpl6/Sln/Smad5/Srsf1/Tcap/Tiam1/Tmod2/Tnnc1/Tnni3/Tnnt2/Trip10/Uba52",46,"brown","GO_BP",3,"Ece1/F2r/Nppa","GO_BP (subset con hub genes)","Ece1"
"Fibroblasts","GO:0042692","muscle cell differentiation","37/226","451/13010",0.082039911308204,4.72274002707847,10.6983362823574,2.20858981295921e-15,3.91310148037244e-13,3.55972711029897e-13,"Ank2/Cav3/Cfh/Foxo4/Igf1/Lamc1/Nppa/Pdgfra/Ptgfrn/Rpl10/Rpl10a/Rpl11/Rpl15/Rpl19/Rpl21/Rpl23/Rpl23a/Rpl24/Rpl27/Rpl27a/Rpl28/Rpl31/Rpl35a/Rpl36a/Rpl37/Rpl37a/Rpl38/Rpl39/Rpl41/Rpl7a/Rpl9/Rplp2/Tgfb1/Tnnt2/Uba52/Xirp1/Zeb1",37,"brown","GO_BP",5,"Cfh/Lamc1/Nppa/Pdgfra/Tgfb1","GO_BP (subset con hub genes)","Cfh"
"EndocardialCells","GO:0042692","muscle cell differentiation","43/309","451/13010",0.0953436807095344,4.0143083690325,10.1620343502547,4.64861650721344e-15,1.68331568855651e-12,1.52887831792798e-12,"Actc1/Adprhl1/Bmpr1a/Cfh/Csrp3/Dmd/Efemp2/Ehd1/Ehd2/Eng/Gata4/Hand2/Kcnj8/Lamb1/Lamb2/Lamc1/Myh6/Myl2/Nppa/Plekho1/Rpl11/Rpl17/Rpl23/Rpl23a/Rpl24/Rpl27/Rpl28/Rpl34/Rpl35a/Rpl36a/Rpl37/Rpl37a/Rpl41/Rpl6/Sema4c/Ski/Tbx5/Tcap/Tmod2/Tnnt2/Trip10/Uba52/Vegfa",43,"brown","GO_BP",6,"Bmpr1a/Cfh/Eng/Lamc1/Nppa/Vegfa","GO_BP (subset con hub genes)","Cfh/Eng"
"Myocytes","GO:0055002","striated muscle cell development","32/516","183/13010",0.174863387978142,4.4088617782861,9.4377495065144,1.10474251058367e-12,1.81994320547893e-10,1.73421822027552e-10,"Actc1/Actn2/Adprhl1/Asb2/Camk2d/Cav3/Cfl2/Csrp3/Fhl2/Gata4/Ldb3/Lmod2/Mfn2/Mybpc3/Myh6/Myl9/Mylk3/Myom1/Myom2/Myoz2/Nkx2-5/Nppa/Nrap/Pdlim5/Pgm5/Popdc2/Speg/Tbx5/Tcap/Tmod1/Tnnt2/Tpm1",32,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"Myocytes","GO:0048738","cardiac muscle tissue development","37/516","250/13010",0.148,3.7315503875969,8.86237127472956,3.56147692514067e-12,4.99793928494741e-10,4.76252080048051e-10,"Actc1/Actn2/Acvr1/Adprhl1/Ankrd1/Asb2/Camk2d/Cav3/Csrp3/Fhl2/Gata4/Gata6/Hand2/Jph2/Mybpc3/Myh6/Myl7/Mylk3/Ndufv2/Nkx2-5/Nppa/Nrap/Pdlim5/Pim1/Pln/Popdc2/Sgcg/Smad7/Speg/Tbx20/Tbx5/Tcap/Tgfbr3/Tnnc1/Tnni3/Tnnt2/Tpm1",37,"brown","GO_BP",3,"Acvr1/Nppa/Tgfbr3","GO_BP (subset con hub genes)","Nppa"
