"module","celltype","n_hub_genes","n_best_upstream","n_shared_ligands","top_ligand","top_ligand_aupr"
"lightcyan","SmoothMuscleCells",33,10,4,"Thy1",0.00208350076847361
"midnightblue","Leukocytes",27,10,4,"Pf4",0.00542343235650874
"midnightblue","Myocytes",26,10,4,"Ahsg",0.0435317245327115
"lightcyan","EndocardialCells",22,10,3,"Apoe",0.0459047626029031
"midnightblue","Fibroblasts",20,10,6,"Flrt2",0.006992604873337
"lightcyan","Leukocytes",15,10,3,"Tgfb1",0.00912238902079647
"lightcyan","EndothelialCells",10,10,3,"Adam9",0.0252223887829159
"midnightblue","EndocardialCells",9,10,5,"Adm",0.015040055863034
"lightcyan","Myocytes",9,10,3,"Cx3cl1",0.0281231103635029
"midnightblue","SmoothMuscleCells",5,10,5,"Tnfsf9",0.00164699508118112
"lightcyan","Fibroblasts",5,10,3,"Adm",0.00433274784188544
"orange","Myocytes",54,10,4,"Cd72",0.0188530741596309
"tan","Myocytes",129,10,4,"Efemp2",0.00767016774791976
"brown","Myocytes",100,10,3,"Anxa2",0.0103613242545799
"yellow","SmoothMuscleCells",53,10,4,"Sema5a",0.0179204089202972
"yellow","Fibroblasts",57,10,5,"Adamts3",0.0226734736289409
"yellow","EndothelialCells",52,10,3,"Pltp",0.0190729810852878
"yellow","EndocardialCells",47,10,5,"Ccl19",0.00551393663831548
"brown","Leukocytes",28,10,3,"Mmp2",0.0354341286022743
"brown","Fibroblasts",26,10,4,"Ccl19",0.00953366814742603
"brown","EndocardialCells",28,10,3,"Comp",0.03724011102619
"brown","EndothelialCells",20,10,2,"App",0.0126416568337276
"brown","SmoothMuscleCells",14,10,3,"Cd55",0.0739429200839342
"yellow","Leukocytes",12,10,4,"Fgf1",0.00293849506471121
"darkorange","SmoothMuscleCells",36,10,4,"Adm",0.0364872747678077
"darkorange","EndocardialCells",9,10,5,"Timp1",0.00555013417667928
