"sender","receiver","ligand","receptor","contrasts_active","n_contrasts","max_aupr_corrected","aupr_sender_ct"
"Fibroblasts","Fibroblasts","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Fibroblasts","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Fibroblasts","Postn","Ptk7","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Leukocytes","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Fibroblasts","Postn","Itgb3","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Leukocytes","Postn","Itgb3","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Leukocytes","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","EndothelialCells","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Fibroblasts","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Fibroblasts","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","EndothelialCells","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Fibroblasts","Postn","Itgb3","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Fibroblasts","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Fibroblasts","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Fibroblasts","Postn","Ptk7","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Fibroblasts","Postn","Itgb3","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Leukocytes","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Fibroblasts","Postn","Ptk7","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Leukocytes","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Leukocytes","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Myocytes","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","EndothelialCells","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Leukocytes","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","EndothelialCells","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","EndothelialCells","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","EndothelialCells","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Myocytes","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Myocytes","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"EndothelialCells","Fibroblasts","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"EndothelialCells","EndothelialCells","Epha4","Fgfr3","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"EndothelialCells","Leukocytes","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"EndothelialCells","EndothelialCells","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Fibroblasts","Fibroblasts","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"EndothelialCells","Leukocytes","Epha4","Fgfr3","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Fibroblasts","EndothelialCells","Epha4","Fgfr3","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Fibroblasts","Leukocytes","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Myocytes","Fibroblasts","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Myocytes","EndothelialCells","Epha4","Fgfr3","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Fibroblasts","EndothelialCells","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Myocytes","Leukocytes","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Myocytes","EndothelialCells","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
