"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"App",0.483909574468081,0.0160616294739465,0.0126416568337276,0.0249694144316097,"Fibroblasts","sender-focused"
"App",0.483909574468081,0.0160616294739465,0.0126416568337276,0.0249694144316097,"Myocytes","sender-focused"
"App",0.483909574468081,0.0160616294739465,0.0126416568337276,0.0249694144316097,"Leukocytes","sender-focused"
"App",0.483909574468081,0.0160616294739465,0.0126416568337276,0.0249694144316097,"SmoothMuscleCells","sender-focused"
"App",0.483909574468081,0.0160616294739465,0.0126416568337276,0.0249694144316097,"EndocardialCells","sender-focused"
"Anxa2",0.542300102951255,0.0143876156633046,0.0109676430230857,0.0350122775650568,"Fibroblasts","sender-focused"
"Anxa2",0.542300102951255,0.0143876156633046,0.0109676430230857,0.0350122775650568,"Myocytes","sender-focused"
"Anxa2",0.542300102951255,0.0143876156633046,0.0109676430230857,0.0350122775650568,"Leukocytes","sender-focused"
"Anxa2",0.542300102951255,0.0143876156633046,0.0109676430230857,0.0350122775650568,"SmoothMuscleCells","sender-focused"
"Anxa2",0.542300102951255,0.0143876156633046,0.0109676430230857,0.0350122775650568,"EndocardialCells","sender-focused"
"Col4a4",0.519333390528492,0.0139088312688779,0.0104888586286591,0.0487382340416871,"Fibroblasts","sender-focused"
"Col4a4",0.519333390528492,0.0139088312688779,0.0104888586286591,0.0487382340416871,"EndocardialCells","sender-focused"
"Itgal",0.498906142759087,0.0121312053592114,0.00871123271899254,0.0320387158022187,"Leukocytes","sender-focused"
"Tnfsf9",0.542548901853118,0.0118411169077696,0.00842114426755067,0.0279442578712643,"Leukocytes","sender-focused"
"Serpinf1",0.570354323953339,0.0113384582853431,0.00791848564512418,0.0239879878617683,"Fibroblasts","sender-focused"
"Serpinf1",0.570354323953339,0.0113384582853431,0.00791848564512418,0.0239879878617683,"Myocytes","sender-focused"
"Serpinf1",0.570354323953339,0.0113384582853431,0.00791848564512418,0.0239879878617683,"Leukocytes","sender-focused"
"Hbegf",0.510904255319136,0.011004829907364,0.00758485726714515,0.0248768034765816,"Myocytes","sender-focused"
"Hbegf",0.510904255319136,0.011004829907364,0.00758485726714515,0.0248768034765816,"SmoothMuscleCells","sender-focused"
"Hbegf",0.510904255319136,0.011004829907364,0.00758485726714515,0.0248768034765816,"EndocardialCells","sender-focused"
"Wnt5a",0.479336822237477,0.0097910550086719,0.00637108236845302,0.0207357150739243,"Fibroblasts","sender-focused"
"Wnt5a",0.479336822237477,0.0097910550086719,0.00637108236845302,0.0207357150739243,"Myocytes","sender-focused"
"Bace2",0.564318805765249,0.0096957625780975,0.00627578993787862,0.0290619788060449,"Fibroblasts","sender-focused"
"Bace2",0.564318805765249,0.0096957625780975,0.00627578993787862,0.0290619788060449,"EndocardialCells","sender-focused"
"Timp1",0.489374571036385,0.00843467051748624,0.00501469787726736,0.00796040539669436,"Fibroblasts","sender-focused"
"Timp1",0.489374571036385,0.00843467051748624,0.00501469787726736,0.00796040539669436,"EndocardialCells","sender-focused"
"Copa",0.528461736444744,0.00806848562487521,0.00464851298465633,0.0343998903450331,"Fibroblasts","sender-focused"
"Copa",0.528461736444744,0.00806848562487521,0.00464851298465633,0.0343998903450331,"Myocytes","sender-focused"
"Copa",0.528461736444744,0.00806848562487521,0.00464851298465633,0.0343998903450331,"Leukocytes","sender-focused"
"Copa",0.528461736444744,0.00806848562487521,0.00464851298465633,0.0343998903450331,"SmoothMuscleCells","sender-focused"
"Copa",0.528461736444744,0.00806848562487521,0.00464851298465633,0.0343998903450331,"EndocardialCells","sender-focused"
"Vegfc",0.551415579958809,0.00776407589928102,0.00434410325906214,0.00945345252841626,"Fibroblasts","sender-focused"
"Vegfc",0.551415579958809,0.00776407589928102,0.00434410325906214,0.00945345252841626,"SmoothMuscleCells","sender-focused"
"Vegfc",0.551415579958809,0.00776407589928102,0.00434410325906214,0.00945345252841626,"EndocardialCells","sender-focused"
"Col6a6",0.494522134523001,0.00733081679746303,0.00391084415724415,0.00594150694934882,"Fibroblasts","sender-focused"
"Ctf1",0.45828328757723,0.0072827019918622,0.00386272935164333,0.00273097181042098,"Myocytes","sender-focused"
"Lama4",0.557798558682204,0.00724246824008044,0.00382249559986156,0.0193481719602942,"Fibroblasts","sender-focused"
"Lama4",0.557798558682204,0.00724246824008044,0.00382249559986156,0.0193481719602942,"Myocytes","sender-focused"
"Lama4",0.557798558682204,0.00724246824008044,0.00382249559986156,0.0193481719602942,"SmoothMuscleCells","sender-focused"
"Lama4",0.557798558682204,0.00724246824008044,0.00382249559986156,0.0193481719602942,"EndocardialCells","sender-focused"
"Cd9",0.497512010981479,0.00718063252821552,0.00376065988799664,0.0185694068003537,"Fibroblasts","sender-focused"
"Cd9",0.497512010981479,0.00718063252821552,0.00376065988799664,0.0185694068003537,"Myocytes","sender-focused"
"Cd9",0.497512010981479,0.00718063252821552,0.00376065988799664,0.0185694068003537,"Leukocytes","sender-focused"
"Cd9",0.497512010981479,0.00718063252821552,0.00376065988799664,0.0185694068003537,"SmoothMuscleCells","sender-focused"
"Cd9",0.497512010981479,0.00718063252821552,0.00376065988799664,0.0185694068003537,"EndocardialCells","sender-focused"
"Angptl4",0.502337851750178,0.00710401908741822,0.00368404644719934,0.0234598499554825,"Fibroblasts","sender-focused"
"Angptl4",0.502337851750178,0.00710401908741822,0.00368404644719934,0.0234598499554825,"Myocytes","sender-focused"
"Ifitm6",0.57354581331501,0.0069613676196444,0.00354139497942553,0.0212017100351691,"Leukocytes","sender-focused"
"Enpp1",0.542694749485227,0.00674791486212226,0.00332794222190339,0.0122093838907989,"Fibroblasts","sender-focused"
"Col27a1",0.514005662319833,0.00666880986896155,0.00324883722874267,0.00577002958910187,"Fibroblasts","sender-focused"
"Col27a1",0.514005662319833,0.00666880986896155,0.00324883722874267,0.00577002958910187,"SmoothMuscleCells","sender-focused"
"Il1rn",0.575360329444074,0.00635003200640922,0.00293005936619034,0.0144779304300659,"Leukocytes","sender-focused"
"Vegfa",0.534351407000706,0.00602562817087951,0.00260565553066063,0.0276046727202596,"Fibroblasts","sender-focused"
"Vegfa",0.534351407000706,0.00602562817087951,0.00260565553066063,0.0276046727202596,"Myocytes","sender-focused"
"Dbh",0.505992621825669,0.00598933901811581,0.00256936637789693,0.00868534726793226,"Myocytes","sender-focused"
"Nucb2",0.52418496911463,0.0059229984480655,0.00250302580784662,0.00609209370703142,"Fibroblasts","sender-focused"
"Nucb2",0.52418496911463,0.0059229984480655,0.00250302580784662,0.00609209370703142,"Leukocytes","sender-focused"
"Nucb2",0.52418496911463,0.0059229984480655,0.00250302580784662,0.00609209370703142,"SmoothMuscleCells","sender-focused"
"Nucb2",0.52418496911463,0.0059229984480655,0.00250302580784662,0.00609209370703142,"EndocardialCells","sender-focused"
"Col14a1",0.507438229238162,0.00590614264177169,0.00248617000155282,0.00478140725967646,"Fibroblasts","sender-focused"
"Col14a1",0.507438229238162,0.00590614264177169,0.00248617000155282,0.00478140725967646,"Leukocytes","sender-focused"
"Itgam",0.54048558682224,0.00586754189033685,0.00244756925011798,0.00796948841637688,"Leukocytes","sender-focused"
"Glg1",0.602736787920392,0.00586189011723497,0.00244191747701609,0.0182424011618969,"Fibroblasts","sender-focused"
"Glg1",0.602736787920392,0.00586189011723497,0.00244191747701609,0.0182424011618969,"Myocytes","sender-focused"
"Glg1",0.602736787920392,0.00586189011723497,0.00244191747701609,0.0182424011618969,"Leukocytes","sender-focused"
"Glg1",0.602736787920392,0.00586189011723497,0.00244191747701609,0.0182424011618969,"SmoothMuscleCells","sender-focused"
"Glg1",0.602736787920392,0.00586189011723497,0.00244191747701609,0.0182424011618969,"EndocardialCells","sender-focused"
"Tgm2",0.517608956760462,0.00584220605793554,0.00242223341771666,0.000317102180590886,"Fibroblasts","sender-focused"
"Tgm2",0.517608956760462,0.00584220605793554,0.00242223341771666,0.000317102180590886,"Myocytes","sender-focused"
"Tgm2",0.517608956760462,0.00584220605793554,0.00242223341771666,0.000317102180590886,"Leukocytes","sender-focused"
"Tgm2",0.517608956760462,0.00584220605793554,0.00242223341771666,0.000317102180590886,"SmoothMuscleCells","sender-focused"
"Tgm2",0.517608956760462,0.00584220605793554,0.00242223341771666,0.000317102180590886,"EndocardialCells","sender-focused"
"Mpdz",0.558750857927232,0.00577127493583173,0.00235130229561285,0.0125768422670554,"Fibroblasts","sender-focused"
"Mpdz",0.558750857927232,0.00577127493583173,0.00235130229561285,0.0125768422670554,"Myocytes","sender-focused"
