"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Ccl19",0.495023475688172,0.0131437764506751,0.00953366814742603,0.0102247352907397,"EndocardialCells","sender-focused"
"Pf4",0.476859295943732,0.0129383521462327,0.00932824384298362,0.0133151325268439,"EndothelialCells","sender-focused"
"Pf4",0.476859295943732,0.0129383521462327,0.00932824384298362,0.0133151325268439,"Myocytes","sender-focused"
"Pf4",0.476859295943732,0.0129383521462327,0.00932824384298362,0.0133151325268439,"Leukocytes","sender-focused"
"Pf4",0.476859295943732,0.0129383521462327,0.00932824384298362,0.0133151325268439,"SmoothMuscleCells","sender-focused"
"Pf4",0.476859295943732,0.0129383521462327,0.00932824384298362,0.0133151325268439,"EndocardialCells","sender-focused"
"Lrig1",0.425901509304529,0.0129311879851823,0.00932107968193325,0.00711157187746324,"Myocytes","sender-focused"
"Lrig1",0.425901509304529,0.0129311879851823,0.00932107968193325,0.00711157187746324,"SmoothMuscleCells","sender-focused"
"Lrig1",0.425901509304529,0.0129311879851823,0.00932107968193325,0.00711157187746324,"EndocardialCells","sender-focused"
"Col4a4",0.486914179744437,0.0101245375500319,0.0065144292467828,0.0245399258591063,"EndocardialCells","sender-focused"
"Postn",0.571590129491475,0.00984855621134832,0.00623844790809922,0.0237962346526444,"SmoothMuscleCells","sender-focused"
"Postn",0.571590129491475,0.00984855621134832,0.00623844790809922,0.0237962346526444,"EndocardialCells","sender-focused"
"Bgn",0.473206628934056,0.00844743017185302,0.00483732186860392,0.0155267780219439,"EndothelialCells","sender-focused"
"Bgn",0.473206628934056,0.00844743017185302,0.00483732186860392,0.0155267780219439,"Myocytes","sender-focused"
"Bgn",0.473206628934056,0.00844743017185302,0.00483732186860392,0.0155267780219439,"Leukocytes","sender-focused"
"Bgn",0.473206628934056,0.00844743017185302,0.00483732186860392,0.0155267780219439,"SmoothMuscleCells","sender-focused"
"Bgn",0.473206628934056,0.00844743017185302,0.00483732186860392,0.0155267780219439,"EndocardialCells","sender-focused"
"App",0.505188234285208,0.00784903811725042,0.00423892981400132,0.0287778137779083,"EndothelialCells","sender-focused"
"App",0.505188234285208,0.00784903811725042,0.00423892981400132,0.0287778137779083,"Myocytes","sender-focused"
"App",0.505188234285208,0.00784903811725042,0.00423892981400132,0.0287778137779083,"Leukocytes","sender-focused"
"App",0.505188234285208,0.00784903811725042,0.00423892981400132,0.0287778137779083,"SmoothMuscleCells","sender-focused"
"App",0.505188234285208,0.00784903811725042,0.00423892981400132,0.0287778137779083,"EndocardialCells","sender-focused"
"Lama2",0.506228025040705,0.00669102393448018,0.00308091563123108,0.0081672739405883,"Myocytes","sender-focused"
"Lama2",0.506228025040705,0.00669102393448018,0.00308091563123108,0.0081672739405883,"SmoothMuscleCells","sender-focused"
"Prnp",0.507088264299771,0.00573747465395861,0.00212736635070951,0.020114818363309,"EndothelialCells","sender-focused"
"Prnp",0.507088264299771,0.00573747465395861,0.00212736635070951,0.020114818363309,"Myocytes","sender-focused"
"Prnp",0.507088264299771,0.00573747465395861,0.00212736635070951,0.020114818363309,"Leukocytes","sender-focused"
"Prnp",0.507088264299771,0.00573747465395861,0.00212736635070951,0.020114818363309,"SmoothMuscleCells","sender-focused"
"Prnp",0.507088264299771,0.00573747465395861,0.00212736635070951,0.020114818363309,"EndocardialCells","sender-focused"
"Adam17",0.507109703284431,0.00502715291875961,0.00141704461551051,0.0189532656860144,"EndothelialCells","sender-focused"
"Adam17",0.507109703284431,0.00502715291875961,0.00141704461551051,0.0189532656860144,"Myocytes","sender-focused"
"Adam17",0.507109703284431,0.00502715291875961,0.00141704461551051,0.0189532656860144,"Leukocytes","sender-focused"
"Adam17",0.507109703284431,0.00502715291875961,0.00141704461551051,0.0189532656860144,"SmoothMuscleCells","sender-focused"
"Adam17",0.507109703284431,0.00502715291875961,0.00141704461551051,0.0189532656860144,"EndocardialCells","sender-focused"
"Tgfb3",0.530362962010139,0.00498120738774247,0.00137109908449338,0.0148063008296053,"Myocytes","sender-focused"
"Tgfb3",0.530362962010139,0.00498120738774247,0.00137109908449338,0.0148063008296053,"SmoothMuscleCells","sender-focused"
"Bmp6",0.447860389331962,0.00497952035650541,0.00136941205325631,0.0231785220015041,"EndocardialCells","sender-focused"
"Pdgfc",0.453855265414629,0.00494096688146508,0.00133085857821598,0.020694984332521,"Myocytes","sender-focused"
"Pdgfc",0.453855265414629,0.00494096688146508,0.00133085857821598,0.020694984332521,"Leukocytes","sender-focused"
"Tgm2",0.514618707657975,0.0049375834480719,0.0013274751448228,0.018252033578107,"EndothelialCells","sender-focused"
"Tgm2",0.514618707657975,0.0049375834480719,0.0013274751448228,0.018252033578107,"Myocytes","sender-focused"
"Tgm2",0.514618707657975,0.0049375834480719,0.0013274751448228,0.018252033578107,"Leukocytes","sender-focused"
"Tgm2",0.514618707657975,0.0049375834480719,0.0013274751448228,0.018252033578107,"SmoothMuscleCells","sender-focused"
"Tgm2",0.514618707657975,0.0049375834480719,0.0013274751448228,0.018252033578107,"EndocardialCells","sender-focused"
"Tgfb1",0.526110003430237,0.00490346410919977,0.00129335580595067,0.0179205164456953,"EndothelialCells","sender-focused"
