"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Mmp2",0.499639137483077,0.0397678230768139,0.0354341286022743,0.0408724264314442,NA,"sender-agnostic"
"H2-D1",0.46665630343541,0.039766425214085,0.0354327307395454,0.0869108503305044,NA,"sender-agnostic"
"H2-Q4",0.466639648242321,0.0397662556066785,0.035432561132139,0.0868835955285826,NA,"sender-agnostic"
"H2-Q6",0.466639648242321,0.0397662556066785,0.035432561132139,0.0868835955285826,NA,"sender-agnostic"
"H2-K1",0.466173302835824,0.0397625925914724,0.0354288981169328,0.0872216339147856,NA,"sender-agnostic"
"Adm",0.446675623459399,0.0393424052474618,0.0350087107729222,0.0115410102385345,NA,"sender-agnostic"
"Edn1",0.437221025515762,0.0393071652811508,0.0349734708066112,0.0393462359251907,NA,"sender-agnostic"
"Cx3cl1",0.472013723879116,0.0157576566773022,0.0114239622027626,0.0482857848287571,NA,"sender-agnostic"
"Tgfbi",0.465545957229473,0.0126875724574674,0.00835387798292788,0.0447444291810918,NA,"sender-agnostic"
"Vwf",0.497374031222933,0.0104561860090826,0.00612249153454302,0.0616955104350617,NA,"sender-agnostic"
"Anxa2",0.469254513557334,0.0101374966322603,0.00580380215772074,0.0159992211557893,NA,"sender-agnostic"
"Itgam",0.473401656636547,0.0101350717623584,0.00580137728781881,0.0579270787581557,NA,"sender-agnostic"
"Col4a4",0.472696586795772,0.00906102853007283,0.00472733405553328,0.0299292516775465,NA,"sender-agnostic"
"Nrxn1",0.548394439386203,0.00814382964537484,0.0038101351708353,0.0206374949936517,NA,"sender-agnostic"
"Psen1",0.508694010792563,0.00762415368159533,0.00329045920705579,0.0175995178297269,NA,"sender-agnostic"
"Angptl4",0.444932379916066,0.00757339021057131,0.00323969573603176,0.0195549346582931,NA,"sender-agnostic"
"Jam3",0.500471897137533,0.00752501416662391,0.00319131969208437,0.0164747352765177,NA,"sender-agnostic"
"Spon2",0.458822810952464,0.00718250188426453,0.00284880740972498,-0.000448668629212257,NA,"sender-agnostic"
"Mfng",0.499306033621289,0.00717589639265615,0.00284220191811661,0.0132924853701966,NA,"sender-agnostic"
