"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Cd55",0.58434389718888,0.0760271838921819,0.0739429200839342,0.12484207889244,NA,"sender-agnostic"
"Bgn",0.5818823128237,0.0169270694507301,0.0148428056424824,0.0524201630760972,NA,"sender-agnostic"
"Fgf7",0.51220135973232,0.0149570150363127,0.0128727512280649,0.0409926354722766,NA,"sender-agnostic"
"Prnp",0.543200272798977,0.00794550285213904,0.00586123904389131,0.0281026306313137,NA,"sender-agnostic"
"Tspan3",0.653012510389813,0.0072159145131975,0.00513165070494977,0.0349929238756158,NA,"sender-agnostic"
"Nrg1",0.553142516144143,0.0067809027915635,0.00469663898331577,0.0206734359548522,NA,"sender-agnostic"
"Igf2",0.59050318620661,0.0064271381814955,0.00434287437324777,0.0425023588380008,NA,"sender-agnostic"
"Sema4d",0.636410136186339,0.00627330080614663,0.0041890369978989,0.032723171422897,NA,"sender-agnostic"
"Hbegf",0.571908100850367,0.00581570330107726,0.00373143949282953,0.0328626338503839,NA,"sender-agnostic"
"Itgal",0.516964685322162,0.00556291675585299,0.00347865294760526,0.0183161780172746,NA,"sender-agnostic"
"Sema3c",0.578525606871113,0.00549596698731921,0.00341170317907148,0.0225183295576811,NA,"sender-agnostic"
"Pf4",0.563777413098641,0.00539946081119634,0.00331519700294861,0.0274328661929412,NA,"sender-agnostic"
"Cxcl12",0.571108885147377,0.00535782394338238,0.00327356013513465,0.0353923541650705,NA,"sender-agnostic"
"Mmp15",0.605315317235321,0.00531536105408268,0.00323109724583495,0.0217631076140228,NA,"sender-agnostic"
"Bmp2",0.59793056413972,0.00529630367661729,0.00321203986836956,0.0376887886090169,NA,"sender-agnostic"
"Nts",0.5869120436478,0.00528291330076627,0.00319864949251854,0.0198708124361134,NA,"sender-agnostic"
"Fgf14",0.592037680356366,0.0049799649264604,0.00289570111821267,0.0240704785211396,NA,"sender-agnostic"
"Thy1",0.503463268046306,0.00493311116694835,0.00284884735870062,0.0153573801703325,NA,"sender-agnostic"
"Ltbp1",0.539374693633976,0.0048021853663401,0.00271792155809237,0.0173701966146545,NA,"sender-agnostic"
"Lama5",0.562882291511279,0.00476661834840385,0.00268235454015612,0.0196690744810648,NA,"sender-agnostic"
"Ocln",0.575957460412203,0.00475559680536095,0.00267133299711322,0.0205384820750184,NA,"sender-agnostic"
"Col1a2",0.571737601500399,0.0047536267235311,0.00266936291528337,0.0197744383072188,NA,"sender-agnostic"
"Fgf12",0.653012510389797,0.00471713195270601,0.00263286814445828,0.0274103478771471,NA,"sender-agnostic"
"Mmp16",0.614202595852578,0.0046188048341076,0.00253454102585987,0.0216958158796931,NA,"sender-agnostic"
"Serping1",0.548741501673034,0.00458482036179954,0.00250055655355181,0.0193328361567926,NA,"sender-agnostic"
"Pdgfb",0.474467722341816,0.00458372763443869,0.00249946382619096,0.0220671318141921,NA,"sender-agnostic"
"Ahsg",0.570682636772446,0.00450074953820441,0.00241648572995668,0.0176315231048272,NA,"sender-agnostic"
"Fgf13",0.571204791031745,0.00449747233242952,0.00241320852418179,0.0196542746286731,NA,"sender-agnostic"
"Lama2",0.58086997293324,0.00444774178119534,0.00236347797294761,0.00892170739382103,NA,"sender-agnostic"
"Esam",0.546983227126456,0.00443749628362335,0.00235323247537562,0.016539103520545,NA,"sender-agnostic"
"Sirpa",0.549593998422884,0.00443333105949966,0.00234906725125193,0.0179425336014768,NA,"sender-agnostic"
"Apoc2",0.574721340124882,0.00442849738265931,0.00234423357441158,0.0177687441544979,NA,"sender-agnostic"
"Sema7a",0.571492508684839,0.00438854061182314,0.00230427680357541,0.0181494874196833,NA,"sender-agnostic"
"Lpl",0.549199718676066,0.00438101347432461,0.00229674966607688,0.0148028464568517,NA,"sender-agnostic"
"Il1b",0.512808763666607,0.00438042194199241,0.00229615813374468,0.0239157730960653,NA,"sender-agnostic"
"Slc6a8",0.548773470301159,0.00435475835140636,0.00227049454315863,0.014951034067507,NA,"sender-agnostic"
"Col4a6",0.61004667419704,0.00432900123906062,0.00224473743081289,0.021989983633834,NA,"sender-agnostic"
"Sema4a",0.539023038724689,0.00429925624567868,0.00221499243743095,0.0162736401654326,NA,"sender-agnostic"
"Hsp90b1",0.563106071908118,0.0042700473007767,0.00218578349252897,0.0196398442797904,NA,"sender-agnostic"
"Fndc5",0.564906971292187,0.00423566514198031,0.00215140133373258,0.0185610150713964,NA,"sender-agnostic"
"Apoe",0.544148675433196,0.00423538380311326,0.00215111999486553,0.0135568892123161,NA,"sender-agnostic"
"Lgals3",0.585047207007519,0.00422624574613593,0.0021419819378882,0.0125082751372964,NA,"sender-agnostic"
"Furin",0.53836235374354,0.00422456153538379,0.00214029772713606,0.0152907243334524,NA,"sender-agnostic"
"Spon1",0.541058374714968,0.0042141895558221,0.00212992574757437,0.014099858513055,NA,"sender-agnostic"
"Msn",0.603056200848215,0.00413823544177385,0.00205397163352612,0.021128366729962,NA,"sender-agnostic"
"Nrp1",0.536369642590753,0.00413770921546806,0.00205344540722033,0.0127732144713326,NA,"sender-agnostic"
"Wnt5a",0.545470045395456,0.0041352912314347,0.00205102742318697,0.0250664113913659,NA,"sender-agnostic"
"Fn1",0.581125721958202,0.00412622163560731,0.00204195782735958,0.0150519517838898,NA,"sender-agnostic"
"C1qa",0.548613627160568,0.00412419680943311,0.00203993300118538,0.010552787660995,NA,"sender-agnostic"
"H2-D1",0.544361799620634,0.00410822669190023,0.0020239628836525,0.0173276420713189,NA,"sender-agnostic"
"H2-Q4",0.544372455830008,0.00410822576178563,0.0020239619535379,0.017328422572386,NA,"sender-agnostic"
"H2-Q6",0.544372455830008,0.00410822576178563,0.0020239619535379,0.017328422572386,NA,"sender-agnostic"
"Col6a3",0.571705632872286,0.00410791561667149,0.00202365180842376,0.0190985124617231,NA,"sender-agnostic"
"Col14a1",0.571524477312946,0.00409138246660856,0.00200711865836083,0.0202391935405197,NA,"sender-agnostic"
"Mdk",0.589160503825583,0.00408969675286875,0.00200543294462102,0.0139184471002143,NA,"sender-agnostic"
"Tspan5",0.548954625860508,0.00408130871327372,0.00199704490502599,0.0157884155652718,NA,"sender-agnostic"
"Arf1",0.556168879606155,0.00407593806998932,0.00199167426174159,0.0175807634130371,NA,"sender-agnostic"
"H2-K1",0.542060058396021,0.00406921146297658,0.00198494765472885,0.017004580702055,NA,"sender-agnostic"
"Tnxb",0.57196138189722,0.00405757568581232,0.00197331187756459,0.0148954685255885,NA,"sender-agnostic"
"Ncam1",0.547111101638953,0.00404982293757972,0.00196555912933199,0.0166152408849181,NA,"sender-agnostic"
"Enpp1",0.548496408857448,0.00404613930158618,0.00196187549333845,0.0167605086944598,NA,"sender-agnostic"
"Hspg2",0.559685428699331,0.00404443693283766,0.00196017312458993,0.0149475747117429,NA,"sender-agnostic"
"Apoc1",0.556296754118633,0.00403113858160299,0.00194687477335526,0.017104070968719,NA,"sender-agnostic"
"Lamb1",0.584695552098202,0.00402388913735601,0.00193962532910828,0.0180008167963626,NA,"sender-agnostic"
"Ezr",0.556712346284176,0.00402254943678557,0.00193828562853784,0.0145321773393604,NA,"sender-agnostic"
"Tnfsf12",0.552631018094258,0.00401628405262136,0.00193202024437363,0.0230845395974489,NA,"sender-agnostic"
"Fgf16",0.521077982140189,0.00401008251246852,0.00192581870422079,0.0127579450381133,NA,"sender-agnostic"
"Fbn1",0.558300121480797,0.00400793038953951,0.00192366658129178,0.0136527417634785,NA,"sender-agnostic"
"Anxa1",0.545512670232963,0.00400230949024569,0.00191804568199796,0.0162295351214158,NA,"sender-agnostic"
"Col6a2",0.58539886191684,0.00398939518886115,0.00190513138061342,0.019389957308287,NA,"sender-agnostic"
"Col15a1",0.574870527056101,0.00397924688239906,0.00189498307415133,0.015451917744616,NA,"sender-agnostic"
"Nlgn2",0.551693271669438,0.00396576298134521,0.00188149917309748,0.016402315287233,NA,"sender-agnostic"
"Col4a3",0.562360137251989,0.00396109324045247,0.00187682943220474,0.0184567733536585,NA,"sender-agnostic"
"Nid1",0.556424628631127,0.00395825844456885,0.00187399463632112,0.0141726602023295,NA,"sender-agnostic"
"Col6a6",0.586166108991712,0.00395680453917167,0.00187254073092394,0.0194657073719444,NA,"sender-agnostic"
"Copa",0.552854798491095,0.00395626380416246,0.00187199999591473,0.00954586037318696,NA,"sender-agnostic"
"Col27a1",0.576852581999541,0.00395602215911366,0.00187175835086593,0.0200504333615,NA,"sender-agnostic"
"Lamc1",0.594445983674676,0.00395305807014413,0.0018687942618964,0.0166638538712891,NA,"sender-agnostic"
"Cd14",0.513000575435296,0.0039311073718689,0.00184684356362117,0.0103657193799536,NA,"sender-agnostic"
"Apoa2",0.537882824321741,0.00390600531907085,0.00182174151082312,0.0129312238713135,NA,"sender-agnostic"
"Mmp14",0.573101596300177,0.00388738133998639,0.00180311753173866,0.0150311914331697,NA,"sender-agnostic"
"Tgfb3",0.589895782272341,0.00388524044425836,0.00180097663601063,0.0284496507852424,NA,"sender-agnostic"
"Nrxn2",0.555241789390678,0.00386590615469885,0.00178164234645112,0.0135744643900773,NA,"sender-agnostic"
"Vegfc",0.539055007352774,0.00386323792595976,0.00177897411771203,0.00335460296600784,NA,"sender-agnostic"
"Fgfrl1",0.510102086485811,0.00385917952546378,0.00177491571721605,0.0112624798661257,NA,"sender-agnostic"
"Plxna1",0.527439739135996,0.00384267007961115,0.00175840627136342,0.0126228795832313,NA,"sender-agnostic"
"Entpd1",0.574668059078041,0.00383564976758865,0.00175138595934092,0.0115132994222601,NA,"sender-agnostic"
"Col4a5",0.578823980733592,0.00383388330108064,0.00174961949283292,0.0186400781881785,NA,"sender-agnostic"
"Pgf",0.513362886554015,0.00383061342414559,0.00174634961589786,0.00870026767608608,NA,"sender-agnostic"
"Gas6",0.54376505189577,0.00381673534311386,0.00173247153486613,0.015095977344636,NA,"sender-agnostic"
"Sema5a",0.601287270092279,0.00381473383608347,0.00173047002783574,0.0172254718700814,NA,"sender-agnostic"
"Mfge8",0.570181794931925,0.00381119076240804,0.00172692695416031,0.0161448660721617,NA,"sender-agnostic"
"Col4a2",0.593849235949779,0.00380644783088657,0.00172218402263884,0.0171399749538543,NA,"sender-agnostic"
"Efnb1",0.531233349672874,0.00379972183825126,0.00171545803000353,0.0148404339967838,NA,"sender-agnostic"
"Efna1",0.528857014982661,0.00379856199665882,0.00171429818841109,0.0136837214675834,NA,"sender-agnostic"
