"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Timp1",0.346591799016359,0.00681720442868548,0.00555013417667928,0.0138561676644081,NA,"sender-agnostic"
"Angptl4",0.461508943395036,0.00505216382986366,0.00378509357785746,0.0476881412741135,NA,"sender-agnostic"
"Epha4",0.474657770259701,0.00499464374378229,0.0037275734917761,0.0174357914537155,NA,"sender-agnostic"
"Angpt1",0.484932493813233,0.00373867171588597,0.00247160146387977,0.0289277137877285,NA,"sender-agnostic"
"Dll4",0.394848541803724,0.00361409627517722,0.00234702602317103,0.00309974198177395,NA,"sender-agnostic"
"Dll1",0.374487046956722,0.00313386304318614,0.00186679279117994,-0.00539473669489746,NA,"sender-agnostic"
"Lfng",0.366757510259041,0.00257109928235597,0.00130402903034978,-0.00767806884480348,NA,"sender-agnostic"
"Jag1",0.413690755881342,0.0024735605284573,0.0012064902764511,0.0188317720560589,NA,"sender-agnostic"
"Adam10",0.378966575823043,0.00233441390434114,0.00106734365233495,-0.0093497814212106,NA,"sender-agnostic"
"Boc",0.352230366820152,0.0022587881045755,0.000991717852569309,-0.0122047716672737,NA,"sender-agnostic"
"Bace2",0.391034677191971,0.00225553392734963,0.000988463675343434,-0.00302826993423633,NA,"sender-agnostic"
"Mfng",0.435132976224028,0.00213866458254185,0.000871594330535652,-0.00187309580005833,NA,"sender-agnostic"
"Sema3f",0.257447608307486,0.00210010221590841,0.000833031963902218,-0.0173829120663991,NA,"sender-agnostic"
"Tgfb2",0.290762146414806,0.00206656366706542,0.000799493415059223,0.0142397058157461,NA,"sender-agnostic"
"Jag2",0.373970178241377,0.00206153368063685,0.000794463428630657,-0.00982845028819155,NA,"sender-agnostic"
"Neo1",0.384855746640334,0.00193234739606522,0.000665277144059028,-0.00879496668405611,NA,"sender-agnostic"
"Fgf1",0.351196629389451,0.00191345161168612,0.000646381359679924,0.0311533053579375,NA,"sender-agnostic"
"Tgfb1",0.498966262569346,0.00182517896851786,0.000558108716511661,0.00942419480306033,NA,"sender-agnostic"
"Rarres2",0.39900698555899,0.00178279790352358,0.000515727651517388,-0.00401832432603657,NA,"sender-agnostic"
"Calr",0.407402186511293,0.00177809572900044,0.000511025476994247,0.0171530365000552,NA,"sender-agnostic"
"Robo1",0.3353459887855,0.00173828885483768,0.000471218602831485,-0.0161020362465798,NA,"sender-agnostic"
"Lama4",0.34203395670831,0.00170110613404815,0.000434035882041951,-0.0135676695924072,NA,"sender-agnostic"
"Ifitm6",0.409195564326655,0.00165518952658503,0.000388119274578837,-0.00408035410170804,NA,"sender-agnostic"
"S100a4",0.379835855026129,0.00161491182808814,0.000347841576081942,-0.00955200335870054,NA,"sender-agnostic"
"Sema4d",0.429016696425734,0.00159333674115116,0.000326266489144969,-0.0096697720542461,NA,"sender-agnostic"
"Ccl11",0.359302070607401,0.00154932437187972,0.000282254119873523,-0.0139976178279768,NA,"sender-agnostic"
"Tnf",0.379225010180712,0.00152969340469247,0.000262623152686279,0.00796296925006455,NA,"sender-agnostic"
"Spon2",0.344320709206522,0.00152831684456451,0.000261246592558318,-0.0107644782658999,NA,"sender-agnostic"
"Mfap5",0.327585126711118,0.00149725475277029,0.000230184500764091,-0.00609108336202633,NA,"sender-agnostic"
"Dusp18",0.332910440748037,0.00149356136849981,0.000226491116493617,-0.0168885584339972,NA,"sender-agnostic"
"S100a8",0.327741753594577,0.00148378255650847,0.000216712304502275,-0.0150600966177539,NA,"sender-agnostic"
"Bmp6",0.298319393540704,0.00148184790642125,0.000214777654415058,0.0101977793661199,NA,"sender-agnostic"
"Psen1",0.315415217867975,0.00147685791644939,0.000209787664443198,-0.0123720663084626,NA,"sender-agnostic"
"Cp",0.337233342730937,0.00144683674653113,0.000179766494524936,-0.0126855133370735,NA,"sender-agnostic"
"Efemp2",0.336700811327253,0.00144081172031781,0.000173741468311613,-0.0143492500660022,NA,"sender-agnostic"
"Bmp1",0.328383923816675,0.00142762654474027,0.000160556292734073,-0.0135349587217055,NA,"sender-agnostic"
"Igf1",0.435219121009918,0.00142270420165834,0.000155633949652149,0.00628970326518187,NA,"sender-agnostic"
"Lrrn2",0.419572095354436,0.00140810068902495,0.000141030437018752,-0.0106489269910915,NA,"sender-agnostic"
"Mmrn2",0.466474015600027,0.00139181512224809,0.000124744870241896,-0.00237841618917127,NA,"sender-agnostic"
"Cxcl9",0.309565203771573,0.00137855004657175,0.000111479794565551,-0.0138982375875822,NA,"sender-agnostic"
"Sema3a",0.333912852802031,0.00136817809498243,0.000101107842976237,-0.0149303188323129,NA,"sender-agnostic"
"Thbs2",0.279022961501099,0.00136714825612914,0.000100078004122948,-0.01717344517173,NA,"sender-agnostic"
"Tgfb3",0.389382263571733,0.00136682479500122,9.9754542995024e-05,0.00743323675649243,NA,"sender-agnostic"
"Cd38",0.359654481095132,0.00136500211796347,9.79318659572745e-05,-0.0133974883239909,NA,"sender-agnostic"
"Efna5",0.276015725339097,0.00135105662600773,8.39863740015356e-05,-0.0196398151087761,NA,"sender-agnostic"
"Mpdz",0.402977477054138,0.00134507952634388,7.80092743376862e-05,-0.011418878107747,NA,"sender-agnostic"
