"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Adm",0.557071121726285,0.0418324863490995,0.0364872747678077,0.0519043692457525,NA,"sender-agnostic"
"Il1rn",0.49279121261879,0.034020330589419,0.0286751190081273,0.050236089954725,NA,"sender-agnostic"
"Tgfbi",0.468032127514877,0.0338767390744899,0.0285315274931982,0.0483224852948116,NA,"sender-agnostic"
"Ntn1",0.430194805194801,0.0337605005827906,0.0284152890014989,0.0427701835681821,NA,"sender-agnostic"
"Itgal",0.408251231527097,0.0327074724102286,0.0273622608289368,0.00940228055104742,NA,"sender-agnostic"
"Hbegf",0.515775571810049,0.0170016544495357,0.0116564428682439,0.0747463203339283,NA,"sender-agnostic"
"Vwf",0.427561742216909,0.012556396418753,0.00721118483746122,0.0531491002850636,NA,"sender-agnostic"
"Nampt",0.44066900532416,0.0124657482215098,0.007120536640218,0.0300668394428471,NA,"sender-agnostic"
"Tslp",0.505031845549092,0.0124595708634946,0.00711435928220281,0.0190342138347655,NA,"sender-agnostic"
"Angptl4",0.444011129355944,0.0119208244459919,0.00657561286470019,0.0160839384334666,NA,"sender-agnostic"
"Tnfsf9",0.426649499925344,0.0117079195035303,0.00636270792223851,0.00100528945369743,NA,"sender-agnostic"
"Lpl",0.418372974407456,0.0117066585441788,0.00636144696288707,0.0302793095828184,NA,"sender-agnostic"
"Prnp",0.434679305368952,0.0115088581267007,0.00616364654540897,0.0184962849824106,NA,"sender-agnostic"
"Postn",0.511716093612632,0.0112993954862335,0.0059541839049417,0.0181412841632662,NA,"sender-agnostic"
"Timp1",0.449517755552227,0.0104963468818318,0.00515113530054002,0.0106941764332259,NA,"sender-agnostic"
"Edn1",0.434208671277618,0.0104921027685498,0.00514689118725806,0.0406404650348499,NA,"sender-agnostic"
"Wnt11",0.420846394984313,0.0100359056794538,0.00469069409816206,0.00247188078838726,NA,"sender-agnostic"
"Igf2",0.54019878588843,0.0097428951939673,0.00439768361267554,0.0449207721856795,NA,"sender-agnostic"
"Gpc6",0.456894478446193,0.00970120980552111,0.00435599822422935,0.00311578810170324,NA,"sender-agnostic"
