"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Adm",0.557071121726285,0.0418324863490995,0.0364872747678077,0.0519043692457525,"Fibroblasts","sender-focused"
"Adm",0.557071121726285,0.0418324863490995,0.0364872747678077,0.0519043692457525,"EndothelialCells","sender-focused"
"Adm",0.557071121726285,0.0418324863490995,0.0364872747678077,0.0519043692457525,"Myocytes","sender-focused"
"Adm",0.557071121726285,0.0418324863490995,0.0364872747678077,0.0519043692457525,"EndocardialCells","sender-focused"
"Il1rn",0.49279121261879,0.034020330589419,0.0286751190081273,0.050236089954725,"Leukocytes","sender-focused"
"Tgfbi",0.468032127514877,0.0338767390744899,0.0285315274931982,0.0483224852948116,"Fibroblasts","sender-focused"
"Tgfbi",0.468032127514877,0.0338767390744899,0.0285315274931982,0.0483224852948116,"Leukocytes","sender-focused"
"Tgfbi",0.468032127514877,0.0338767390744899,0.0285315274931982,0.0483224852948116,"EndocardialCells","sender-focused"
"Ntn1",0.430194805194801,0.0337605005827906,0.0284152890014989,0.0427701835681821,"Fibroblasts","sender-focused"
"Ntn1",0.430194805194801,0.0337605005827906,0.0284152890014989,0.0427701835681821,"Myocytes","sender-focused"
"Ntn1",0.430194805194801,0.0337605005827906,0.0284152890014989,0.0427701835681821,"EndocardialCells","sender-focused"
"Itgal",0.408251231527097,0.0327074724102286,0.0273622608289368,0.00940228055104742,"Leukocytes","sender-focused"
"Hbegf",0.515775571810049,0.0170016544495357,0.0116564428682439,0.0747463203339283,"EndothelialCells","sender-focused"
"Hbegf",0.515775571810049,0.0170016544495357,0.0116564428682439,0.0747463203339283,"Myocytes","sender-focused"
"Hbegf",0.515775571810049,0.0170016544495357,0.0116564428682439,0.0747463203339283,"EndocardialCells","sender-focused"
"Vwf",0.427561742216909,0.012556396418753,0.00721118483746122,0.0531491002850636,"EndothelialCells","sender-focused"
"Vwf",0.427561742216909,0.012556396418753,0.00721118483746122,0.0531491002850636,"EndocardialCells","sender-focused"
"Nampt",0.44066900532416,0.0124657482215098,0.007120536640218,0.0300668394428471,"Fibroblasts","sender-focused"
"Nampt",0.44066900532416,0.0124657482215098,0.007120536640218,0.0300668394428471,"EndothelialCells","sender-focused"
"Nampt",0.44066900532416,0.0124657482215098,0.007120536640218,0.0300668394428471,"Myocytes","sender-focused"
"Nampt",0.44066900532416,0.0124657482215098,0.007120536640218,0.0300668394428471,"Leukocytes","sender-focused"
"Nampt",0.44066900532416,0.0124657482215098,0.007120536640218,0.0300668394428471,"EndocardialCells","sender-focused"
"Tslp",0.505031845549092,0.0124595708634946,0.00711435928220281,0.0190342138347655,"Fibroblasts","sender-focused"
"Tslp",0.505031845549092,0.0124595708634946,0.00711435928220281,0.0190342138347655,"Leukocytes","sender-focused"
"Angptl4",0.444011129355944,0.0119208244459919,0.00657561286470019,0.0160839384334666,"Fibroblasts","sender-focused"
"Angptl4",0.444011129355944,0.0119208244459919,0.00657561286470019,0.0160839384334666,"EndothelialCells","sender-focused"
"Angptl4",0.444011129355944,0.0119208244459919,0.00657561286470019,0.0160839384334666,"Myocytes","sender-focused"
"Tnfsf9",0.426649499925344,0.0117079195035303,0.00636270792223851,0.00100528945369743,"Leukocytes","sender-focused"
"Lpl",0.418372974407456,0.0117066585441788,0.00636144696288707,0.0302793095828184,"Fibroblasts","sender-focused"
"Lpl",0.418372974407456,0.0117066585441788,0.00636144696288707,0.0302793095828184,"EndothelialCells","sender-focused"
"Lpl",0.418372974407456,0.0117066585441788,0.00636144696288707,0.0302793095828184,"Myocytes","sender-focused"
"Lpl",0.418372974407456,0.0117066585441788,0.00636144696288707,0.0302793095828184,"Leukocytes","sender-focused"
"Lpl",0.418372974407456,0.0117066585441788,0.00636144696288707,0.0302793095828184,"EndocardialCells","sender-focused"
"Prnp",0.434679305368952,0.0115088581267007,0.00616364654540897,0.0184962849824106,"Fibroblasts","sender-focused"
"Prnp",0.434679305368952,0.0115088581267007,0.00616364654540897,0.0184962849824106,"EndothelialCells","sender-focused"
"Prnp",0.434679305368952,0.0115088581267007,0.00616364654540897,0.0184962849824106,"Myocytes","sender-focused"
"Prnp",0.434679305368952,0.0115088581267007,0.00616364654540897,0.0184962849824106,"Leukocytes","sender-focused"
"Prnp",0.434679305368952,0.0115088581267007,0.00616364654540897,0.0184962849824106,"EndocardialCells","sender-focused"
"Postn",0.511716093612632,0.0112993954862335,0.0059541839049417,0.0181412841632662,"Fibroblasts","sender-focused"
"Postn",0.511716093612632,0.0112993954862335,0.0059541839049417,0.0181412841632662,"EndocardialCells","sender-focused"
"Timp1",0.449517755552227,0.0104963468818318,0.00515113530054002,0.0106941764332259,"Fibroblasts","sender-focused"
"Timp1",0.449517755552227,0.0104963468818318,0.00515113530054002,0.0106941764332259,"EndocardialCells","sender-focused"
"Edn1",0.434208671277618,0.0104921027685498,0.00514689118725806,0.0406404650348499,"EndothelialCells","sender-focused"
"Edn1",0.434208671277618,0.0104921027685498,0.00514689118725806,0.0406404650348499,"EndocardialCells","sender-focused"
"Wnt11",0.420846394984313,0.0100359056794538,0.00469069409816206,0.00247188078838726,"Fibroblasts","sender-focused"
"Igf2",0.54019878588843,0.0097428951939673,0.00439768361267554,0.0449207721856795,"EndocardialCells","sender-focused"
"Gpc6",0.456894478446193,0.00970120980552111,0.00435599822422935,0.00311578810170324,"Fibroblasts","sender-focused"
"Gpc6",0.456894478446193,0.00970120980552111,0.00435599822422935,0.00311578810170324,"EndocardialCells","sender-focused"
"Wnt2",0.427093181403511,0.00897001634231207,0.00362480476102031,0.00164882402762474,"EndocardialCells","sender-focused"
"Wnt9a",0.437304075235108,0.00893205723399792,0.00358684565270616,0.0037264224425077,"Fibroblasts","sender-focused"
"Glg1",0.451056127780259,0.00879241404670359,0.00344720246541183,0.00438259308377129,"Fibroblasts","sender-focused"
"Glg1",0.451056127780259,0.00879241404670359,0.00344720246541183,0.00438259308377129,"EndothelialCells","sender-focused"
"Glg1",0.451056127780259,0.00879241404670359,0.00344720246541183,0.00438259308377129,"Myocytes","sender-focused"
"Glg1",0.451056127780259,0.00879241404670359,0.00344720246541183,0.00438259308377129,"Leukocytes","sender-focused"
"Glg1",0.451056127780259,0.00879241404670359,0.00344720246541183,0.00438259308377129,"EndocardialCells","sender-focused"
"Cntf",0.544565109220278,0.00876364044059742,0.00341842885930566,0.0242466777073268,"Myocytes","sender-focused"
"Robo1",0.429216218009312,0.00865911360792322,0.00331390202663146,-0.00354846240312644,"Fibroblasts","sender-focused"
"Ctf1",0.439151365875492,0.00857626597210902,0.00323105439081726,0.00212347925780305,"Myocytes","sender-focused"
"Ptprm",0.435237017133567,0.00854532038931956,0.0032001088080278,-0.00637368476941939,"Fibroblasts","sender-focused"
"Ptprm",0.435237017133567,0.00854532038931956,0.0032001088080278,-0.00637368476941939,"EndothelialCells","sender-focused"
"Ptprm",0.435237017133567,0.00854532038931956,0.0032001088080278,-0.00637368476941939,"Myocytes","sender-focused"
"Ptprm",0.435237017133567,0.00854532038931956,0.0032001088080278,-0.00637368476941939,"EndocardialCells","sender-focused"
"S100a8",0.468811680018573,0.0085336418437625,0.00318843026247074,0.00489381956006904,"Fibroblasts","sender-focused"
"S100a8",0.468811680018573,0.0085336418437625,0.00318843026247074,0.00489381956006904,"EndothelialCells","sender-focused"
"S100a8",0.468811680018573,0.0085336418437625,0.00318843026247074,0.00489381956006904,"Leukocytes","sender-focused"
"Clec11a",0.420782123368312,0.00834512892387378,0.00299991734258202,-0.00355020385635512,"Fibroblasts","sender-focused"
"Il1b",0.469122671708864,0.00828881530688932,0.00294360372559756,0.0300650324865222,"Leukocytes","sender-focused"
"Jam3",0.421623874210084,0.00826085144190412,0.00291563986061236,-0.0109910627637934,"Fibroblasts","sender-focused"
"Jam3",0.421623874210084,0.00826085144190412,0.00291563986061236,-0.0109910627637934,"EndothelialCells","sender-focused"
"Jam3",0.421623874210084,0.00826085144190412,0.00291563986061236,-0.0109910627637934,"Myocytes","sender-focused"
"Jam3",0.421623874210084,0.00826085144190412,0.00291563986061236,-0.0109910627637934,"EndocardialCells","sender-focused"
"Pecam1",0.429462938083616,0.00819323012675008,0.00284801854545832,-0.00326801104012705,"Fibroblasts","sender-focused"
"Pecam1",0.429462938083616,0.00819323012675008,0.00284801854545832,-0.00326801104012705,"EndothelialCells","sender-focused"
"Pecam1",0.429462938083616,0.00819323012675008,0.00284801854545832,-0.00326801104012705,"Myocytes","sender-focused"
"Pecam1",0.429462938083616,0.00819323012675008,0.00284801854545832,-0.00326801104012705,"Leukocytes","sender-focused"
"Pecam1",0.429462938083616,0.00819323012675008,0.00284801854545832,-0.00326801104012705,"EndocardialCells","sender-focused"
"Cdh5",0.433530709392766,0.00814105329375663,0.00279584171246487,-0.00564254186741017,"EndothelialCells","sender-focused"
"Cdh5",0.433530709392766,0.00814105329375663,0.00279584171246487,-0.00564254186741017,"Myocytes","sender-focused"
"Cdh5",0.433530709392766,0.00814105329375663,0.00279584171246487,-0.00564254186741017,"Leukocytes","sender-focused"
"Cdh5",0.433530709392766,0.00814105329375663,0.00279584171246487,-0.00564254186741017,"EndocardialCells","sender-focused"
"Mmp9",0.427130500406349,0.00805806433317674,0.00271285275188498,0.0224854273056879,"Leukocytes","sender-focused"
"Angpt1",0.464889038164893,0.00790601816829485,0.00256080658700309,0.00512672063051525,"Fibroblasts","sender-focused"
"Angpt1",0.464889038164893,0.00790601816829485,0.00256080658700309,0.00512672063051525,"Myocytes","sender-focused"
"Boc",0.4711420444179,0.00788044623550812,0.00253523465421636,0.000256805476169723,"Fibroblasts","sender-focused"
"Boc",0.4711420444179,0.00788044623550812,0.00253523465421636,0.000256805476169723,"EndocardialCells","sender-focused"
"Esam",0.469844172430362,0.00781688782040596,0.0024716762391142,0.000387455882820491,"EndothelialCells","sender-focused"
"Esam",0.469844172430362,0.00781688782040596,0.0024716762391142,0.000387455882820491,"Myocytes","sender-focused"
"Esam",0.469844172430362,0.00781688782040596,0.0024716762391142,0.000387455882820491,"Leukocytes","sender-focused"
"Esam",0.469844172430362,0.00781688782040596,0.0024716762391142,0.000387455882820491,"EndocardialCells","sender-focused"
"Icam1",0.441228790366716,0.00780381459870401,0.00245860301741225,0.00155610832321739,"Fibroblasts","sender-focused"
"Icam1",0.441228790366716,0.00780381459870401,0.00245860301741225,0.00155610832321739,"EndothelialCells","sender-focused"
"Icam1",0.441228790366716,0.00780381459870401,0.00245860301741225,0.00155610832321739,"Leukocytes","sender-focused"
"Icam1",0.441228790366716,0.00780381459870401,0.00245860301741225,0.00155610832321739,"EndocardialCells","sender-focused"
"Igfbp4",0.418804216217999,0.0077323971718598,0.00238718559056804,-0.00853766334640653,"Fibroblasts","sender-focused"
"Igfbp4",0.418804216217999,0.0077323971718598,0.00238718559056804,-0.00853766334640653,"EndothelialCells","sender-focused"
"Igfbp4",0.418804216217999,0.0077323971718598,0.00238718559056804,-0.00853766334640653,"Myocytes","sender-focused"
"Igfbp4",0.418804216217999,0.0077323971718598,0.00238718559056804,-0.00853766334640653,"Leukocytes","sender-focused"
"Igfbp4",0.418804216217999,0.0077323971718598,0.00238718559056804,-0.00853766334640653,"EndocardialCells","sender-focused"
"Cd14",0.43715687250169,0.00771089283849027,0.00236568125719851,-0.00110593614958068,"Leukocytes","sender-focused"
"Nppb",0.438983430362722,0.00771050630996027,0.00236529472866851,-0.000968642969358066,"Myocytes","sender-focused"
"S100a9",0.464660977592001,0.00762061835812521,0.00227540677683345,0.0015809113557341,"Fibroblasts","sender-focused"
"S100a9",0.464660977592001,0.00762061835812521,0.00227540677683345,0.0015809113557341,"EndothelialCells","sender-focused"
"S100a9",0.464660977592001,0.00762061835812521,0.00227540677683345,0.0015809113557341,"Leukocytes","sender-focused"
"Msn",0.448126586057609,0.00760106755724194,0.00225585597595018,-0.0035733839184337,"Fibroblasts","sender-focused"
"Msn",0.448126586057609,0.00760106755724194,0.00225585597595018,-0.0035733839184337,"EndothelialCells","sender-focused"
"Msn",0.448126586057609,0.00760106755724194,0.00225585597595018,-0.0035733839184337,"Myocytes","sender-focused"
"Msn",0.448126586057609,0.00760106755724194,0.00225585597595018,-0.0035733839184337,"Leukocytes","sender-focused"
"Msn",0.448126586057609,0.00760106755724194,0.00225585597595018,-0.0035733839184337,"EndocardialCells","sender-focused"
"Efnb3",0.458484682622605,0.00754494191407731,0.00219973033278555,-0.000305416492595079,"Myocytes","sender-focused"
"Cd38",0.458548954238595,0.00750042331182295,0.00215521173053119,1.01496612712726e-05,"EndothelialCells","sender-focused"
"Cd38",0.458548954238595,0.00750042331182295,0.00215521173053119,1.01496612712726e-05,"Leukocytes","sender-focused"
"Cd38",0.458548954238595,0.00750042331182295,0.00215521173053119,1.01496612712726e-05,"EndocardialCells","sender-focused"
"Rarres2",0.414153853809015,0.00747355398110461,0.00212834239981285,-0.0074548246897125,"Fibroblasts","sender-focused"
"Rarres2",0.414153853809015,0.00747355398110461,0.00212834239981285,-0.0074548246897125,"Myocytes","sender-focused"
"Rarres2",0.414153853809015,0.00747355398110461,0.00212834239981285,-0.0074548246897125,"EndocardialCells","sender-focused"
"Serping1",0.430775323016703,0.0073882155433714,0.00204300396207964,-0.00684238664578534,"Fibroblasts","sender-focused"
"Serping1",0.430775323016703,0.0073882155433714,0.00204300396207964,-0.00684238664578534,"EndothelialCells","sender-focused"
"Serping1",0.430775323016703,0.0073882155433714,0.00204300396207964,-0.00684238664578534,"Myocytes","sender-focused"
"Serping1",0.430775323016703,0.0073882155433714,0.00204300396207964,-0.00684238664578534,"Leukocytes","sender-focused"
"Serping1",0.430775323016703,0.0073882155433714,0.00204300396207964,-0.00684238664578534,"EndocardialCells","sender-focused"
"Efna5",0.421914133121023,0.00734481162308377,0.00199960004179201,-0.00699559121637728,"Fibroblasts","sender-focused"
"Efna5",0.421914133121023,0.00734481162308377,0.00199960004179201,-0.00699559121637728,"Myocytes","sender-focused"
"Efna5",0.421914133121023,0.00734481162308377,0.00199960004179201,-0.00699559121637728,"EndocardialCells","sender-focused"
"Adam17",0.459875852117224,0.0072809358830957,0.00193572430180394,0.0199052230553474,"Fibroblasts","sender-focused"
"Adam17",0.459875852117224,0.0072809358830957,0.00193572430180394,0.0199052230553474,"EndothelialCells","sender-focused"
"Adam17",0.459875852117224,0.0072809358830957,0.00193572430180394,0.0199052230553474,"Myocytes","sender-focused"
"Adam17",0.459875852117224,0.0072809358830957,0.00193572430180394,0.0199052230553474,"Leukocytes","sender-focused"
"Adam17",0.459875852117224,0.0072809358830957,0.00193572430180394,0.0199052230553474,"EndocardialCells","sender-focused"
"Efna1",0.43951833607005,0.00723043559492368,0.00188522401363192,-0.004990211513675,"Fibroblasts","sender-focused"
"Efna1",0.43951833607005,0.00723043559492368,0.00188522401363192,-0.004990211513675,"EndothelialCells","sender-focused"
"Efna1",0.43951833607005,0.00723043559492368,0.00188522401363192,-0.004990211513675,"Myocytes","sender-focused"
"Efna1",0.43951833607005,0.00723043559492368,0.00188522401363192,-0.004990211513675,"EndocardialCells","sender-focused"
"Tspan3",0.464810253603346,0.00717275681355141,0.00182754523225965,-0.00343860622763299,"Fibroblasts","sender-focused"
"Tspan3",0.464810253603346,0.00717275681355141,0.00182754523225965,-0.00343860622763299,"EndothelialCells","sender-focused"
"Tspan3",0.464810253603346,0.00717275681355141,0.00182754523225965,-0.00343860622763299,"Myocytes","sender-focused"
"Tspan3",0.464810253603346,0.00717275681355141,0.00182754523225965,-0.00343860622763299,"Leukocytes","sender-focused"
"Tspan3",0.464810253603346,0.00717275681355141,0.00182754523225965,-0.00343860622763299,"EndocardialCells","sender-focused"
"Neo1",0.500255013186031,0.00717247109664542,0.00182725951535366,0.00407795620690451,"Fibroblasts","sender-focused"
"Neo1",0.500255013186031,0.00717247109664542,0.00182725951535366,0.00407795620690451,"Myocytes","sender-focused"
"Neo1",0.500255013186031,0.00717247109664542,0.00182725951535366,0.00407795620690451,"EndocardialCells","sender-focused"
"Vcam1",0.433941218423969,0.00717162931624033,0.00182641773494857,-0.00494245704746572,"Fibroblasts","sender-focused"
"Vcam1",0.433941218423969,0.00717162931624033,0.00182641773494857,-0.00494245704746572,"EndothelialCells","sender-focused"
"Vcam1",0.433941218423969,0.00717162931624033,0.00182641773494857,-0.00494245704746572,"Leukocytes","sender-focused"
"Vcam1",0.433941218423969,0.00717162931624033,0.00182641773494857,-0.00494245704746572,"EndocardialCells","sender-focused"
"Pdgfd",0.496125043538829,0.00716273587126513,0.00181752428997337,0.0207794121166725,"EndothelialCells","sender-focused"
"Flrt2",0.403115722081236,0.00716197568991499,0.00181676410862323,-0.0119562225711918,"Fibroblasts","sender-focused"
"Flrt2",0.403115722081236,0.00716197568991499,0.00181676410862323,-0.0119562225711918,"EndocardialCells","sender-focused"
"Sema6a",0.432023436333774,0.00716049052920458,0.00181527894791282,-0.00502386406026016,"EndothelialCells","sender-focused"
"Sema6a",0.432023436333774,0.00716049052920458,0.00181527894791282,-0.00502386406026016,"EndocardialCells","sender-focused"
"Plxna1",0.458822626926072,0.0071579383282462,0.00181272674695444,-0.00303430336075996,"Fibroblasts","sender-focused"
"Plxna1",0.458822626926072,0.0071579383282462,0.00181272674695444,-0.00303430336075996,"Myocytes","sender-focused"
"Plxna1",0.458822626926072,0.0071579383282462,0.00181272674695444,-0.00303430336075996,"Leukocytes","sender-focused"
"Siglec1",0.45652958152958,0.00714985947001395,0.00180464788872219,0.000470109534521294,"Leukocytes","sender-focused"
"Col5a3",0.47394096963061,0.00714923454817277,0.00180402296688101,-0.000823202979774858,"Fibroblasts","sender-focused"
"Bmp1",0.509626229453807,0.00713954663952331,0.00179433505823155,0.00575840897028396,"Fibroblasts","sender-focused"
"Bmp1",0.509626229453807,0.00713954663952331,0.00179433505823155,0.00575840897028396,"EndothelialCells","sender-focused"
"Bmp1",0.509626229453807,0.00713954663952331,0.00179433505823155,0.00575840897028396,"Myocytes","sender-focused"
"Col4a3",0.432392479806265,0.0071364441329026,0.00179123255161084,-0.00627144560856001,"Fibroblasts","sender-focused"
"Fgf16",0.44572365693056,0.00712472391450698,0.00177951233321522,-0.00263104163780894,"Myocytes","sender-focused"
"Ctsd",0.41331832280107,0.00711077898376956,0.0017655674024778,-0.0068871651951683,"Fibroblasts","sender-focused"
"Ctsd",0.41331832280107,0.00711077898376956,0.0017655674024778,-0.0068871651951683,"EndothelialCells","sender-focused"
"Ctsd",0.41331832280107,0.00711077898376956,0.0017655674024778,-0.0068871651951683,"Myocytes","sender-focused"
"Ctsd",0.41331832280107,0.00711077898376956,0.0017655674024778,-0.0068871651951683,"Leukocytes","sender-focused"
"Ctsd",0.41331832280107,0.00711077898376956,0.0017655674024778,-0.0068871651951683,"EndocardialCells","sender-focused"
"Siglece",0.437724950655981,0.00709873139313487,0.00175351981184312,-0.00594966841887974,"Leukocytes","sender-focused"
"Efnb1",0.460290507704298,0.00707624718650648,0.00173103560521472,-0.00251779553308176,"Fibroblasts","sender-focused"
"Efnb1",0.460290507704298,0.00707624718650648,0.00173103560521472,-0.00251779553308176,"EndothelialCells","sender-focused"
"Efnb1",0.460290507704298,0.00707624718650648,0.00173103560521472,-0.00251779553308176,"Myocytes","sender-focused"
"Efnb1",0.460290507704298,0.00707624718650648,0.00173103560521472,-0.00251779553308176,"EndocardialCells","sender-focused"
"Ocln",0.489548605927914,0.00707356340505786,0.0017283518237661,-0.000832336695070412,"EndocardialCells","sender-focused"
"Sirpa",0.436439518336066,0.00706484870718043,0.00171963712588867,-0.00714197840877414,"Fibroblasts","sender-focused"
"Sirpa",0.436439518336066,0.00706484870718043,0.00171963712588867,-0.00714197840877414,"Myocytes","sender-focused"
"Sirpa",0.436439518336066,0.00706484870718043,0.00171963712588867,-0.00714197840877414,"Leukocytes","sender-focused"
"Sirpa",0.436439518336066,0.00706484870718043,0.00171963712588867,-0.00714197840877414,"EndocardialCells","sender-focused"
"Scube2",0.440345573966255,0.00704287732742311,0.00169766574613135,-0.00407412277037939,"Myocytes","sender-focused"
"Zdhhc5",0.48040545023303,0.00703877643609776,0.001693564854806,-0.00286584368962154,"Fibroblasts","sender-focused"
"Zdhhc5",0.48040545023303,0.00703877643609776,0.001693564854806,-0.00286584368962154,"EndothelialCells","sender-focused"
"Zdhhc5",0.48040545023303,0.00703877643609776,0.001693564854806,-0.00286584368962154,"Myocytes","sender-focused"
"Zdhhc5",0.48040545023303,0.00703877643609776,0.001693564854806,-0.00286584368962154,"Leukocytes","sender-focused"
"Zdhhc5",0.48040545023303,0.00703877643609776,0.001693564854806,-0.00286584368962154,"EndocardialCells","sender-focused"
"Sema6b",0.433201058201056,0.00703341471460297,0.00168820313331121,-0.00566294663721208,"EndothelialCells","sender-focused"
"Sema6b",0.433201058201056,0.00703341471460297,0.00168820313331121,-0.00566294663721208,"EndocardialCells","sender-focused"
"Nts",0.439151365875497,0.00701726262779811,0.00167205104650635,-0.00205277990926461,"EndothelialCells","sender-focused"
"Nts",0.439151365875497,0.00701726262779811,0.00167205104650635,-0.00205277990926461,"EndocardialCells","sender-focused"
"Ezr",0.447185317874957,0.00698653333747394,0.00164132175618218,-0.00477133732776452,"Fibroblasts","sender-focused"
