"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Apoe",0.519877125560714,0.0490055377967015,0.0459047626029031,0.0855523106356131,"Fibroblasts","sender-focused"
"Apoe",0.519877125560714,0.0490055377967015,0.0459047626029031,0.0855523106356131,"EndothelialCells","sender-focused"
"Apoe",0.519877125560714,0.0490055377967015,0.0459047626029031,0.0855523106356131,"Myocytes","sender-focused"
"Apoe",0.519877125560714,0.0490055377967015,0.0459047626029031,0.0855523106356131,"Leukocytes","sender-focused"
"Apoe",0.519877125560714,0.0490055377967015,0.0459047626029031,0.0855523106356131,"SmoothMuscleCells","sender-focused"
"Pdgfc",0.557202164440946,0.0121523305786448,0.00905155538484639,0.0198935822236759,"Myocytes","sender-focused"
"Pdgfc",0.557202164440946,0.0121523305786448,0.00905155538484639,0.0198935822236759,"Leukocytes","sender-focused"
"Vegfc",0.60224541470122,0.00797137375299455,0.0048705985591961,0.0284994139053626,"Fibroblasts","sender-focused"
"Vegfc",0.60224541470122,0.00797137375299455,0.0048705985591961,0.0284994139053626,"EndothelialCells","sender-focused"
"Vegfc",0.60224541470122,0.00797137375299455,0.0048705985591961,0.0284994139053626,"SmoothMuscleCells","sender-focused"
"Wnt11",0.570569258254818,0.00704205172161586,0.00394127652781741,0.0481648665691325,"Fibroblasts","sender-focused"
"Lama2",0.5532563011709,0.00662033726476603,0.00351956207096758,0.0261808425000272,"Fibroblasts","sender-focused"
"Lama2",0.5532563011709,0.00662033726476603,0.00351956207096758,0.0261808425000272,"Myocytes","sender-focused"
"Lama2",0.5532563011709,0.00662033726476603,0.00351956207096758,0.0261808425000272,"SmoothMuscleCells","sender-focused"
"Wnt5b",0.532248113825939,0.00655105111662022,0.00345027592282177,0.04426396467961,"SmoothMuscleCells","sender-focused"
"Wnt9a",0.525892317776946,0.00654938153692364,0.00344860634312519,0.0466603088576015,"Fibroblasts","sender-focused"
"Tgm2",0.555576263126091,0.00530164939995519,0.00220087420615674,0.028466684601081,"Fibroblasts","sender-focused"
"Tgm2",0.555576263126091,0.00530164939995519,0.00220087420615674,0.028466684601081,"EndothelialCells","sender-focused"
"Tgm2",0.555576263126091,0.00530164939995519,0.00220087420615674,0.028466684601081,"Myocytes","sender-focused"
"Tgm2",0.555576263126091,0.00530164939995519,0.00220087420615674,0.028466684601081,"Leukocytes","sender-focused"
"Tgm2",0.555576263126091,0.00530164939995519,0.00220087420615674,0.028466684601081,"SmoothMuscleCells","sender-focused"
"Wnt5a",0.548179376116599,0.00524839100117983,0.00214761580738138,0.0177433432963811,"Fibroblasts","sender-focused"
"Wnt5a",0.548179376116599,0.00524839100117983,0.00214761580738138,0.0177433432963811,"Myocytes","sender-focused"
"Tgfb3",0.444584399059166,0.00507119001105061,0.00197041481725216,0.00710796965823034,"Fibroblasts","sender-focused"
"Tgfb3",0.444584399059166,0.00507119001105061,0.00197041481725216,0.00710796965823034,"Myocytes","sender-focused"
"Tgfb3",0.444584399059166,0.00507119001105061,0.00197041481725216,0.00710796965823034,"SmoothMuscleCells","sender-focused"
"Jam2",0.604166934436962,0.00506587577615635,0.0019651005823579,0.0216743103000222,"Fibroblasts","sender-focused"
"Jam2",0.604166934436962,0.00506587577615635,0.0019651005823579,0.0216743103000222,"EndothelialCells","sender-focused"
"Jam2",0.604166934436962,0.00506587577615635,0.0019651005823579,0.0216743103000222,"Myocytes","sender-focused"
"Jam2",0.604166934436962,0.00506587577615635,0.0019651005823579,0.0216743103000222,"SmoothMuscleCells","sender-focused"
"Tnfsf12",0.513379946788697,0.00501287176408275,0.0019120965702843,0.0348857026933238,"Fibroblasts","sender-focused"
"Tnfsf12",0.513379946788697,0.00501287176408275,0.0019120965702843,0.0348857026933238,"EndothelialCells","sender-focused"
"Tnfsf12",0.513379946788697,0.00501287176408275,0.0019120965702843,0.0348857026933238,"Myocytes","sender-focused"
"Tnfsf12",0.513379946788697,0.00501287176408275,0.0019120965702843,0.0348857026933238,"Leukocytes","sender-focused"
"Tnfsf12",0.513379946788697,0.00501287176408275,0.0019120965702843,0.0348857026933238,"SmoothMuscleCells","sender-focused"
"Il15",0.530191637854577,0.00499597246912735,0.0018951972753289,0.0191552593888387,"Fibroblasts","sender-focused"
"Il15",0.530191637854577,0.00499597246912735,0.0018951972753289,0.0191552593888387,"EndothelialCells","sender-focused"
"Il15",0.530191637854577,0.00499597246912735,0.0018951972753289,0.0191552593888387,"Myocytes","sender-focused"
