"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Adam9",0.453289360973098,0.0269326675583563,0.0252223887829159,0.0406546962852938,"Fibroblasts","sender-focused"
"Adam9",0.453289360973098,0.0269326675583563,0.0252223887829159,0.0406546962852938,"Myocytes","sender-focused"
"Adam9",0.453289360973098,0.0269326675583563,0.0252223887829159,0.0406546962852938,"Leukocytes","sender-focused"
"Adam9",0.453289360973098,0.0269326675583563,0.0252223887829159,0.0406546962852938,"SmoothMuscleCells","sender-focused"
"Adam9",0.453289360973098,0.0269326675583563,0.0252223887829159,0.0406546962852938,"EndocardialCells","sender-focused"
"Tslp",0.437861915367502,0.00975520830407182,0.00804492952863143,0.0223369672218213,"Fibroblasts","sender-focused"
"Tslp",0.437861915367502,0.00975520830407182,0.00804492952863143,0.0223369672218213,"Leukocytes","sender-focused"
"Tslp",0.437861915367502,0.00975520830407182,0.00804492952863143,0.0223369672218213,"SmoothMuscleCells","sender-focused"
"Furin",0.503880418022959,0.00606526992133681,0.00435499114589642,0.0380130181099063,"Fibroblasts","sender-focused"
"Furin",0.503880418022959,0.00606526992133681,0.00435499114589642,0.0380130181099063,"Myocytes","sender-focused"
"Furin",0.503880418022959,0.00606526992133681,0.00435499114589642,0.0380130181099063,"Leukocytes","sender-focused"
"Furin",0.503880418022959,0.00606526992133681,0.00435499114589642,0.0380130181099063,"SmoothMuscleCells","sender-focused"
"Furin",0.503880418022959,0.00606526992133681,0.00435499114589642,0.0380130181099063,"EndocardialCells","sender-focused"
"Lama2",0.510836045913998,0.00319498624204047,0.00148470746660007,0.027974998173401,"Fibroblasts","sender-focused"
"Lama2",0.510836045913998,0.00319498624204047,0.00148470746660007,0.027974998173401,"Myocytes","sender-focused"
"Lama2",0.510836045913998,0.00319498624204047,0.00148470746660007,0.027974998173401,"SmoothMuscleCells","sender-focused"
"Adam17",0.415067671749182,0.00314609488898979,0.00143581611354939,0.0339220789696612,"Fibroblasts","sender-focused"
"Adam17",0.415067671749182,0.00314609488898979,0.00143581611354939,0.0339220789696612,"Myocytes","sender-focused"
"Adam17",0.415067671749182,0.00314609488898979,0.00143581611354939,0.0339220789696612,"Leukocytes","sender-focused"
"Adam17",0.415067671749182,0.00314609488898979,0.00143581611354939,0.0339220789696612,"SmoothMuscleCells","sender-focused"
"Adam17",0.415067671749182,0.00314609488898979,0.00143581611354939,0.0339220789696612,"EndocardialCells","sender-focused"
"Tgfb2",0.450334075723835,0.0029096891750462,0.0011994103996058,0.0147839140593528,"Fibroblasts","sender-focused"
"Tgfb2",0.450334075723835,0.0029096891750462,0.0011994103996058,0.0147839140593528,"Myocytes","sender-focused"
"Tgfb2",0.450334075723835,0.0029096891750462,0.0011994103996058,0.0147839140593528,"SmoothMuscleCells","sender-focused"
"Tgfb2",0.450334075723835,0.0029096891750462,0.0011994103996058,0.0147839140593528,"EndocardialCells","sender-focused"
"Tgfb1",0.55135343498372,0.00278934362178304,0.00107906484634264,0.0144329186118281,"Fibroblasts","sender-focused"
"Tgfb1",0.55135343498372,0.00278934362178304,0.00107906484634264,0.0144329186118281,"Myocytes","sender-focused"
"Tgfb1",0.55135343498372,0.00278934362178304,0.00107906484634264,0.0144329186118281,"Leukocytes","sender-focused"
"Tgfb1",0.55135343498372,0.00278934362178304,0.00107906484634264,0.0144329186118281,"SmoothMuscleCells","sender-focused"
"Tgfb1",0.55135343498372,0.00278934362178304,0.00107906484634264,0.0144329186118281,"EndocardialCells","sender-focused"
"Osm",0.360296385129352,0.00236644307805438,0.000656164302613978,0.0151330213013878,"Leukocytes","sender-focused"
"Ccl19",0.444637656330302,0.00234491238551973,0.000634633610079329,0.02633617299902,"Fibroblasts","sender-focused"
"Ccl19",0.444637656330302,0.00234491238551973,0.000634633610079329,0.02633617299902,"EndocardialCells","sender-focused"
