"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Tgfb1",0.767250736548271,0.0114429335752519,0.00912238902079647,0.0671726646281807,"Fibroblasts","sender-focused"
"Tgfb1",0.767250736548271,0.0114429335752519,0.00912238902079647,0.0671726646281807,"EndothelialCells","sender-focused"
"Tgfb1",0.767250736548271,0.0114429335752519,0.00912238902079647,0.0671726646281807,"Myocytes","sender-focused"
"Tgfb1",0.767250736548271,0.0114429335752519,0.00912238902079647,0.0671726646281807,"SmoothMuscleCells","sender-focused"
"Tgfb1",0.767250736548271,0.0114429335752519,0.00912238902079647,0.0671726646281807,"EndocardialCells","sender-focused"
"Mfap2",0.534181009975704,0.00953092103136313,0.00721037647690769,0.0373049421131711,"Fibroblasts","sender-focused"
"Mfap2",0.534181009975704,0.00953092103136313,0.00721037647690769,0.0373049421131711,"SmoothMuscleCells","sender-focused"
"Mfap2",0.534181009975704,0.00953092103136313,0.00721037647690769,0.0373049421131711,"EndocardialCells","sender-focused"
"Adm",0.511045640150928,0.00715846057041802,0.00483791601596257,0.027085428683849,"Fibroblasts","sender-focused"
"Adm",0.511045640150928,0.00715846057041802,0.00483791601596257,0.027085428683849,"EndothelialCells","sender-focused"
"Adm",0.511045640150928,0.00715846057041802,0.00483791601596257,0.027085428683849,"Myocytes","sender-focused"
"Adm",0.511045640150928,0.00715846057041802,0.00483791601596257,0.027085428683849,"EndocardialCells","sender-focused"
"Dcn",0.475949759652683,0.00615120258439312,0.00383065802993768,0.0169589074300671,"Fibroblasts","sender-focused"
"Dcn",0.475949759652683,0.00615120258439312,0.00383065802993768,0.0169589074300671,"EndothelialCells","sender-focused"
"Dcn",0.475949759652683,0.00615120258439312,0.00383065802993768,0.0169589074300671,"Myocytes","sender-focused"
"Dcn",0.475949759652683,0.00615120258439312,0.00383065802993768,0.0169589074300671,"SmoothMuscleCells","sender-focused"
"Dcn",0.475949759652683,0.00615120258439312,0.00383065802993768,0.0169589074300671,"EndocardialCells","sender-focused"
"Col5a1",0.502196723006141,0.00581065959302963,0.00349011503857418,0.0310144157071458,"Fibroblasts","sender-focused"
"Col5a1",0.502196723006141,0.00581065959302963,0.00349011503857418,0.0310144157071458,"SmoothMuscleCells","sender-focused"
"Nrg1",0.462324908254512,0.0054034626774753,0.00308291812301986,0.0185589875456114,"EndocardialCells","sender-focused"
"Copa",0.497885977154086,0.00528476794898811,0.00296422339453267,0.0343157240175883,"Fibroblasts","sender-focused"
"Copa",0.497885977154086,0.00528476794898811,0.00296422339453267,0.0343157240175883,"EndothelialCells","sender-focused"
"Copa",0.497885977154086,0.00528476794898811,0.00296422339453267,0.0343157240175883,"Myocytes","sender-focused"
"Copa",0.497885977154086,0.00528476794898811,0.00296422339453267,0.0343157240175883,"SmoothMuscleCells","sender-focused"
"Copa",0.497885977154086,0.00528476794898811,0.00296422339453267,0.0343157240175883,"EndocardialCells","sender-focused"
"Vegfa",0.526500232594201,0.00519765434061125,0.0028771097861558,0.0320701870151903,"Fibroblasts","sender-focused"
"Vegfa",0.526500232594201,0.00519765434061125,0.0028771097861558,0.0320701870151903,"Myocytes","sender-focused"
"Jag1",0.515976637204718,0.00442900429018446,0.00210845973572901,0.0348361330496973,"Fibroblasts","sender-focused"
"Jag1",0.515976637204718,0.00442900429018446,0.00210845973572901,0.0348361330496973,"EndothelialCells","sender-focused"
"Jag1",0.515976637204718,0.00442900429018446,0.00210845973572901,0.0348361330496973,"SmoothMuscleCells","sender-focused"
"Jag1",0.515976637204718,0.00442900429018446,0.00210845973572901,0.0348361330496973,"EndocardialCells","sender-focused"
"Tgfb3",0.557316379800511,0.00435240627578878,0.00203186172133333,0.0228320478228757,"Fibroblasts","sender-focused"
