"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Cx3cl1",0.525679545230146,0.0292643733612204,0.0281231103635029,0.0261804528719277,NA,"sender-agnostic"
"Abca1",0.543128376567533,0.0153742785834432,0.0142330155857257,0.0189534925782923,NA,"sender-agnostic"
"Mcam",0.639442540166201,0.0146894873624845,0.013548224364767,0.0660210999239735,NA,"sender-agnostic"
"Vegfc",0.542691097851707,0.00929499601961009,0.00815373302189262,0.00948650924772399,NA,"sender-agnostic"
"Nrxn2",0.631642052106723,0.00789938289644006,0.00675811989872258,0.0207580515919201,NA,"sender-agnostic"
"Lrrc4b",0.595122226453958,0.00745564276129972,0.00631437976358224,0.0238312693556673,NA,"sender-agnostic"
"Nrxn1",0.587180680744218,0.00689724806274722,0.00575598506502975,0.0253313372186523,NA,"sender-agnostic"
"Prnp",0.554991324954531,0.00645835813919933,0.00531709514148186,0.00859273228089982,NA,"sender-agnostic"
"Vegfa",0.548502673042496,0.00554223153167693,0.00440096853395946,0.0276249040863279,NA,"sender-agnostic"
"Nlgn2",0.570056282002453,0.00550655844030337,0.0043652954425859,0.0199634384616297,NA,"sender-agnostic"
"App",0.545328875911621,0.0050423947392181,0.00390113174150063,0.0150445184632221,NA,"sender-agnostic"
"Angpt2",0.611061740933558,0.00497273654109306,0.00383147354337559,0.0144140696935134,NA,"sender-agnostic"
"Flrt2",0.532224620202317,0.00494887102637374,0.00380760802865627,0.013038362722602,NA,"sender-agnostic"
"Sema4d",0.573342925253567,0.00473784420672014,0.00359658120900267,0.0164219329430752,NA,"sender-agnostic"
"Opcml",0.536964157251104,0.00461270015532224,0.00347143715760477,0.012238674412012,NA,"sender-agnostic"
"Nppa",0.609185674185079,0.00449518004359042,0.00335391704587294,0.0122209772705444,NA,"sender-agnostic"
"Rarres2",0.649598690985042,0.00386550415689343,0.00272424115917596,0.0250213114378045,NA,"sender-agnostic"
"Pgf",0.565993821674944,0.00378760811211538,0.0026463451143979,0.00976489812122369,NA,"sender-agnostic"
"Crhr2",0.583738874077873,0.00358396651940649,0.00244270352168902,0.0141869429173697,NA,"sender-agnostic"
"Tspan3",0.503632234494263,0.00357764251813638,0.00243637952041891,0.00753874254310361,NA,"sender-agnostic"
"Fgf14",0.584317210443933,0.00346529876932229,0.00232403577160481,0.0136502213956458,NA,"sender-agnostic"
"Fgf13",0.548333403862188,0.00338279141180295,0.00224152841408548,0.0107175785722922,NA,"sender-agnostic"
"Timp2",0.624335265823171,0.00333426021599963,0.00219299721828215,0.0134851127966995,NA,"sender-agnostic"
"Tnfsf9",0.657102957978965,0.00322274941304418,0.00208148641532671,0.0136324561770659,NA,"sender-agnostic"
"Sema3c",0.56595150437988,0.00320759145526804,0.00206632845755056,0.0121549799961425,NA,"sender-agnostic"
"Fgf16",0.563426572440195,0.00320434465946946,0.00206308166175199,0.0098778907146178,NA,"sender-agnostic"
"Spon2",0.643448577433647,0.00312665936209198,0.0019853963643745,0.022359721530562,NA,"sender-agnostic"
"Nts",0.555104171074759,0.00311885036091556,0.00197758736319808,0.00981510052203933,NA,"sender-agnostic"
"S100a8",0.571833608395767,0.00309294784661887,0.00195168484890139,0.0119833147074167,NA,"sender-agnostic"
"Gnas",0.552734402550346,0.00306591670464848,0.00192465370693101,0.00718328489990058,NA,"sender-agnostic"
"B2m",0.573074915718074,0.00306419726711798,0.00192293426940051,0.00844111449857559,NA,"sender-agnostic"
"Sema3d",0.540279012032249,0.00306170583772721,0.00192044284000974,0.00913178263253946,NA,"sender-agnostic"
"Tfpi",0.578618481373382,0.00302345646364837,0.0018821934659309,0.00806081521423572,NA,"sender-agnostic"
"Col4a6",0.620343334320771,0.00302069947418502,0.00187943647646755,0.013453377693936,NA,"sender-agnostic"
"Clec11a",0.633461695795109,0.00299447815270595,0.00185321515498848,0.0162812538940572,NA,"sender-agnostic"
"H2-K1",0.560577207904908,0.00295964430093712,0.00181838130321964,0.0105387243808501,NA,"sender-agnostic"
"H2-D1",0.560224563779254,0.00295807322565948,0.00181681022794201,0.0104323917704128,NA,"sender-agnostic"
"Shisa4",0.586813930853572,0.00295744461584636,0.00181618161812889,0.0119196708291026,NA,"sender-agnostic"
"H2-Q4",0.560168140719149,0.00295734458715053,0.00181608158943306,0.0104335585566521,NA,"sender-agnostic"
"H2-Q6",0.560168140719149,0.00295734458715053,0.00181608158943306,0.0104335585566521,NA,"sender-agnostic"
"C3",0.567968628778597,0.0029020777926958,0.00176081479497833,0.00884402675543746,NA,"sender-agnostic"
"Tspan5",0.536766676540742,0.00290076388345123,0.00175950088573375,0.00937962542671963,NA,"sender-agnostic"
"Ezr",0.542366665256134,0.00284885170042536,0.00170758870270789,0.00735847859247852,NA,"sender-agnostic"
"Itgb2",0.607239078611453,0.00284297850566817,0.00170171550795069,0.0113447663977194,NA,"sender-agnostic"
"Siglece",0.529093140366511,0.00283635922762293,0.00169509622990545,0.00785115810039993,NA,"sender-agnostic"
"Adam17",0.579972634815873,0.00281651757288102,0.00167525457516354,0.00312643318049036,NA,"sender-agnostic"
"Efnb1",0.555597872850665,0.00280559585059277,0.0016643328528753,0.0105857093371559,NA,"sender-agnostic"
"Lin7c",0.53795156080291,0.00279462003989973,0.00165335704218226,0.0078558129129645,NA,"sender-agnostic"
"Col14a1",0.545977741102803,0.00277433991405947,0.001633076916342,0.00825575747545218,NA,"sender-agnostic"
"Ngf",0.680546739452459,0.00277368907275297,0.00163242607503549,0.0121730678433196,NA,"sender-agnostic"
"C1qb",0.559773179298414,0.0027732802998296,0.00163201730211213,0.00930458405065243,NA,"sender-agnostic"
"Sema6b",0.572284992876609,0.00277032474130342,0.00162906174358594,0.0100048600515925,NA,"sender-agnostic"
"Slc6a8",0.562805918779033,0.00276613202252666,0.00162486902480918,0.0084891348514479,NA,"sender-agnostic"
"Icam1",0.577518231701325,0.00276417323216579,0.00162291023444831,0.0101397927707564,NA,"sender-agnostic"
"Esam",0.586856248148654,0.00275546894020262,0.00161420594248514,0.0110302541227315,NA,"sender-agnostic"
"Ret",0.509627184630389,0.00275302049833699,0.00161175750061952,0.00345047014974074,NA,"sender-agnostic"
"Pltp",0.519430691323566,0.00274647257646521,0.00160520957874774,0.00603486560854148,NA,"sender-agnostic"
"Jam2",0.574034107739845,0.00274404267416989,0.00160277967645242,0.010866215761789,NA,"sender-agnostic"
"Alcam",0.62362997757187,0.00274122932015827,0.0015999663224408,0.0128382788264638,NA,"sender-agnostic"
"Plat",0.621683381998249,0.00273767174764611,0.00159640874992863,0.00806048903650842,NA,"sender-agnostic"
"Apoa1",0.551210979927502,0.00271130538895097,0.0015700423912335,0.00506878528912993,NA,"sender-agnostic"
"Lpl",0.556994343588253,0.00270452836218087,0.0015632653644634,0.00842842684299041,NA,"sender-agnostic"
"Sema5a",0.564752514352649,0.00269420802019925,0.00155294502248178,0.00808747744750715,NA,"sender-agnostic"
"Pecam1",0.591243141071786,0.00268617091926762,0.00154490792155015,0.0103551089127256,NA,"sender-agnostic"
"Fn1",0.536682041950569,0.00267711668953037,0.0015358536918129,0.00579753920260664,NA,"sender-agnostic"
"Sost",0.541449790529405,0.00267037230355484,0.00152910930583737,0.00825442954196776,NA,"sender-agnostic"
"Cd38",0.639132213335633,0.00266790994914978,0.00152664695143231,0.0112482016694026,NA,"sender-agnostic"
"Pdgfc",0.5059878972536,0.00265566218684729,0.00151439918912982,0.00868903326955015,NA,"sender-agnostic"
"Lamb3",0.594910639978582,0.00265037821178932,0.00150911521407185,0.0107300389993767,NA,"sender-agnostic"
"C1qa",0.557191824298623,0.00264689634723119,0.00150563334951372,0.0056351457266995,NA,"sender-agnostic"
"Jam3",0.565739917904457,0.00264362099293725,0.00150235799521978,0.00917037953900881,NA,"sender-agnostic"
"Col27a1",0.550251787905736,0.0026325804690818,0.00149131747136433,0.00787180899895012,NA,"sender-agnostic"
"Cd47",0.529953592033093,0.00262303394749789,0.00148177094978042,0.00634409589875272,NA,"sender-agnostic"
"Ctf1",0.616859210359299,0.0026097517508047,0.00146848875308723,0.00899302812025379,NA,"sender-agnostic"
"Pi16",0.607958472627798,0.00259934167569108,0.00145807867797361,0.0126977652819479,NA,"sender-agnostic"
"Agt",0.571748973805642,0.00259908776806094,0.00145782477034346,0.00247816020011222,NA,"sender-agnostic"
"Lamb2",0.575557530362684,0.00259783305675087,0.0014565700590334,0.00993501237277319,NA,"sender-agnostic"
"Sema4a",0.591186718011685,0.00258309675647389,0.00144183375875642,0.00941484068185372,NA,"sender-agnostic"
"Col6a6",0.55030821096584,0.0025664692202605,0.00142520622254302,0.00761436551176143,NA,"sender-agnostic"
"Col4a4",0.540984300283538,0.00256507601079166,0.00142381301307419,0.00538294365177623,NA,"sender-agnostic"
"S100a9",0.591003343066333,0.00256069930659568,0.00141943630887821,0.00849957837780425,NA,"sender-agnostic"
"Efnb2",0.566600369571074,0.00255348012747581,0.00141221712975834,0.0092745016830538,NA,"sender-agnostic"
"Fgf18",0.561508188396638,0.00253791409264729,0.00139665109492981,0.0031202898328319,NA,"sender-agnostic"
"Sema3f",0.590185208694815,0.00253288243546014,0.00139161943774267,0.0104163888533003,NA,"sender-agnostic"
"Penk",0.58577010424163,0.00252079355432627,0.0013795305566088,0.00654122127231582,NA,"sender-agnostic"
"Dusp18",0.546753558179252,0.00252024617580027,0.0013789831780828,0.00821215576443445,NA,"sender-agnostic"
"Lamb1",0.540349540857363,0.00251993761145067,0.00137867461373319,0.00576879313903594,NA,"sender-agnostic"
"Dsc2",0.563948485746158,0.00251700034419793,0.00137573734648046,0.00929637092314879,NA,"sender-agnostic"
"Efnb3",0.547444740665547,0.00250387269000243,0.00136260969228496,0.00817033156142121,NA,"sender-agnostic"
"Sirpa",0.592752457929587,0.00250263553915728,0.00136137254143981,0.010633131700234,NA,"sender-agnostic"
"Hspg2",0.540152060147,0.00249970209116167,0.0013584390934442,0.00735371232225344,NA,"sender-agnostic"
"Fndc5",0.543932405174023,0.00249516920521694,0.00135390620749947,0.00736490287859734,NA,"sender-agnostic"
"Cd55",0.562552015008569,0.00249086401001855,0.00134960101230108,0.00788390167451522,NA,"sender-agnostic"
"Ptgfrn",0.538558108699055,0.00248109371940724,0.00133983072168977,0.0072337938435285,NA,"sender-agnostic"
"Tnfsf12",0.598676879240569,0.00247163467139671,0.00133037167367923,-0.00190169529526689,NA,"sender-agnostic"
"Cdh2",0.543664395638535,0.00247020637802754,0.00132894338031006,0.00571986280898341,NA,"sender-agnostic"
"Col3a1",0.571720762275552,0.00246726974997442,0.00132600675225695,0.0086311566658595,NA,"sender-agnostic"
"Col6a2",0.564893572002884,0.00246696995473257,0.00132570695701509,0.00747529824213724,NA,"sender-agnostic"
"Spon1",0.521504238782438,0.00246095648277474,0.00131969348505726,0.00726690780895993,NA,"sender-agnostic"
"Hp",0.562763601483942,0.00245689313178393,0.00131563013406646,0.00905827137675519,NA,"sender-agnostic"
"Fbn1",0.53243620667769,0.00245400735898475,0.00131274436126727,0.00567363086217353,NA,"sender-agnostic"
"Serping1",0.560605419434949,0.00245271999141117,0.0013114569936937,0.00790850721270589,NA,"sender-agnostic"
"F11r",0.572863329242681,0.00244906817928674,0.00130780518156926,0.00718353434158047,NA,"sender-agnostic"
"Lum",0.56671321569128,0.00244159128910493,0.00130032829138745,0.00754275929020549,NA,"sender-agnostic"
"Lgals3",0.569252253395988,0.00244083607209717,0.00129957307437969,0.00564164909562086,NA,"sender-agnostic"
"Bmp10",0.563313726319964,0.00243721062831176,0.00129594763059428,0.0111409646371079,NA,"sender-agnostic"
"Robo1",0.545723837332349,0.00243396206885491,0.00129269907113744,0.00650671175254225,NA,"sender-agnostic"
"Col4a3",0.545681520037269,0.00243252445742923,0.00129126145971176,0.00688419385115728,NA,"sender-agnostic"
"Lama5",0.575726799542997,0.0024294934535406,0.00128823045582313,0.00877233543748744,NA,"sender-agnostic"
"Mfge8",0.569449734106377,0.00242948067939911,0.00128821768168164,0.00806569347445593,NA,"sender-agnostic"
"Ncam1",0.551732893233474,0.00242835610465784,0.00128709310694036,0.00808123961962186,NA,"sender-agnostic"
"Fgf12",0.543509232223216,0.00242763850375255,0.00128637550603507,0.0061285465813624,NA,"sender-agnostic"
"Lrfn4",0.538459368343873,0.00242362171446201,0.00128235871674454,0.00668106767972479,NA,"sender-agnostic"
"Mmp16",0.548770682578011,0.00240954872763282,0.00126828572991535,0.00700438704521695,NA,"sender-agnostic"
"Agrn",0.504859436051527,0.00240618875580993,0.00126492575809246,0.00296699495473704,NA,"sender-agnostic"
"Anxa2",0.551888056648775,0.00240529135940892,0.00126402836169144,0.00557715661812762,NA,"sender-agnostic"
"Ahsg",0.574161059625096,0.00240469848006949,0.00126343548235202,0.00843649812284298,NA,"sender-agnostic"
"Anxa1",0.577715712411679,0.00239622675528684,0.00125496375756937,0.00898752053683082,NA,"sender-agnostic"
"Vtn",0.589070853257776,0.00239396522695038,0.00125270222923291,0.00673211813838533,NA,"sender-agnostic"
"A2m",0.584006883613352,0.00238889689570508,0.00124763389798761,0.0081643091418428,NA,"sender-agnostic"
"Fst",0.55064674932649,0.00238668128175717,0.0012454182840397,0.00927328095057776,NA,"sender-agnostic"
"Nampt",0.55183163358868,0.00238200541187759,0.00124074241416012,0.00619459284947669,NA,"sender-agnostic"
"Il16",0.542705203616746,0.00238184304330724,0.00124058004558976,0.00548978023889479,NA,"sender-agnostic"
"Has1",0.617987671561403,0.00237184183385068,0.00123057883613321,0.012114857640706,NA,"sender-agnostic"
"Msn",0.533127389163983,0.00236403670345223,0.00122277370573476,0.00641086601966126,NA,"sender-agnostic"
"Bace1",0.640331203362858,0.002355077650192,0.00121381465247452,0.011840647182609,NA,"sender-agnostic"
"Sdc2",0.550858335801886,0.00235133161302721,0.00121006861530973,0.007604867067937,NA,"sender-agnostic"
"Lamc1",0.554991324954523,0.00235093588565203,0.00120967288793456,0.00626494664418852,NA,"sender-agnostic"
"Vcam1",0.571495070035146,0.0023435627184806,0.00120229972076313,0.00703626832977294,NA,"sender-agnostic"
"Mpdz",0.525623122170043,0.00234050127391414,0.00119923827619667,0.00579907642348517,NA,"sender-agnostic"
"Mxra8",0.577687500881627,0.0023262074624817,0.00118494446476423,0.00932603500808643,NA,"sender-agnostic"
"Apoe",0.570183233887724,0.00231524376564662,0.00117398076792915,0.00493140996641679,NA,"sender-agnostic"
"Slit2",0.511686626324217,0.00231124134963852,0.00116997835192104,0.0040659515951982,NA,"sender-agnostic"
"Lrpap1",0.607789203447485,0.00230546534594497,0.0011642023482275,0.00924733412614061,NA,"sender-agnostic"
"Ctsd",0.55968854470824,0.00230262903540481,0.00116136603768734,0.00809120414067421,NA,"sender-agnostic"
"Lgals1",0.526695160312039,0.00230166163911908,0.0011603986414016,0.00276782459628653,NA,"sender-agnostic"
"Fam3c",0.567615984652947,0.00230119353736785,0.00115993053965037,0.0065205480105253,NA,"sender-agnostic"
"Psen1",0.534114792715822,0.00229767528934242,0.00115641229162494,0.00322907786020493,NA,"sender-agnostic"
"Vwf",0.541943492305338,0.00229013223618706,0.00114886923846958,0.0046831784320794,NA,"sender-agnostic"
"Trf",0.542169184545737,0.00228776981142326,0.00114650681370579,0.00512449765174303,NA,"sender-agnostic"
"Sema7a",0.550350528260941,0.00228299696088965,0.00114173396317218,0.00633947724652095,NA,"sender-agnostic"
"Thy1",0.593373111590734,0.00228031044336563,0.00113904744564815,0.00791571766966573,NA,"sender-agnostic"
"Ccl19",0.574499597985716,0.00227984560277973,0.00113858260506226,-0.00322845089736598,NA,"sender-agnostic"
"Timp1",0.546020058397876,0.00227701444067566,0.00113575144295819,0.00375795748009464,NA,"sender-agnostic"
"Glg1",0.608706078174184,0.00227034273634111,0.00112907973862364,0.0110721278595621,NA,"sender-agnostic"
"Col16a1",0.558531871976098,0.00226170987851703,0.00112044688079955,0.00459374109412889,NA,"sender-agnostic"
"Efna5",0.580339384706559,0.00225837825375975,0.00111711525604227,0.00727840189038145,NA,"sender-agnostic"
"Angptl1",0.535088090502605,0.00225594255990797,0.00111467956219049,0.00509185347798401,NA,"sender-agnostic"
"Gpi1",0.533719831295056,0.00223823854678127,0.00109697554906379,0.00337794535310223,NA,"sender-agnostic"
"Col5a2",0.542578251731497,0.00223451876546305,0.00109325576774558,0.00400214635867968,NA,"sender-agnostic"
"Col6a1",0.595742880115132,0.00223311364811061,0.00109185065039314,0.00612239993308443,NA,"sender-agnostic"
"Cp",0.564738408587607,0.00223296631067878,0.00109170331296131,0.00596160228102285,NA,"sender-agnostic"
"Lefty1",0.562848236074109,0.00223034756580923,0.00108908456809175,0.0090828659689791,NA,"sender-agnostic"
"Nppb",0.560280986839355,0.0022277404750822,0.00108647747736472,0.00816887985476168,NA,"sender-agnostic"
"Ntn1",0.566515734980918,0.00222213597210058,0.0010808729743831,0.00656361684254861,NA,"sender-agnostic"
"Hsp90b1",0.528994400011311,0.00221210873930025,0.00107084574158278,0.00537722292770317,NA,"sender-agnostic"
"Timp3",0.556937920528154,0.00221020951343015,0.00106894651571268,0.00680989159514063,NA,"sender-agnostic"
"Il33",0.574048213504889,0.0021916316562913,0.00105036865857383,-0.00213256154451099,NA,"sender-agnostic"
"Vegfb",0.535031667442481,0.00218572482427289,0.00104446182655541,0.00501277733030367,NA,"sender-agnostic"
"Col15a1",0.581792278504245,0.00217710949770064,0.00103584649998317,0.00704257425153792,NA,"sender-agnostic"
"Cd72",0.57708095298551,0.00217326694506596,0.00103200394734849,0.00819655655544591,NA,"sender-agnostic"
"Col18a1",0.56633236003557,0.00217083454307542,0.00102957154535795,0.00590542338598422,NA,"sender-agnostic"
"Lrig1",0.513689644957911,0.00215833132847415,0.00101706833075667,0.00402218054303301,NA,"sender-agnostic"
"Gpc6",0.515537500176314,0.00214571960889426,0.00100445661117678,0.00430978586935618,NA,"sender-agnostic"
"Mdk",0.538769695174456,0.0021380007715774,0.000996737773859922,0.00313661211281973,NA,"sender-agnostic"
"Sema3a",0.507257416105975,0.0021361783056382,0.000994915307920728,0.00386495839844585,NA,"sender-agnostic"
"Alox5ap",0.581608903558908,0.00213587243490283,0.000994609437185355,0.00794153820191144,NA,"sender-agnostic"
"Edn1",0.57567037648291,0.00213476429441243,0.000993501296694953,0.00115774654025921,NA,"sender-agnostic"
"Calm1",0.527626140803771,0.00213443752308018,0.000993174525362705,0.00328620707044314,NA,"sender-agnostic"
