"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Ahsg",0.646536455530244,0.0468282884987315,0.0435317245327115,0.060680934531767,NA,"sender-agnostic"
"Mmp15",0.557993208928203,0.0153684026125252,0.0120718386465052,0.032341621178698,NA,"sender-agnostic"
"Jag1",0.653836368440091,0.012180642726184,0.00888407876016397,0.0353762767640552,NA,"sender-agnostic"
"Furin",0.626950965330314,0.00894574206662632,0.00564917810060629,0.0387009909246851,NA,"sender-agnostic"
"Tnf",0.652904308514277,0.00855904058102396,0.00526247661500392,0.0393288368353781,NA,"sender-agnostic"
"Ltbp1",0.655901089115689,0.00789887757614651,0.00460231361012648,0.0309602757840971,NA,"sender-agnostic"
"Jam2",0.623438004560001,0.00781070131213834,0.0045141373461183,0.028962026291195,NA,"sender-agnostic"
"Mxra8",0.618334915307321,0.00750300141230293,0.0042064374462829,0.0306782610042132,NA,"sender-agnostic"
"Il1b",0.604605990625584,0.00743063932654003,0.00413407536052,0.0322278416755425,NA,"sender-agnostic"
"Jag2",0.617282984157429,0.00732334905387308,0.00402678508785305,0.0282908320942721,NA,"sender-agnostic"
"Edn1",0.662097697493967,0.00731596918207297,0.00401940521605293,0.0397247019750132,NA,"sender-agnostic"
"Cd14",0.630684097736615,0.00725396295074779,0.00395739898472775,0.025847903535837,NA,"sender-agnostic"
"Lfng",0.625713111465547,0.00718997729709735,0.00389341333107732,0.028641266013779,NA,"sender-agnostic"
"Fgf12",0.632482166097465,0.0071754266496501,0.00387886268363007,0.0301838064828301,NA,"sender-agnostic"
"Igsf3",0.644178172673256,0.0068815331005119,0.00358496913449187,0.0305388432915039,NA,"sender-agnostic"
"Dll1",0.620360494358702,0.00673241403297711,0.00343585006695707,0.0204348968818178,NA,"sender-agnostic"
"Igf1",0.62237139530106,0.00669908105600883,0.0034025170899888,0.0211022580661429,NA,"sender-agnostic"
"Mdk",0.625326587926737,0.00668469211632281,0.00338812815030278,0.0214549156530282,NA,"sender-agnostic"
"Gdf15",0.647045296644564,0.00665500763457855,0.00335844366855851,0.0236316670618727,NA,"sender-agnostic"
"Mmp9",0.649545467889171,0.00657556861056526,0.00327900464454523,0.0196146958106437,NA,"sender-agnostic"
"Pdgfb",0.616568649516107,0.00650744103620088,0.00321087707018085,0.0295654682411628,NA,"sender-agnostic"
"Dusp18",0.591376121652154,0.00639780145019242,0.00310123748417239,0.0219473242892881,NA,"sender-agnostic"
"Pi16",0.637198731811358,0.00639603641497876,0.00309947244895873,0.0282998224793788,NA,"sender-agnostic"
"Thbs1",0.651884179934008,0.00637477788736862,0.00307821392134859,0.0236306660668075,NA,"sender-agnostic"
"Opcml",0.620199035158956,0.00636145431664414,0.0030648903506241,0.0255883680481301,NA,"sender-agnostic"
"Mmp16",0.642167271730931,0.00634566155239822,0.00304909758637819,0.0259993153476635,NA,"sender-agnostic"
"Tslp",0.60341706379107,0.00628482040456618,0.00298825643854615,0.0239835911514704,NA,"sender-agnostic"
"Gpc6",0.602981613222044,0.00627852363524342,0.00298195966922339,0.0240068281231349,NA,"sender-agnostic"
"Fap",0.629774054974402,0.00624173988610535,0.00294517592008532,0.0239883651579431,NA,"sender-agnostic"
"Mfng",0.590632430792697,0.00622495947260253,0.00292839550658249,0.0245286098805095,NA,"sender-agnostic"
