"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Ahsg",0.646536455530244,0.0468282884987315,0.0435317245327115,0.060680934531767,"Fibroblasts","sender-focused"
"Ahsg",0.646536455530244,0.0468282884987315,0.0435317245327115,0.060680934531767,"EndocardialCells","sender-focused"
"Mmp15",0.557993208928203,0.0153684026125252,0.0120718386465052,0.032341621178698,"EndothelialCells","sender-focused"
"Mmp15",0.557993208928203,0.0153684026125252,0.0120718386465052,0.032341621178698,"SmoothMuscleCells","sender-focused"
"Jag1",0.653836368440091,0.012180642726184,0.00888407876016397,0.0353762767640552,"Fibroblasts","sender-focused"
"Jag1",0.653836368440091,0.012180642726184,0.00888407876016397,0.0353762767640552,"EndothelialCells","sender-focused"
"Jag1",0.653836368440091,0.012180642726184,0.00888407876016397,0.0353762767640552,"SmoothMuscleCells","sender-focused"
"Jag1",0.653836368440091,0.012180642726184,0.00888407876016397,0.0353762767640552,"EndocardialCells","sender-focused"
"Furin",0.626950965330314,0.00894574206662632,0.00564917810060629,0.0387009909246851,"Fibroblasts","sender-focused"
"Furin",0.626950965330314,0.00894574206662632,0.00564917810060629,0.0387009909246851,"EndothelialCells","sender-focused"
"Furin",0.626950965330314,0.00894574206662632,0.00564917810060629,0.0387009909246851,"Leukocytes","sender-focused"
"Furin",0.626950965330314,0.00894574206662632,0.00564917810060629,0.0387009909246851,"SmoothMuscleCells","sender-focused"
"Furin",0.626950965330314,0.00894574206662632,0.00564917810060629,0.0387009909246851,"EndocardialCells","sender-focused"
"Tnf",0.652904308514277,0.00855904058102396,0.00526247661500392,0.0393288368353781,"Leukocytes","sender-focused"
"Ltbp1",0.655901089115689,0.00789887757614651,0.00460231361012648,0.0309602757840971,"Fibroblasts","sender-focused"
"Ltbp1",0.655901089115689,0.00789887757614651,0.00460231361012648,0.0309602757840971,"EndothelialCells","sender-focused"
"Ltbp1",0.655901089115689,0.00789887757614651,0.00460231361012648,0.0309602757840971,"SmoothMuscleCells","sender-focused"
"Ltbp1",0.655901089115689,0.00789887757614651,0.00460231361012648,0.0309602757840971,"EndocardialCells","sender-focused"
"Jam2",0.623438004560001,0.00781070131213834,0.0045141373461183,0.028962026291195,"Fibroblasts","sender-focused"
"Jam2",0.623438004560001,0.00781070131213834,0.0045141373461183,0.028962026291195,"EndothelialCells","sender-focused"
"Jam2",0.623438004560001,0.00781070131213834,0.0045141373461183,0.028962026291195,"SmoothMuscleCells","sender-focused"
"Jam2",0.623438004560001,0.00781070131213834,0.0045141373461183,0.028962026291195,"EndocardialCells","sender-focused"
