"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Tnfsf9",0.661123528535244,0.00239148584949559,0.00164699508118112,0.0201547681281722,NA,"sender-agnostic"
"Lama2",0.592072716435706,0.00229390011257377,0.0015494093442593,0.0205376467864312,NA,"sender-agnostic"
"Adm",0.560125167635224,0.00185752690985282,0.00111303614153835,0.023899927269713,NA,"sender-agnostic"
"Sfrp1",0.673729697511545,0.00170536650116581,0.000960875732851334,0.0154047669729398,NA,"sender-agnostic"
"Pdgfc",0.654477723141098,0.00166784643430355,0.000923355665989076,0.0171536381173762,NA,"sender-agnostic"
"Mmrn2",0.64067948144836,0.00154082864289291,0.000796337874578437,0.0145099289046609,NA,"sender-agnostic"
"Robo1",0.714468782595735,0.0014613758982887,0.000716885129974222,0.0158339470062727,NA,"sender-agnostic"
"Nrxn1",0.598331098196979,0.00145637892718475,0.000711888158870282,0.0116452745050102,NA,"sender-agnostic"
"Ptprm",0.687527939204295,0.00136354701201954,0.000619056243705067,0.014906595174783,NA,"sender-agnostic"
"Sema3f",0.688928624646109,0.0013358622307996,0.000591371462485123,0.0128109142684311,NA,"sender-agnostic"
"Rspo1",0.671256146624946,0.0012707998415261,0.000526309073211626,0.0136917348434422,NA,"sender-agnostic"
"Gas6",0.646371628669337,0.00123333071619566,0.000488839947881191,0.0111146915700722,NA,"sender-agnostic"
"Rarres2",0.704038146326927,0.00118547150397363,0.000440980735659162,0.0107665701310531,NA,"sender-agnostic"
"Sema4c",0.654984354045596,0.00114705407676921,0.000402563308454734,0.0113971424468617,NA,"sender-agnostic"
"Adam10",0.662196393980029,0.00111668069905556,0.000372189930741092,0.00830109515620995,NA,"sender-agnostic"
"Nrxn2",0.628550141558637,0.00108401798908697,0.000339527220772498,0.00716393739203351,NA,"sender-agnostic"
"Lrrc4b",0.574251229324988,0.00105877616869576,0.000314285400381284,0.00713319299089068,NA,"sender-agnostic"
"Flrt1",0.635642974221433,0.00105785925126659,0.000313368482952118,0.00845458130399781,NA,"sender-agnostic"
"Pdgfb",0.585188496498283,0.00104883008722936,0.00030433931891489,0.00870374947174233,NA,"sender-agnostic"
"Copa",0.644702726866331,0.00103370275267073,0.000289211984356253,0.0030483830931733,NA,"sender-agnostic"
"Sema4d",0.617612874385339,0.00101812705537633,0.000273636287061857,0.00787594321496005,NA,"sender-agnostic"
"Sema4a",0.627447474295933,0.00101524365949999,0.000270752891185513,0.00747253342073425,NA,"sender-agnostic"
"Tgfb2",0.553419758605282,0.0010065693149312,0.000262078546616725,0.00690990822808079,NA,"sender-agnostic"
"Wnt2",0.647265683206679,0.00100590357921872,0.000261412810904245,0.00148275365332989,NA,"sender-agnostic"
"Glg1",0.657249292206826,0.000994180857242269,0.000249690088927796,0.00424051833496389,NA,"sender-agnostic"
"Nlgn2",0.558396662196389,0.000987363587689288,0.000242872819374815,0.00622992890851506,NA,"sender-agnostic"
"Wnt9a",0.638891372373717,0.000973439605788144,0.000228948837473671,-0.000556165930592516,NA,"sender-agnostic"
"Wnt5b",0.632752197884074,0.000969805874375344,0.000225315106060871,-0.000617454888961851,NA,"sender-agnostic"
"Postn",0.634808523319926,0.000960281323173273,0.0002157905548588,-0.000435679571557079,NA,"sender-agnostic"
"Mfap2",0.630248845179552,0.000951827568752506,0.000207336800438033,0.00314763434065168,NA,"sender-agnostic"
"Pecam1",0.623454030695877,0.000945004293572301,0.000200513525257828,0.0052526164398006,NA,"sender-agnostic"
"Spon2",0.642288779615559,0.000944285598678749,0.000199794830364276,0.00508781668943028,NA,"sender-agnostic"
"Col15a1",0.627596483385486,0.000927561174114975,0.000183070405800502,0.00405121754832864,NA,"sender-agnostic"
"Col3a1",0.625987185218301,0.000926438089917258,0.000181947321602785,0.00555900949067045,NA,"sender-agnostic"
"Jag2",0.625927581582478,0.000922771207956846,0.000178280439642373,0.00431037693806524,NA,"sender-agnostic"
"Cd14",0.609357770824024,0.000911934670155343,0.00016744390184087,0.00332160063558721,NA,"sender-agnostic"
