"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Cd72",0.489215658457236,0.0257006521459357,0.0188530741596309,0.0190412905156083,NA,"sender-agnostic"
"Apoe",0.486515435251393,0.0117319227278683,0.00488434474156348,0.0431363302506847,NA,"sender-agnostic"
"Angptl2",0.526269246774863,0.0103187217919723,0.00347114380566749,0.00617151680594763,NA,"sender-agnostic"
"Adam9",0.486304997540955,0.00916288031793596,0.00231530233163111,0.0173215154346203,NA,"sender-agnostic"
"Mmrn2",0.485401770514138,0.00905608418549908,0.00220850619919423,0.00509412159506794,NA,"sender-agnostic"
"Clec11a",0.559036053418076,0.00895421568090802,0.00210663769460318,0.0154417846332402,NA,"sender-agnostic"
"Csf1",0.527068437180801,0.00883009321073316,0.00198251522442832,0.0206048306263235,NA,"sender-agnostic"
"H2-DMb1",0.502851549199868,0.00879594396943694,0.0019483659831321,0.0154213375291231,NA,"sender-agnostic"
"Serpinf1",0.477502080732424,0.00877922157627614,0.0019316435899713,0.00371597233691487,NA,"sender-agnostic"
"Spon2",0.554203079483986,0.00864718559990198,0.00179960761359713,0.0158521815394857,NA,"sender-agnostic"
"Rarres2",0.56543194113418,0.00855809938822939,0.00171052140192455,0.0143396036831739,NA,"sender-agnostic"
"Cklf",0.529302860061281,0.00822109958130038,0.00137352159499554,0.0101091627548492,NA,"sender-agnostic"
"Angptl4",0.525264347595798,0.00811465661986761,0.00126707863356277,-0.000854245251142744,NA,"sender-agnostic"
"Sema4d",0.5114203836114,0.00807111936322693,0.00122354137692209,0.00548057877509169,NA,"sender-agnostic"
"Ptdss1",0.514799209321687,0.0080080160585766,0.00116043807227176,0.00759156365914201,NA,"sender-agnostic"
"Siglec1",0.510878920289035,0.00800540094079616,0.00115782295449132,0.00607241124508484,NA,"sender-agnostic"
"Ltbp3",0.507372413271293,0.0079759507215915,0.00112837273528665,0.00488941312621567,NA,"sender-agnostic"
"Sparc",0.515610222070889,0.0079035822405061,0.00105600425420125,0.0171840850027225,NA,"sender-agnostic"
"Ret",0.493055555555561,0.00788469968523758,0.00103712169893273,0.0096783280836632,NA,"sender-agnostic"
"Fgf14",0.536171641508722,0.00788060197264008,0.00103302398633523,0.0049719479575523,NA,"sender-agnostic"
"Pdgfa",0.485962149585752,0.00787568128791666,0.00102810330161182,0.0169445376008954,NA,"sender-agnostic"
"Vegfa",0.491814209510847,0.00785860204807875,0.0010110240617739,0.014201869162188,NA,"sender-agnostic"
"Pam",0.503764234101312,0.00779468577347721,0.000947107787172365,0.00308369751825793,NA,"sender-agnostic"
"Cd38",0.518993776718488,0.00778353579164904,0.0009359578053442,0.00232530913574552,NA,"sender-agnostic"
"Cdh2",0.515941247682815,0.00776606789536519,0.000918489909060344,0.000586011993317047,NA,"sender-agnostic"
"Rspo1",0.502863371543142,0.00774569689063083,0.000898118904325985,0.00175523369270132,NA,"sender-agnostic"
"Pdgfc",0.51941465213937,0.00771240339865625,0.00086482541235141,0.0114525142013623,NA,"sender-agnostic"
"Mmp15",0.507753092725006,0.00771112753078873,0.000863549544483882,0.00497953189374263,NA,"sender-agnostic"
"Prg4",0.505696004993762,0.00770564223111575,0.000858064244810905,0.00413293461533123,NA,"sender-agnostic"
"Wnt2",0.514685714826166,0.00768579730471603,0.000838219318411191,0.00180702266815117,NA,"sender-agnostic"
"Sema6b",0.508105398554837,0.0076839690024628,0.000836391016157952,0.00420832274872303,NA,"sender-agnostic"
"Ptprm",0.502326637158093,0.00761567875573252,0.000768100769427677,0.000484503926519771,NA,"sender-agnostic"
"Efna5",0.504672190065439,0.00757509533636979,0.000727517350064946,-5.85103400009896e-05,NA,"sender-agnostic"
"Nid1",0.514761377823173,0.00756944256902139,0.00072186458271655,0.00160650854507647,NA,"sender-agnostic"
"Dbh",0.498921802292586,0.00756279452942806,0.00071521654312322,0.00666473522981866,NA,"sender-agnostic"
"Cdh5",0.506542484772831,0.00749418672517123,0.00064660873886639,0.000867001382226521,NA,"sender-agnostic"
"Pecam1",0.503724038134149,0.0074893035817737,0.000641725595468855,8.59736985697884e-05,NA,"sender-agnostic"
"Alcam",0.508079389399615,0.00748655648209305,0.000638978495788204,-0.000269263065406017,NA,"sender-agnostic"
"Mfge8",0.519826069685619,0.0074765541547034,0.000628976168398554,0.00222601674097657,NA,"sender-agnostic"
"Angpt1",0.513477471342637,0.00746209382819697,0.000614515841892128,0.00111515214522941,NA,"sender-agnostic"
"Fap",0.506497559868348,0.00745772600885182,0.000610148022546974,0.000947722461924838,NA,"sender-agnostic"
"Tgfbi",0.506244561722096,0.00745560687150143,0.000608028885196586,-0.00105152825290468,NA,"sender-agnostic"
"Timp2",0.505291680853482,0.00745125178392279,0.000603673797617944,-6.18273725353765e-05,NA,"sender-agnostic"
"Dusp18",0.508041557901107,0.00744649105340115,0.000598913067096306,0.0015650654380811,NA,"sender-agnostic"
"Plat",0.512886354178487,0.00743965970969198,0.00059208172338714,-0.00159492695157737,NA,"sender-agnostic"
"Jag1",0.508592479098099,0.00742585519302988,0.000578277206725033,0.0096810094508864,NA,"sender-agnostic"
"Fgf13",0.525883838383837,0.00742486752276814,0.000577289536463291,0.000180403928372443,NA,"sender-agnostic"
"Glg1",0.511358907426326,0.00739523080214386,0.000547652815839014,0.00137456927938198,NA,"sender-agnostic"
"Sirpa",0.508613759316014,0.0073905873050623,0.000543009318757458,0.000164943894404229,NA,"sender-agnostic"
"Wnt5b",0.497439280444902,0.00738313318421946,0.000535555197914618,0.00026386838266874,NA,"sender-agnostic"
"H2-K1",0.512113172927782,0.00736584368109894,0.000518265694794097,-0.000380125775666376,NA,"sender-agnostic"
"H2-D1",0.511507868951693,0.00735372155085963,0.000506143564554785,-0.000470999549789156,NA,"sender-agnostic"
"H2-Q4",0.51148895320244,0.00735335819564025,0.000505780209335405,-0.000468655867046733,NA,"sender-agnostic"
"H2-Q6",0.51148895320244,0.00735335819564025,0.000505780209335405,-0.000468655867046733,NA,"sender-agnostic"
"Furin",0.492762361442139,0.00734951030857245,0.000501932322267609,0.0128032289739467,NA,"sender-agnostic"
"Sema5a",0.512011500775557,0.00734363221144345,0.000496054225138609,0.000687040669957041,NA,"sender-agnostic"
"Prnp",0.495084269662925,0.00733906447134812,0.000491486485043271,0.00477452108639913,NA,"sender-agnostic"
"Fgf16",0.516882306208149,0.00732910666848377,0.00048152868217893,-0.000809668435331772,NA,"sender-agnostic"
"Gstp1",0.513912533575446,0.00732516886605831,0.000477590879753464,-0.000580170609019481,NA,"sender-agnostic"
"Gstp2",0.513912533575446,0.00732516886605831,0.000477590879753464,-0.000580170609019481,NA,"sender-agnostic"
"Enpp1",0.509505163999546,0.00731474687704094,0.000467168890736101,-0.00053669545841711,NA,"sender-agnostic"
"Crhr2",0.504383724889343,0.00729802127692331,0.000450443290618469,-0.000953757881548928,NA,"sender-agnostic"
"Nppb",0.514678621420193,0.00729414771773652,0.000446569731431673,0.000682815223693653,NA,"sender-agnostic"
"Pltp",0.482065505239667,0.00727945168402022,0.000431873697715373,0.012048755196772,NA,"sender-agnostic"
"Slit2",0.503409563802821,0.00727693073066558,0.000429352744360735,-0.00122894941765589,NA,"sender-agnostic"
"Alox5ap",0.508805281277199,0.00726511628994062,0.00041753830363578,0.000401379842527004,NA,"sender-agnostic"
"Wnt9a",0.493545000567468,0.00725643272453263,0.000408854738227785,0.000532640090630596,NA,"sender-agnostic"
"Cxcl12",0.472475220368491,0.00724170212291234,0.000394124136607494,0.00487746473544631,NA,"sender-agnostic"
"Itgb2",0.507753092725004,0.00724158610094348,0.000394008114638639,-0.000275374536523951,NA,"sender-agnostic"
"Il1b",0.506956266787728,0.00723693072352047,0.000389352737215627,0.00029499383736096,NA,"sender-agnostic"
"Lilra5",0.498382703438889,0.00723571147842558,0.000388133492120733,-0.0018503444958736,NA,"sender-agnostic"
"Lilra6",0.496287784209138,0.00723212107287771,0.000384543086572869,-0.00225708978716902,NA,"sender-agnostic"
"Lrig1",0.506395887716114,0.00723183272758173,0.000384254741276882,-0.00216308257797335,NA,"sender-agnostic"
"B2m",0.507154882154887,0.00722987634297924,0.000382298356674401,-0.002234965921773,NA,"sender-agnostic"
"Cp",0.510578632769649,0.00721381525379503,0.000366237267490188,-0.000223352814164998,NA,"sender-agnostic"
"Il33",0.507313301554878,0.00720866051185007,0.000361082525545223,-0.0100103082330333,NA,"sender-agnostic"
"Tnfsf12",0.511030246283046,0.00720651502324461,0.000358937036939767,-0.00328880878044128,NA,"sender-agnostic"
"Ntn1",0.494854916203234,0.00720599841789136,0.000358420431586517,-0.00268096681592778,NA,"sender-agnostic"
"Cd79b",0.5036672908864,0.0071848516738762,0.000337273687571359,-0.00154604786394913,NA,"sender-agnostic"
"Icam1",0.503742953883399,0.00718045043397733,0.000332872447672487,-0.00267278038475424,NA,"sender-agnostic"
"Shisa4",0.495621004047966,0.00716750754170587,0.000319929555401025,-0.00173112079258574,NA,"sender-agnostic"
"Msn",0.504466481292317,0.00716344227023346,0.000315864283928621,-0.00177051346744173,NA,"sender-agnostic"
"Fgf12",0.509202512011501,0.00715907836821789,0.000311500381913049,-0.00206315105298122,NA,"sender-agnostic"
"Wnt5a",0.485680777815611,0.00715712928630327,0.000309551299998425,-0.00676830271178271,NA,"sender-agnostic"
"Hp",0.49568248023304,0.00715617360385199,0.000308595617547145,-0.00279204838728853,NA,"sender-agnostic"
"Lpl",0.502636382552122,0.00714894910873005,0.000301371122425207,-0.00186911761166065,NA,"sender-agnostic"
"Tfpi",0.504088166307273,0.00713310359549674,0.000285525609191899,-0.0034752137029652,NA,"sender-agnostic"
"Ctsd",0.518144932470772,0.0071147686434652,0.000267190657160357,-0.00135331523109933,NA,"sender-agnostic"
"Cd14",0.508845477244349,0.00710775988168198,0.000260181895377136,-0.00120356141298214,NA,"sender-agnostic"
"Nrxn2",0.509973328793556,0.00709825402629245,0.000250676039987604,-0.000685424039547177,NA,"sender-agnostic"
"Mmp9",0.490232379979569,0.00709702313906648,0.000249445152761635,-0.00433091440207832,NA,"sender-agnostic"
"Vcam1",0.493547365036136,0.00707534825024971,0.000227770263944871,-0.00264913283467706,NA,"sender-agnostic"
"Nucb2",0.496202663337492,0.00707073380306035,0.000223155816755507,-0.00259407864530489,NA,"sender-agnostic"
"Pf4",0.489000491809489,0.00704349751236052,0.000195919526055679,0.00391275401261744,NA,"sender-agnostic"
"Opcml",0.53119443498657,0.00703474068532261,0.000187162699017768,0.000516273667864863,NA,"sender-agnostic"
"Sema4a",0.48175339537699,0.00703279135020584,0.000185213363900998,-0.00485778991734536,NA,"sender-agnostic"
"Calm2",0.49287822040632,0.00703131168625835,0.00018373369995351,-0.00410304971592169,NA,"sender-agnostic"
"Has1",0.493665588468958,0.0070296685614987,0.000182090575193857,-0.00274065707543373,NA,"sender-agnostic"
