"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Pltp",0.481558244782903,0.027939136243003,0.0190729810852878,0.0121864509184088,NA,"sender-agnostic"
"Sema3c",0.529461485529777,0.012544211652067,0.0036780564943517,0.0105270912822922,NA,"sender-agnostic"
"Il15",0.516895155420876,0.0119615017378969,0.00309534658018169,0.0235791787696355,NA,"sender-agnostic"
"Mfap5",0.52131991954372,0.0116424007538359,0.00277624559612062,0.0161276600257619,NA,"sender-agnostic"
"Jag2",0.521103230160514,0.0113000860616983,0.00243393090398307,0.00407143380693633,NA,"sender-agnostic"
"Ltbp3",0.525546189575081,0.0112148414995625,0.0023486863418472,0.00619877066437951,NA,"sender-agnostic"
"Penk",0.485117905490348,0.011134416615402,0.00226826145768673,0.019065915476134,NA,"sender-agnostic"
"Calr",0.481372983630846,0.011099257282204,0.0022331021244887,0.00901062722927337,NA,"sender-agnostic"
"Apln",0.523989665074296,0.0110779729193493,0.00221181776163405,0.00889480665785767,NA,"sender-agnostic"
"Lfng",0.509268019955271,0.0109385433463605,0.00207238818864527,0.00242114917606098,NA,"sender-agnostic"
"Angptl4",0.52342891926584,0.0108771491198946,0.00201099396217933,0.0231578986211965,NA,"sender-agnostic"
"Furin",0.507579166060147,0.0107872617692302,0.00192110661151494,0.00674463365322118,NA,"sender-agnostic"
"Copa",0.501157882200366,0.0107479797523445,0.00188182459462923,0.0142134421284845,NA,"sender-agnostic"
"Mfng",0.50083863753655,0.0106727005733287,0.0018065454156134,0.00385566583073359,NA,"sender-agnostic"
"Postn",0.53806289616113,0.0104853825086738,0.00161922735095859,-0.00662405940363243,NA,"sender-agnostic"
"Mdk",0.534453611930816,0.0104819384712566,0.00161578331354133,-0.00141798200096598,NA,"sender-agnostic"
"Fgf1",0.504029430057286,0.0104793214540535,0.0016131662963382,0.0098516993579261,NA,"sender-agnostic"
"Bmp2",0.517479058873342,0.0104361216331445,0.0015699664754292,0.0157177779666478,NA,"sender-agnostic"
"Dll4",0.503824319496084,0.0104279146164292,0.00156175945871394,0.00205599107889706,NA,"sender-agnostic"
"Mxra8",0.495471026479109,0.0104155238491567,0.00154936869144145,-0.000877359142315851,NA,"sender-agnostic"
"Esam",0.523280048697218,0.0103897906712008,0.0015236355134855,0.00243183739493374,NA,"sender-agnostic"
"Pdgfc",0.506652860299851,0.0102751107373821,0.00140895557966684,0.00664479292644963,NA,"sender-agnostic"
"Plxna1",0.520547446704335,0.0102689661192007,0.00140281096148548,-0.00274649616559934,NA,"sender-agnostic"
"Lin7c",0.509512829334773,0.0102471818793848,0.00138102672166958,-0.00205039101941391,NA,"sender-agnostic"
"Cd55",0.495285765327055,0.010213681396085,0.00134752623836975,-0.00291419459265017,NA,"sender-agnostic"
"Vegfb",0.497834760285297,0.010184369269198,0.00131821411148274,-0.00569882005809469,NA,"sender-agnostic"
"Apoc2",0.504115444163597,0.0101534752618156,0.00128732010410034,-0.00266113539494316,NA,"sender-agnostic"
"Fap",0.535500668263443,0.010108617383736,0.00124246222602079,0.000427530013339171,NA,"sender-agnostic"
"Cd80",0.491296034088045,0.0100762768629516,0.00121012170523632,-0.00471316449710255,NA,"sender-agnostic"
"Lrrn2",0.497325292117132,0.0100656009821219,0.0011994458244066,-0.00177081810471813,NA,"sender-agnostic"
"Ahsg",0.494078259603795,0.0099878729230227,0.00112171776530744,-0.00491876421817296,NA,"sender-agnostic"
"Serpinf1",0.503845823022664,0.00992776459211914,0.00106160943440388,-0.00352265255238338,NA,"sender-agnostic"
"Sema6a",0.475767179663626,0.00991979081937019,0.00105363566165493,-0.00615457785846021,NA,"sender-agnostic"
"Tspan3",0.530123132501429,0.00990467967702648,0.00103852451931122,-0.00079599816589964,NA,"sender-agnostic"
"Tnfsf9",0.482009818841048,0.00990159097532752,0.00103543581761226,0.00377623773867947,NA,"sender-agnostic"
"Comp",0.509966057510344,0.00986525704626755,0.000999101888552295,-0.0042293603022949,NA,"sender-agnostic"
"Ptdss1",0.48695562995407,0.0098191316207425,0.000952976463027244,-0.00597139344439505,NA,"sender-agnostic"
"Nppa",0.491307612910055,0.0098162410703774,0.000950085912662138,-0.0046741599508834,NA,"sender-agnostic"
"Fgf7",0.497037475684477,0.00979948953197116,0.000933334374255905,0.00225832745700294,NA,"sender-agnostic"
"Lpl",0.499679101218743,0.00979474599477485,0.000928590837059593,-0.00536009467599603,NA,"sender-agnostic"
"Flrt1",0.510622742129707,0.00979434393520739,0.000928188777492133,-0.00669969415747658,NA,"sender-agnostic"
"Dll1",0.503978152416983,0.00978502215945286,0.000918867001737605,-0.00481928846690757,NA,"sender-agnostic"
"Itga9",0.503950032420697,0.00974577695554811,0.000879621797832845,-0.00543171430220104,NA,"sender-agnostic"
"Cklf",0.477017692440018,0.00974031565402387,0.000874160496308606,-0.0066741466311333,NA,"sender-agnostic"
"C1qa",0.487921634532679,0.00973143618265077,0.000865281024935506,-0.00589198596141648,NA,"sender-agnostic"
"Efna1",0.50431063002024,0.00971072307542905,0.000844567917713795,-0.00581389210367716,NA,"sender-agnostic"
"Angpt2",0.492976617396028,0.00969611824931182,0.000829963091596561,-0.00458529500367732,NA,"sender-agnostic"
"Sema7a",0.49011334012624,0.0096820519190409,0.000815896761325638,-0.0067598541219024,NA,"sender-agnostic"
"Efnb1",0.502606889068257,0.00964347111387753,0.00077731595616227,-0.00570373695715584,NA,"sender-agnostic"
"Mfap2",0.510007410446081,0.00963709584165697,0.00077094068394171,-0.00753660000338222,NA,"sender-agnostic"
"Ntn1",0.478714816922282,0.00963685336228316,0.000770698204567903,-0.00869876474055616,NA,"sender-agnostic"
"Cntf",0.504299051198243,0.00962877535231723,0.000762620194601969,0.00117840576558081,NA,"sender-agnostic"
"C4b",0.482633421111822,0.00962869834935264,0.000762543191637382,-0.00728875129131425,NA,"sender-agnostic"
"Jag1",0.485245272532378,0.00961975013401815,0.000753594976302894,-0.00241186739614409,NA,"sender-agnostic"
"Pgf",0.493297516177264,0.00960417950829145,0.000738024350576188,-0.00735076543980241,NA,"sender-agnostic"
"Efnb3",0.497910849687034,0.00960220626689288,0.000736051109177622,-0.00682559332102144,NA,"sender-agnostic"
"Sirpb1b",0.467647117204144,0.00960123472076627,0.000735079563051013,-0.00974042747515724,NA,"sender-agnostic"
"Cdh5",0.508692387089942,0.0095943666844281,0.000728211526712836,-0.00614599398688477,NA,"sender-agnostic"
"Ltbp1",0.503857401844678,0.00958911012486179,0.000722954967146534,-0.0073253219966476,NA,"sender-agnostic"
"Ocln",0.499268880096323,0.00957109138214792,0.000704936224432661,-0.00486000073320857,NA,"sender-agnostic"
"Sost",0.50281530786433,0.00956390127807144,0.000697746120356177,-0.00743749054777837,NA,"sender-agnostic"
"Nampt",0.487744643967765,0.00955351446367495,0.00068735930595969,-0.0072388252372847,NA,"sender-agnostic"
"Tslp",0.511858367849243,0.00954869281821258,0.000682537660497315,-0.00023699903735841,NA,"sender-agnostic"
"Timp1",0.492290158662945,0.00954837089004231,0.000682215732327046,-0.00524119439841279,NA,"sender-agnostic"
"Zdhhc5",0.504897841707579,0.00953120123229916,0.000665046074583895,-0.00689062964152134,NA,"sender-agnostic"
"Nucb2",0.476635591313897,0.00952319345557128,0.000657038297856018,-0.00988281172183332,NA,"sender-agnostic"
"Col1a1",0.489903267212739,0.0095222145572614,0.000656059399546138,-0.0083709915780901,NA,"sender-agnostic"
"Lrpap1",0.475998756103689,0.00949401261494571,0.00062785745723045,-0.00889483864864627,NA,"sender-agnostic"
"Lamb1",0.487013524064094,0.00949169313377126,0.000625537976056001,-0.00932266056206374,NA,"sender-agnostic"
"Gdf10",0.49317345737009,0.00949003206080772,0.000623876903092464,-0.007498958331804,NA,"sender-agnostic"
"Lama5",0.479181278037284,0.00948161913822833,0.000615463980513067,-0.00891699132188699,NA,"sender-agnostic"
"Cx3cl1",0.498947981315088,0.00947647321601002,0.000610318058294758,0.00329069128813865,NA,"sender-agnostic"
"Wnt5a",0.488331855655093,0.00947051950921029,0.000604364351495031,0.00464430076900293,NA,"sender-agnostic"
"Igsf3",0.479328494488472,0.00945668610970416,0.000590530951988896,-0.00841980252076665,NA,"sender-agnostic"
"Adam10",0.506206248593985,0.00944923941378328,0.000583084256068022,-0.00750981795343727,NA,"sender-agnostic"
"F11r",0.492553163334157,0.00944894402051351,0.000582788862798254,-0.008909373434771,NA,"sender-agnostic"
"Gnas",0.472518493032856,0.00941377518134689,0.000547620023631628,-0.00754332172474987,NA,"sender-agnostic"
"Tnfsf10",0.481037197792746,0.00941321893119878,0.000547063773483519,0.00437276390666513,NA,"sender-agnostic"
"Calm2",0.487516375762547,0.0094010255657952,0.000534870408079938,-0.00728847816479996,NA,"sender-agnostic"
"Efnb2",0.488333509772523,0.00938875962878744,0.000522604471072179,-0.00859968081845564,NA,"sender-agnostic"
"Fndc5",0.499996691765122,0.00938089061879342,0.000514735461078161,-0.00805238659820698,NA,"sender-agnostic"
"Siglece",0.483774762137909,0.00938066673986146,0.000514511582146202,-0.00952285772474147,NA,"sender-agnostic"
"C3",0.487729756910889,0.00937168660244986,0.000505531444734603,-0.00868025864171346,NA,"sender-agnostic"
"Sema3a",0.50901824822348,0.00936914917171914,0.000502994014003876,-0.0057409211073838,NA,"sender-agnostic"
"Lamc1",0.505438738106894,0.00936547977108028,0.000499324613365024,-0.00749823213831401,NA,"sender-agnostic"
"Il16",0.492210761026344,0.00936350354492172,0.000497348387206459,-0.00787384781380484,NA,"sender-agnostic"
"Grn",0.499556696528994,0.00936312090609685,0.000496965748381593,-0.00781647202998545,NA,"sender-agnostic"
"Nrxn2",0.484423176170123,0.00936160494445302,0.000495449786737759,-0.00903394259702218,NA,"sender-agnostic"
"Itgal",0.496910108642425,0.00935163994419305,0.000485484786477789,-0.00234704889195814,NA,"sender-agnostic"
"Angptl1",0.479770143842047,0.00935145391414159,0.000485298756426335,-0.0112351013452571,NA,"sender-agnostic"
"Nid1",0.483979872699105,0.00934676021746489,0.000480605059749629,-0.00922901256525277,NA,"sender-agnostic"
"Myoc",0.479631197978002,0.0093403277706493,0.000474172612934044,0.00691633694926735,NA,"sender-agnostic"
"Eng",0.513457899403189,0.00933118459126066,0.000465029433545403,-0.00661103494876502,NA,"sender-agnostic"
"Inhbb",0.48073118606835,0.0093254224425846,0.000459267284869336,-0.00497271955411403,NA,"sender-agnostic"
"Dchs1",0.491535881115259,0.00932043595777188,0.000454280800056623,-0.00982475875474243,NA,"sender-agnostic"
"Lgals3bp",0.484529039685578,0.00931459796999879,0.000448442812283525,-0.00964016263455406,NA,"sender-agnostic"
"Il1b",0.471158808506136,0.00930581435605451,0.000439659198339252,0.00911876242151373,NA,"sender-agnostic"
"Sirpa",0.472020603686697,0.00930458829065809,0.000438433132942825,-0.009959317704422,NA,"sender-agnostic"
"Slc6a8",0.479326840371044,0.0092980048850014,0.000431849727286136,-0.00876934355636453,NA,"sender-agnostic"
"Vcan",0.485789477166562,0.00929540917270481,0.000429254014989547,-0.00980179187984431,NA,"sender-agnostic"
"Thbs2",0.493735857295976,0.00928874936174121,0.000422594204025947,-0.00815525484897454,NA,"sender-agnostic"
"Apoa1",0.491699638740745,0.00928344789805033,0.000417292740335071,-0.00790540145729581,NA,"sender-agnostic"
"Calm1",0.482170268231677,0.00928103681986597,0.000414881662150706,-0.00852740730921737,NA,"sender-agnostic"
