"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Adamts3",0.504623887147804,0.0305594725221341,0.0226734736289409,0.0429058394486886,"Myocytes","sender-focused"
"Fgf1",0.513715085370665,0.0292879263439242,0.0214019274507311,0.0452172786442746,"Myocytes","sender-focused"
"Fgf1",0.513715085370665,0.0292879263439242,0.0214019274507311,0.0452172786442746,"SmoothMuscleCells","sender-focused"
"Vegfa",0.488758327278251,0.0276143965954392,0.0197283977022461,0.0278783516697249,"Myocytes","sender-focused"
"Col5a2",0.506341330945557,0.0267180163838798,0.0188320174906866,0.0161905716572561,"SmoothMuscleCells","sender-focused"
"Col5a2",0.506341330945557,0.0267180163838798,0.0188320174906866,0.0161905716572561,"EndocardialCells","sender-focused"
"Calr",0.557353326140624,0.01595997530326,0.00807397641006686,0.0519617089546376,"EndothelialCells","sender-focused"
"Calr",0.557353326140624,0.01595997530326,0.00807397641006686,0.0519617089546376,"Myocytes","sender-focused"
"Calr",0.557353326140624,0.01595997530326,0.00807397641006686,0.0519617089546376,"Leukocytes","sender-focused"
"Calr",0.557353326140624,0.01595997530326,0.00807397641006686,0.0519617089546376,"SmoothMuscleCells","sender-focused"
"Calr",0.557353326140624,0.01595997530326,0.00807397641006686,0.0519617089546376,"EndocardialCells","sender-focused"
"Pdgfc",0.495491098405626,0.0156096693747014,0.00772367048150828,0.02779309772448,"Myocytes","sender-focused"
"Pdgfc",0.495491098405626,0.0156096693747014,0.00772367048150828,0.02779309772448,"Leukocytes","sender-focused"
"Pdgfa",0.49503849569539,0.0135106396563827,0.00562464076318956,0.00213033352262976,"Myocytes","sender-focused"
"Pdgfa",0.49503849569539,0.0135106396563827,0.00562464076318956,0.00213033352262976,"Leukocytes","sender-focused"
"Pdgfa",0.49503849569539,0.0135106396563827,0.00562464076318956,0.00213033352262976,"SmoothMuscleCells","sender-focused"
"Adm",0.557512348714487,0.0134289419773097,0.00554294308411658,0.0517120142938906,"EndothelialCells","sender-focused"
"Adm",0.557512348714487,0.0134289419773097,0.00554294308411658,0.0517120142938906,"Myocytes","sender-focused"
"Adm",0.557512348714487,0.0134289419773097,0.00554294308411658,0.0517120142938906,"EndocardialCells","sender-focused"
"Bmp2",0.553397333803065,0.0125186588289329,0.0046326599357398,0.0414232411321234,"Leukocytes","sender-focused"
"Bmp2",0.553397333803065,0.0125186588289329,0.0046326599357398,0.0414232411321234,"SmoothMuscleCells","sender-focused"
"Cklf",0.43687293117748,0.0121219894793115,0.00423599058611837,-0.00542667204225718,"Leukocytes","sender-focused"
"Cklf",0.43687293117748,0.0121219894793115,0.00423599058611837,-0.00542667204225718,"EndocardialCells","sender-focused"
"Fbln1",0.465648677543818,0.0120559824474401,0.00416998355424701,0.00293879342558362,"Myocytes","sender-focused"
"Fbln1",0.465648677543818,0.0120559824474401,0.00416998355424701,0.00293879342558362,"Leukocytes","sender-focused"
"Fbln1",0.465648677543818,0.0120559824474401,0.00416998355424701,0.00293879342558362,"EndocardialCells","sender-focused"
"Angpt1",0.479990067205396,0.0118873858534567,0.00400138696026352,0.0272529490283157,"Myocytes","sender-focused"
"Ccl19",0.495464186893122,0.0108466810385637,0.00296068214537059,0.0124788045299544,"EndocardialCells","sender-focused"
"Angptl4",0.519368949496884,0.010838273049512,0.0029522741563189,0.0290430083334652,"EndothelialCells","sender-focused"
"Angptl4",0.519368949496884,0.010838273049512,0.0029522741563189,0.0290430083334652,"Myocytes","sender-focused"
"Pdgfb",0.510077138180837,0.0107014441632955,0.00281544527010234,0.0314767446459149,"EndothelialCells","sender-focused"
"Pdgfb",0.510077138180837,0.0107014441632955,0.00281544527010234,0.0314767446459149,"Leukocytes","sender-focused"
"Pdgfb",0.510077138180837,0.0107014441632955,0.00281544527010234,0.0314767446459149,"SmoothMuscleCells","sender-focused"
"Pdgfb",0.510077138180837,0.0107014441632955,0.00281544527010234,0.0314767446459149,"EndocardialCells","sender-focused"
"Pf4",0.498554117828395,0.0106331035842011,0.00274710469100791,0.0188175658016699,"EndothelialCells","sender-focused"
"Pf4",0.498554117828395,0.0106331035842011,0.00274710469100791,0.0188175658016699,"Myocytes","sender-focused"
"Pf4",0.498554117828395,0.0106331035842011,0.00274710469100791,0.0188175658016699,"Leukocytes","sender-focused"
"Pf4",0.498554117828395,0.0106331035842011,0.00274710469100791,0.0188175658016699,"SmoothMuscleCells","sender-focused"
"Pf4",0.498554117828395,0.0106331035842011,0.00274710469100791,0.0188175658016699,"EndocardialCells","sender-focused"
"Pltp",0.53610057076872,0.0105649523736604,0.00267895348046726,0.00692222652861796,"EndothelialCells","sender-focused"
"Pltp",0.53610057076872,0.0105649523736604,0.00267895348046726,0.00692222652861796,"Leukocytes","sender-focused"
"Pltp",0.53610057076872,0.0105649523736604,0.00267895348046726,0.00692222652861796,"SmoothMuscleCells","sender-focused"
"Pltp",0.53610057076872,0.0105649523736604,0.00267895348046726,0.00692222652861796,"EndocardialCells","sender-focused"
"Nrxn2",0.491175470401014,0.0103994293511512,0.00251343045795801,0.0115079562272772,"Myocytes","sender-focused"
"Nrxn2",0.491175470401014,0.0103994293511512,0.00251343045795801,0.0115079562272772,"EndocardialCells","sender-focused"
"Il15",0.475532542134874,0.010397432650106,0.00251143375691285,0.0250275041005058,"EndothelialCells","sender-focused"
"Il15",0.475532542134874,0.010397432650106,0.00251143375691285,0.0250275041005058,"Myocytes","sender-focused"
"Il15",0.475532542134874,0.010397432650106,0.00251143375691285,0.0250275041005058,"Leukocytes","sender-focused"
"Il15",0.475532542134874,0.010397432650106,0.00251143375691285,0.0250275041005058,"EndocardialCells","sender-focused"
"Il33",0.500900312418202,0.0103900872137342,0.00250408832054105,0.0170103527541674,"Myocytes","sender-focused"
"Il33",0.500900312418202,0.0103900872137342,0.00250408832054105,0.0170103527541674,"EndocardialCells","sender-focused"
"Wnt2",0.491664770628295,0.0103519026471046,0.00246590375391144,0.0164791773950574,"EndocardialCells","sender-focused"
"Cmtm8",0.519679655141207,0.0103274004227145,0.00244140152952138,0.0198768372466967,"EndothelialCells","sender-focused"
"Cmtm8",0.519679655141207,0.0103274004227145,0.00244140152952138,0.0198768372466967,"Myocytes","sender-focused"
"Cmtm8",0.519679655141207,0.0103274004227145,0.00244140152952138,0.0198768372466967,"SmoothMuscleCells","sender-focused"
"Cmtm8",0.519679655141207,0.0103274004227145,0.00244140152952138,0.0198768372466967,"EndocardialCells","sender-focused"
"Tnfsf12",0.474977186376914,0.0103221098897052,0.00243611099651202,0.0193314425766797,"EndothelialCells","sender-focused"
"Tnfsf12",0.474977186376914,0.0103221098897052,0.00243611099651202,0.0193314425766797,"Myocytes","sender-focused"
"Tnfsf12",0.474977186376914,0.0103221098897052,0.00243611099651202,0.0193314425766797,"Leukocytes","sender-focused"
"Tnfsf12",0.474977186376914,0.0103221098897052,0.00243611099651202,0.0193314425766797,"SmoothMuscleCells","sender-focused"
"Tnfsf12",0.474977186376914,0.0103221098897052,0.00243611099651202,0.0193314425766797,"EndocardialCells","sender-focused"
"Timp3",0.525817926492433,0.010211825179271,0.00232582628607783,0.00743375086324556,"EndothelialCells","sender-focused"
"Timp3",0.525817926492433,0.010211825179271,0.00232582628607783,0.00743375086324556,"Myocytes","sender-focused"
"Timp3",0.525817926492433,0.010211825179271,0.00232582628607783,0.00743375086324556,"Leukocytes","sender-focused"
"Timp3",0.525817926492433,0.010211825179271,0.00232582628607783,0.00743375086324556,"SmoothMuscleCells","sender-focused"
"Timp3",0.525817926492433,0.010211825179271,0.00232582628607783,0.00743375086324556,"EndocardialCells","sender-focused"
"Calm3",0.512462476788829,0.0101664618571762,0.00228046296398302,0.0141429234125497,"EndothelialCells","sender-focused"
"Calm3",0.512462476788829,0.0101664618571762,0.00228046296398302,0.0141429234125497,"Myocytes","sender-focused"
"Calm3",0.512462476788829,0.0101664618571762,0.00228046296398302,0.0141429234125497,"Leukocytes","sender-focused"
"Calm3",0.512462476788829,0.0101664618571762,0.00228046296398302,0.0141429234125497,"SmoothMuscleCells","sender-focused"
"Calm3",0.512462476788829,0.0101664618571762,0.00228046296398302,0.0141429234125497,"EndocardialCells","sender-focused"
"Hbegf",0.526833224464039,0.0100978067000515,0.00221180780685841,0.0085398101416607,"EndothelialCells","sender-focused"
"Hbegf",0.526833224464039,0.0100978067000515,0.00221180780685841,0.0085398101416607,"Myocytes","sender-focused"
"Hbegf",0.526833224464039,0.0100978067000515,0.00221180780685841,0.0085398101416607,"SmoothMuscleCells","sender-focused"
"Hbegf",0.526833224464039,0.0100978067000515,0.00221180780685841,0.0085398101416607,"EndocardialCells","sender-focused"
"Wnt5b",0.486086748037303,0.0100735302247564,0.00218753133156326,0.018117411916316,"SmoothMuscleCells","sender-focused"
