"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Comp",0.566579106890265,0.0411848842017324,0.03724011102619,0.047554242028877,NA,"sender-agnostic"
"Mmp16",0.543832087290338,0.0147611410109783,0.0108163678354359,0.0415609590421265,NA,"sender-agnostic"
"Prnp",0.648368357243844,0.014215690829288,0.0102709176537456,0.0496333706576859,NA,"sender-agnostic"
"Nppa",0.552151949888851,0.0118762629242914,0.00793148974874898,0.0597271511543951,NA,"sender-agnostic"
"Tgfb1",0.67929379672658,0.0110610204337883,0.00711624725824592,0.0560399262964515,NA,"sender-agnostic"
"Fgf1",0.620524348353221,0.0109484841390852,0.00700371096354282,0.0380799627667681,NA,"sender-agnostic"
"Cx3cl1",0.539624166498283,0.0103806453785638,0.00643587220302135,0.0123621476436519,NA,"sender-agnostic"
"Nrg1",0.554612042836924,0.00938641639811769,0.00544164322257528,0.00958384223773552,NA,"sender-agnostic"
"Esam",0.608365326328551,0.00920893751857113,0.00526416434302872,0.0368585851701303,NA,"sender-agnostic"
"Bmp6",0.570893109719114,0.0085504247756222,0.00460565160007979,0.039167315058595,NA,"sender-agnostic"
"Igf2",0.571448777530787,0.00815579684085296,0.00421102366531055,0.0347127034166399,NA,"sender-agnostic"
"Pdgfc",0.537027682360067,0.00812259117774938,0.00417781800220698,0.0274818528659487,NA,"sender-agnostic"
"Adm",0.57520206102241,0.00787510248747606,0.00393032931193365,0.0179261543758264,NA,"sender-agnostic"
"Ang",0.640381895332428,0.00782287530530566,0.00387810212976325,0.0239734763878462,NA,"sender-agnostic"
"Mfap2",0.610572842998586,0.00764419231242176,0.00369941913687935,0.036718870959832,NA,"sender-agnostic"
"Inhba",0.550954738330964,0.00744741485450336,0.00350264167896096,0.0389181819394166,NA,"sender-agnostic"
"Vegfc",0.592483329965625,0.00734995641794732,0.00340518324240491,0.0137534328872014,NA,"sender-agnostic"
"Bmp2",0.585229339260437,0.00717076353851694,0.00322599036297453,0.0313585097562598,NA,"sender-agnostic"
"Postn",0.617831885229327,0.00707054791246541,0.003125774736923,0.00146752401466266,NA,"sender-agnostic"
"Fgf7",0.609320064659505,0.00677744394864293,0.00283267077310052,0.022551459908924,NA,"sender-agnostic"
"Tgm2",0.58277429783793,0.00658230791316153,0.00263753473761912,0.0238031536774495,NA,"sender-agnostic"
"Jam2",0.570231359870692,0.00653934876667226,0.00259457559112986,0.0201824734568219,NA,"sender-agnostic"
"Lrig1",0.553404728227917,0.00652171138049278,0.00257693820495037,0.0165011064494353,NA,"sender-agnostic"
"Sema4d",0.5523893715902,0.00650558656274321,0.00256081338720081,0.0178580838975478,NA,"sender-agnostic"
"Lama4",0.634890887047902,0.00640351507520214,0.00245874189965974,0.0230476045282428,NA,"sender-agnostic"
"Bmp4",0.560456657910676,0.00636352072201851,0.00241874754647611,0.0315208274658232,NA,"sender-agnostic"
"Nts",0.592816730652651,0.00632796017936514,0.00238318700382274,0.0164706319732428,NA,"sender-agnostic"
"Sema4c",0.589992927864207,0.00627658414936948,0.00233181097382707,0.0211649417982252,NA,"sender-agnostic"
"App",0.528596686199215,0.0062268770012349,0.0022821038256925,0.0121664510681681,NA,"sender-agnostic"
"Epha4",0.546772075166685,0.00619613814928347,0.00225136497374107,0.0119619503043115,NA,"sender-agnostic"
"Efna1",0.575242473226924,0.00617651331938616,0.00223174014384376,0.0177064886744201,NA,"sender-agnostic"
"Ccl19",0.575722368155146,0.00616181676208293,0.00221704358654052,0.012394222632698,NA,"sender-agnostic"
"Pgf",0.571640735502096,0.00612820608593661,0.0021834329103942,0.0111088824724215,NA,"sender-agnostic"
"Angptl2",0.614962618710844,0.00610425201072245,0.00215947883518005,0.00100721776702633,NA,"sender-agnostic"
"Bace2",0.585739543342074,0.00603627815242528,0.00209150497688287,0.0191985019207771,NA,"sender-agnostic"
"C1qa",0.578596686199214,0.00602339609036246,0.00207862291482006,0.00960678120558287,NA,"sender-agnostic"
"Zdhhc5",0.579010911295216,0.00600476239584563,0.00205998922030322,0.0158535519982355,NA,"sender-agnostic"
"S100a4",0.624676702364068,0.00595490026785661,0.0020101270923142,0.0190036298758007,NA,"sender-agnostic"
"Fgf16",0.584249343301678,0.00590261435061384,0.00195784117507143,0.0163411163905195,NA,"sender-agnostic"
"Psap",0.560345524348337,0.00590037386760077,0.00195560069205837,0.0159404561437077,NA,"sender-agnostic"
"Tspan3",0.541659931299242,0.00587685881263157,0.00193208563708916,0.0150149252458324,NA,"sender-agnostic"
"Lamb1",0.580885027278248,0.00587419303411061,0.0019294198585682,0.0160815448779341,NA,"sender-agnostic"
"Lama2",0.589028086482121,0.00584953652878276,0.00190476335324036,0.0110997186534985,NA,"sender-agnostic"
"Prg4",0.582663164275593,0.00582646651896504,0.00188169334342264,0.0176237826163112,NA,"sender-agnostic"
"Osm",0.523600727419659,0.00581270845041482,0.00186793527487242,0.0268765130812438,NA,"sender-agnostic"
"Pdgfa",0.539684784805001,0.00578731450947533,0.00184254133393293,0.0157457521814361,NA,"sender-agnostic"
"Cd55",0.560779955546564,0.00578448634221118,0.00183971316666877,0.0137736990109008,NA,"sender-agnostic"
"Ifitm6",0.566235603152138,0.00577984979487231,0.0018350766193299,0.016805818847409,NA,"sender-agnostic"
"Vegfb",0.541594261466954,0.00577725097116961,0.0018324777956272,0.0108878411408041,NA,"sender-agnostic"
"Nlgn2",0.581738735098005,0.00572994467770816,0.00178517150216575,0.0173187225065296,NA,"sender-agnostic"
"Mpdz",0.601732673267316,0.00571227734735255,0.00176750417181014,0.0179398450636848,NA,"sender-agnostic"
"Neo1",0.592660133360269,0.00569351999561503,0.00174874682007262,0.0155610342635522,NA,"sender-agnostic"
"Col6a3",0.593872499494838,0.00568728051344553,0.00174250733790313,0.0178392222791654,NA,"sender-agnostic"
"Lamb2",0.583951303293583,0.00567986590155663,0.00173509272601422,0.0173523139503394,NA,"sender-agnostic"
"Sema3f",0.567094362497482,0.00567562177411701,0.0017308485985746,0.0131816382253714,NA,"sender-agnostic"
"Hbegf",0.57409577692462,0.00567549499592502,0.00173072182038262,-0.00193649876536186,NA,"sender-agnostic"
"Itgb1",0.568458274398872,0.0056677082538915,0.0017229350783491,0.0101180449916942,NA,"sender-agnostic"
"Col27a1",0.568852293392594,0.00565885864486193,0.00171408546931952,0.014930133686796,NA,"sender-agnostic"
"Efnb1",0.550267730854708,0.00565159984869319,0.00170682667315078,0.0134574802245403,NA,"sender-agnostic"
"Ezr",0.570387957163056,0.00558550098173544,0.00164072780619303,0.0110209043147729,NA,"sender-agnostic"
"Fgf18",0.581369973732057,0.00557544246294665,0.00163066928740424,0.00474878647795022,NA,"sender-agnostic"
"Col4a3",0.56492725803192,0.00556946885781183,0.00162469568226942,0.0136445545444503,NA,"sender-agnostic"
"Jam3",0.579960598100602,0.00556744492088949,0.00162267174534709,0.0155240218485925,NA,"sender-agnostic"
"Col6a6",0.574878763386537,0.00556657810363927,0.00162180492809687,0.0141465493021392,NA,"sender-agnostic"
"Hp",0.589937361083034,0.00556098275707342,0.00161620958153101,0.0174902758904061,NA,"sender-agnostic"
"Vcan",0.580021216407328,0.00554953920569032,0.00160476603014791,0.014311250283301,NA,"sender-agnostic"
"Fbn1",0.555637502525754,0.0055354664797518,0.00159069330420939,0.0105679891662652,NA,"sender-agnostic"
"Ocln",0.577929884825204,0.00553118828479843,0.00158641510925603,0.0169354532383954,NA,"sender-agnostic"
"Lin7c",0.575080824408975,0.00552066839929437,0.00157589522375196,0.0147362996679786,NA,"sender-agnostic"
"Col14a1",0.561451808446137,0.00550615260095465,0.00156137942541224,0.013237503837227,NA,"sender-agnostic"
"Mfge8",0.540664780763794,0.00550033067062317,0.00155555749508076,0.0114607114019373,NA,"sender-agnostic"
"Dsc2",0.565730450596072,0.00547993573485418,0.00153516255931178,0.0136851216903306,NA,"sender-agnostic"
"Fndc5",0.573999797938957,0.00547463140675822,0.00152985823121582,0.0141975984762587,NA,"sender-agnostic"
"Sema3c",0.564523135987063,0.00546877795590554,0.00152400478036313,0.0136119385731262,NA,"sender-agnostic"
"Timp1",0.575681955950689,0.00546610938182516,0.00152133620628275,0.00809768372340626,NA,"sender-agnostic"
"Calr",0.565553647201459,0.00546202757070235,0.00151725439515994,0.00817276375928849,NA,"sender-agnostic"
"Bgn",0.587285310163644,0.00543867347329758,0.00149390029775517,0.00914173607071383,NA,"sender-agnostic"
"Lum",0.578834107900568,0.00543621808648806,0.00149144491094565,0.0133079181422027,NA,"sender-agnostic"
"Cd79b",0.570094968680538,0.00542986107059317,0.00148508789505077,0.0131307178218847,NA,"sender-agnostic"
"Col15a1",0.564396847848043,0.00542706804849137,0.00148229487294897,0.01100205938923,NA,"sender-agnostic"
"Itga9",0.562148918973518,0.00540565683189283,0.00146088365635042,0.0119286232689682,NA,"sender-agnostic"
"Has1",0.567518690644566,0.00539818400434924,0.00145341082880683,0.0143873140343913,NA,"sender-agnostic"
"Plxna1",0.572721761972098,0.00538448241366732,0.00143970923812492,0.013089232128796,NA,"sender-agnostic"
"Gas6",0.612901596282072,0.00537258996542832,0.00142781678988592,0.0191169923474589,NA,"sender-agnostic"
"Penk",0.55828955344513,0.00537070449643265,0.00142593132089024,0.00741773935700492,NA,"sender-agnostic"
"Lgals3bp",0.566826631642739,0.0053554510472432,0.00141067787170079,0.0106894783722678,NA,"sender-agnostic"
"Col5a2",0.575717316629628,0.0053540318679295,0.00140925869238709,0.00739442051874155,NA,"sender-agnostic"
"Sfrp1",0.590265710244471,0.00534966001781814,0.00140488684227573,0.0150742040236445,NA,"sender-agnostic"
"C3",0.572448979591826,0.00534446069139583,0.00139968751585343,0.0105421050984651,NA,"sender-agnostic"
"Lrfn4",0.56316932713679,0.00534401802687028,0.00139924485132787,0.0124175783133738,NA,"sender-agnostic"
"Col4a2",0.570771873105648,0.00533420940603785,0.00138943623049544,0.0103771964326104,NA,"sender-agnostic"
"Nrxn1",0.580960800161642,0.00533244915990092,0.00138767598435852,0.0165277263472898,NA,"sender-agnostic"
"Serping1",0.553611840775896,0.00532554794788491,0.0013807747723425,0.0124471806935485,NA,"sender-agnostic"
"Tnf",0.568842190341476,0.0053201907003769,0.00137541752483449,0.00837350800585383,NA,"sender-agnostic"
"Sema7a",0.55139927258031,0.00531182747024141,0.001367054294699,0.0102789664495268,NA,"sender-agnostic"
"Enpp1",0.565786017377248,0.0053073230454145,0.00136254986987209,0.0119851665885811,NA,"sender-agnostic"
"Efnb2",0.556127500505135,0.00530685152223223,0.00136207834668982,0.0122947575323354,NA,"sender-agnostic"
"Col5a3",0.584092746009282,0.00530551079879067,0.00136073762324826,0.0128625437249582,NA,"sender-agnostic"
"B2m",0.571241664982834,0.0053037109261097,0.0013589377505673,0.00985613966779262,NA,"sender-agnostic"
"Sparc",0.574070519296816,0.00529900235961481,0.00135422918407241,0.00761287219712703,NA,"sender-agnostic"
"Col16a1",0.562482319660535,0.00527071546596474,0.00132594229042233,0.00825089300213144,NA,"sender-agnostic"
"Nrxn2",0.560254596888238,0.00526440879651985,0.00131963562097745,0.00911238674593494,NA,"sender-agnostic"
"Lamb3",0.587376237623759,0.00526263258452475,0.00131785940898235,0.0135084135265963,NA,"sender-agnostic"
"Hspg2",0.552207516670021,0.00525659553329911,0.00131182235775671,0.0116070252158953,NA,"sender-agnostic"
"Col4a4",0.563421903414824,0.00525382155937581,0.00130904838383341,0.0094873657419254,NA,"sender-agnostic"
"Anxa2",0.555566781167898,0.00524457604383031,0.0012998028682879,0.00811526308144094,NA,"sender-agnostic"
"Tgfb3",0.566634673671422,0.0052331203150678,0.00128834713952539,0.00468870825611672,NA,"sender-agnostic"
"Il1rn",0.607117599515043,0.00522636828701706,0.00128159511147465,0.010446117189497,NA,"sender-agnostic"
"Col4a5",0.554738330975932,0.00522417852340321,0.0012794053478608,0.0108517687434436,NA,"sender-agnostic"
"Cd59b",0.556167912709618,0.00521134374043844,0.00126657056489604,0.00647174656789056,NA,"sender-agnostic"
"Cd59a",0.556188118811861,0.00521062796959208,0.00126585479404967,0.0064723199555273,NA,"sender-agnostic"
"Slc6a8",0.570448575469777,0.00520243738899566,0.00125766421345325,0.011632458028965,NA,"sender-agnostic"
"H2-K1",0.556243685593044,0.00519700245362053,0.00125222927807813,0.009088917372232,NA,"sender-agnostic"
"Col6a2",0.552162052939975,0.00518478703637122,0.00124001386082882,0.0107463230779906,NA,"sender-agnostic"
"H2-Q4",0.555733481511413,0.00518321248276277,0.00123843930722036,0.00906656072599419,NA,"sender-agnostic"
"H2-Q6",0.555733481511413,0.00518321248276277,0.00123843930722036,0.00906656072599419,NA,"sender-agnostic"
"H2-D1",0.555728429985853,0.00518284664325099,0.00123807346770858,0.00906743602876287,NA,"sender-agnostic"
"Vegfa",0.511936754899962,0.00517432228833492,0.00122954911279252,0.00863350131407846,NA,"sender-agnostic"
"Agrn",0.557592442917751,0.00516521065312331,0.0012204374775809,0.0080636998894252,NA,"sender-agnostic"
"Lrrc4b",0.552833905839556,0.00516318542740426,0.00121841225186185,0.012358634974998,NA,"sender-agnostic"
"Myoc",0.549373610830459,0.00514158938201663,0.00119681620647422,0.00661968072997492,NA,"sender-agnostic"
"Fn1",0.542670236411375,0.00513494107889444,0.00119016790335203,0.0071188143367301,NA,"sender-agnostic"
"Arf1",0.558683572438859,0.00513137696822224,0.00118660379267983,0.011230676680562,NA,"sender-agnostic"
"Dcn",0.540851687209515,0.00512861248059584,0.00118383930505344,0.00763714577281589,NA,"sender-agnostic"
"Sema4a",0.558456253788644,0.00512693713687178,0.00118216396132938,0.0108840133026488,NA,"sender-agnostic"
"Ildr2",0.528041018387545,0.00512572335932082,0.00118095018377841,0.0088986240507969,NA,"sender-agnostic"
"Calm3",0.561709436249714,0.00512101600341247,0.00117624282787006,0.0088568062124303,NA,"sender-agnostic"
"Itga4",0.546085067690438,0.00509709356882415,0.00115232039328175,0.0102682076459971,NA,"sender-agnostic"
"Apoc2",0.56793291574054,0.00509674159588913,0.00115196842034672,0.0113214454286298,NA,"sender-agnostic"
"Col3a1",0.557223681551821,0.0050763781035637,0.00113160492802129,0.0115707733407625,NA,"sender-agnostic"
"Calm2",0.56724590826428,0.0050750375422225,0.00113026436668009,0.006195254455369,NA,"sender-agnostic"
"Itgal",0.53950798141038,0.00507463830031399,0.00112986512477159,0.0106046756706298,NA,"sender-agnostic"
"Gpi1",0.552859163467354,0.00507150668810164,0.00112673351255924,0.00593956772012402,NA,"sender-agnostic"
"Tspan5",0.534335219236205,0.00506844685877224,0.00112367368322984,0.00876103120411689,NA,"sender-agnostic"
"Calm1",0.555900181854909,0.00506573249393472,0.00112095931839232,0.0081997173632914,NA,"sender-agnostic"
"Gpc3",0.554576682157998,0.0050623493954193,0.00111757621987689,0.00965307266762623,NA,"sender-agnostic"
"Ahsg",0.555965851687189,0.00505645047622169,0.00111167730067928,0.00977605848178544,NA,"sender-agnostic"
"Crhr2",0.539684784805004,0.00504840015385701,0.00110362697831461,0.00693547591107973,NA,"sender-agnostic"
"Plekho2",0.537042836936747,0.00504394596449262,0.00109917278895021,0.00980673280440652,NA,"sender-agnostic"
"Mfng",0.575717316629607,0.0050247269957235,0.00107995382018109,0.0101085740425612,NA,"sender-agnostic"
"Ncam1",0.569271570014128,0.00502270031126654,0.00107792713572414,0.0120304505287198,NA,"sender-agnostic"
"Mmp14",0.558794706001201,0.00501341173805006,0.00106863856250766,0.00896900693477184,NA,"sender-agnostic"
"Plxna2",0.591003232976339,0.00500717291554651,0.0010623997400041,0.0110215695850048,NA,"sender-agnostic"
"Ecm1",0.552732875328323,0.00499999727866588,0.00105522410312347,0.00912122202024279,NA,"sender-agnostic"
"S100a8",0.584820165690033,0.00499460407597793,0.00104983090043552,0.0127061243126983,NA,"sender-agnostic"
"F11r",0.53865932511617,0.00498526623428131,0.0010404930587389,0.0075013952961951,NA,"sender-agnostic"
"Col6a1",0.570236411396237,0.00498010974591415,0.00103533657037174,0.00606443114689125,NA,"sender-agnostic"
"Gnas",0.542306526571007,0.00497813966012381,0.0010333664845814,0.00477575070801474,NA,"sender-agnostic"
"Lamc1",0.546857951101221,0.00496878340357768,0.00102401022803528,0.00744727502735412,NA,"sender-agnostic"
"Angptl1",0.543473428975524,0.00496274900323379,0.00101797582769138,0.00947495549679525,NA,"sender-agnostic"
"Sost",0.56493230955747,0.00496209743503648,0.00101732425949408,0.0105063430741917,NA,"sender-agnostic"
"Fgf14",0.549065467771262,0.0049539486887798,0.0010091755132374,0.00952406269983193,NA,"sender-agnostic"
"Nrp1",0.533648211759946,0.00493319576004628,0.000988422584503878,0.0047108993105489,NA,"sender-agnostic"
"Pdgfb",0.521681147706597,0.00493076323472994,0.000985990059187536,0.00933183922636661,NA,"sender-agnostic"
"Col4a1",0.535906243685573,0.00492217984784373,0.000977406672301327,0.00432053509046216,NA,"sender-agnostic"
"Timp3",0.536820569812073,0.00490872451849574,0.000963951342953337,0.0077339389855528,NA,"sender-agnostic"
"Sema6b",0.572221660941576,0.00490321865181206,0.000958445476269649,0.0101775188143097,NA,"sender-agnostic"
"Sema3d",0.545069711052727,0.0049025629983418,0.000957789822799397,0.00754823618809711,NA,"sender-agnostic"
"Ctsd",0.572630834512006,0.00489867266684447,0.000953899491302059,0.010517330889306,NA,"sender-agnostic"
"A2m",0.562775308143048,0.00489522561590753,0.000950452440365126,0.0108393515423026,NA,"sender-agnostic"
"Cd9",0.534749444332181,0.00489479947264908,0.000950026297106677,0.000984609838819684,NA,"sender-agnostic"
"Lama5",0.544327136795292,0.00489436123592375,0.000949588060381347,0.00906408403610433,NA,"sender-agnostic"
"Slit3",0.556829662558074,0.00489231358221575,0.000947540406673343,0.00741333823081839,NA,"sender-agnostic"
"Cd320",0.550469791877121,0.0048788782876548,0.000934105112112398,0.00902067691403124,NA,"sender-agnostic"
"Col4a6",0.533420893109714,0.00486223996754639,0.000917466792003987,0.00828067831121686,NA,"sender-agnostic"
"C4b",0.537022630834506,0.00485492458618461,0.000910151410642202,0.0059044311673367,NA,"sender-agnostic"
"Efnb3",0.534178621943812,0.00485172478993938,0.000906951614396977,0.00785472169108737,NA,"sender-agnostic"
"Col5a1",0.55791574055363,0.00484596017608218,0.000901187000539777,0.00359901067070146,NA,"sender-agnostic"
"Cd38",0.576490200040385,0.00484440287336366,0.000899629697821254,0.0071363156113989,NA,"sender-agnostic"
"Msn",0.539654475651636,0.00484183141113938,0.000897058235596969,0.00768251933267642,NA,"sender-agnostic"
"Cd47",0.531132552030715,0.00483773951350948,0.000892966337967072,0.00468097057877898,NA,"sender-agnostic"
"Ptdss1",0.527369165487953,0.0048326869897874,0.000887913814244991,0.00722228765080065,NA,"sender-agnostic"
"Nppb",0.558562335825405,0.00483161311504155,0.000886839939499146,0.00810950386835153,NA,"sender-agnostic"
"Sirpb1b",0.544514043241051,0.00482865913128834,0.00088388595574593,0.00830010218098628,NA,"sender-agnostic"
"Fgf12",0.534421095170729,0.00482093249328318,0.000876159317740778,0.00770652789033753,NA,"sender-agnostic"
"Fat4",0.546110325318242,0.00481677850431549,0.000872005328773079,0.0106671129861567,NA,"sender-agnostic"
"Sema5a",0.544574661547773,0.00481380865845552,0.00086903548291311,0.00440706019974176,NA,"sender-agnostic"
