"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"App",0.483909574468081,0.0160616294739465,0.0126416568337276,0.0249694144316097,NA,"sender-agnostic"
"Anxa2",0.542300102951255,0.0143876156633046,0.0109676430230857,0.0350122775650568,NA,"sender-agnostic"
"Col4a4",0.519333390528492,0.0139088312688779,0.0104888586286591,0.0487382340416871,NA,"sender-agnostic"
"Itgal",0.498906142759087,0.0121312053592114,0.00871123271899254,0.0320387158022187,NA,"sender-agnostic"
"Tnfsf9",0.542548901853118,0.0118411169077696,0.00842114426755067,0.0279442578712643,NA,"sender-agnostic"
"Serpinf1",0.570354323953339,0.0113384582853431,0.00791848564512418,0.0239879878617683,NA,"sender-agnostic"
"Hbegf",0.510904255319136,0.011004829907364,0.00758485726714515,0.0248768034765816,NA,"sender-agnostic"
"Wnt5a",0.479336822237477,0.0097910550086719,0.00637108236845302,0.0207357150739243,NA,"sender-agnostic"
"Bace2",0.564318805765249,0.0096957625780975,0.00627578993787862,0.0290619788060449,NA,"sender-agnostic"
"Timp1",0.489374571036385,0.00843467051748624,0.00501469787726736,0.00796040539669436,NA,"sender-agnostic"
"Copa",0.528461736444744,0.00806848562487521,0.00464851298465633,0.0343998903450331,NA,"sender-agnostic"
"Vegfc",0.551415579958809,0.00776407589928102,0.00434410325906214,0.00945345252841626,NA,"sender-agnostic"
"Col6a6",0.494522134523001,0.00733081679746303,0.00391084415724415,0.00594150694934882,NA,"sender-agnostic"
"Ctf1",0.45828328757723,0.0072827019918622,0.00386272935164333,0.00273097181042098,NA,"sender-agnostic"
"Lama4",0.557798558682204,0.00724246824008044,0.00382249559986156,0.0193481719602942,NA,"sender-agnostic"
"Cd9",0.497512010981479,0.00718063252821552,0.00376065988799664,0.0185694068003537,NA,"sender-agnostic"
"Angptl4",0.502337851750178,0.00710401908741822,0.00368404644719934,0.0234598499554825,NA,"sender-agnostic"
"Ifitm6",0.57354581331501,0.0069613676196444,0.00354139497942553,0.0212017100351691,NA,"sender-agnostic"
"Enpp1",0.542694749485227,0.00674791486212226,0.00332794222190339,0.0122093838907989,NA,"sender-agnostic"
"Col27a1",0.514005662319833,0.00666880986896155,0.00324883722874267,0.00577002958910187,NA,"sender-agnostic"
"Il1rn",0.575360329444074,0.00635003200640922,0.00293005936619034,0.0144779304300659,NA,"sender-agnostic"
"Vegfa",0.534351407000706,0.00602562817087951,0.00260565553066063,0.0276046727202596,NA,"sender-agnostic"
"Dbh",0.505992621825669,0.00598933901811581,0.00256936637789693,0.00868534726793226,NA,"sender-agnostic"
"Nucb2",0.52418496911463,0.0059229984480655,0.00250302580784662,0.00609209370703142,NA,"sender-agnostic"
"Col14a1",0.507438229238162,0.00590614264177169,0.00248617000155282,0.00478140725967646,NA,"sender-agnostic"
"Itgam",0.54048558682224,0.00586754189033685,0.00244756925011798,0.00796948841637688,NA,"sender-agnostic"
