"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Ccl19",0.495023475688172,0.0131437764506751,0.00953366814742603,0.0102247352907397,NA,"sender-agnostic"
"Pf4",0.476859295943732,0.0129383521462327,0.00932824384298362,0.0133151325268439,NA,"sender-agnostic"
"Lrig1",0.425901509304529,0.0129311879851823,0.00932107968193325,0.00711157187746324,NA,"sender-agnostic"
"Col4a4",0.486914179744437,0.0101245375500319,0.0065144292467828,0.0245399258591063,NA,"sender-agnostic"
"Postn",0.571590129491475,0.00984855621134832,0.00623844790809922,0.0237962346526444,NA,"sender-agnostic"
"Bgn",0.473206628934056,0.00844743017185302,0.00483732186860392,0.0155267780219439,NA,"sender-agnostic"
"App",0.505188234285208,0.00784903811725042,0.00423892981400132,0.0287778137779083,NA,"sender-agnostic"
"Lama2",0.506228025040705,0.00669102393448018,0.00308091563123108,0.0081672739405883,NA,"sender-agnostic"
"Prnp",0.507088264299771,0.00573747465395861,0.00212736635070951,0.020114818363309,NA,"sender-agnostic"
"Adam17",0.507109703284431,0.00502715291875961,0.00141704461551051,0.0189532656860144,NA,"sender-agnostic"
"Tgfb3",0.530362962010139,0.00498120738774247,0.00137109908449338,0.0148063008296053,NA,"sender-agnostic"
"Bmp6",0.447860389331962,0.00497952035650541,0.00136941205325631,0.0231785220015041,NA,"sender-agnostic"
"Pdgfc",0.453855265414629,0.00494096688146508,0.00133085857821598,0.020694984332521,NA,"sender-agnostic"
"Tgm2",0.514618707657975,0.0049375834480719,0.0013274751448228,0.018252033578107,NA,"sender-agnostic"
"Tgfb1",0.526110003430237,0.00490346410919977,0.00129335580595067,0.0179205164456953,NA,"sender-agnostic"
"Calr",0.483545579281359,0.00482605440295474,0.00121594609970564,0.0193466259581409,NA,"sender-agnostic"
"Alcam",0.426338328616751,0.00467659946552539,0.00106649116227629,-0.00392558045954094,NA,"sender-agnostic"
"Igf2",0.469369050681763,0.0045785151287352,0.000968406825486104,0.0170529220007557,NA,"sender-agnostic"
"Sparc",0.44989977274674,0.00453725172322628,0.000927143419977178,0.00304580555909544,NA,"sender-agnostic"
"Tnf",0.516028320898738,0.00450657419027412,0.000896465887025026,0.00816499048776147,NA,"sender-agnostic"
"Il34",0.555433174684844,0.00447986803677901,0.000869759733529915,0.00127819008813402,NA,"sender-agnostic"
"Spon1",0.508047658862869,0.00437074929875497,0.000760640995505868,-0.00398337187316703,NA,"sender-agnostic"
"Bace2",0.501082668724795,0.00426274838534595,0.00065264008209685,0.000604439722440442,NA,"sender-agnostic"
"Igf1",0.447841630220379,0.00413718867388546,0.000527080370636365,0.00775526980790539,NA,"sender-agnostic"
"Mmp15",0.489368943486825,0.00398599614109955,0.000375887837850453,-0.0102103614646337,NA,"sender-agnostic"
"Opcml",0.522974551925223,0.0039382311617873,0.000328122858538204,-0.00346056650363198,NA,"sender-agnostic"
"Angptl4",0.447964904382112,0.00388011446181623,0.000270006158567128,0.00314560772716959,NA,"sender-agnostic"
"Bmp2",0.458220778663908,0.00383013471593993,0.000220026412690831,0.00649682203728348,NA,"sender-agnostic"
"Sema4d",0.456714689992267,0.00382625164548652,0.00021614334223742,-0.00917305117431469,NA,"sender-agnostic"
"Fgf7",0.457566889632093,0.00380314648671147,0.000193038183462374,0.0090046153897074,NA,"sender-agnostic"
"Angptl2",0.487860174942103,0.00375008156774488,0.000139973264495782,-0.0077041134393972,NA,"sender-agnostic"
"Tspan3",0.484810479375688,0.00367179289738821,6.16845941391162e-05,-0.00978611475937295,NA,"sender-agnostic"
"Myoc",0.4667936926507,0.00366460328277309,5.44949795239897e-05,0.00206549634180848,NA,"sender-agnostic"
"Lin7c",0.496052546951378,0.00366392210147969,5.3813798230589e-05,-0.0113012538799183,NA,"sender-agnostic"
"Il1b",0.454659227338988,0.00362868401274488,1.8575709495781e-05,-0.00165077038012836,NA,"sender-agnostic"
"Epha4",0.471060050596001,0.00360928551960863,-8.227836404643e-07,-0.00502418499578586,NA,"sender-agnostic"
"Lsamp",0.441578766829602,0.00360213897452402,-7.9693287250767e-06,-0.015220494350608,NA,"sender-agnostic"
"Hp",0.495347740331009,0.00358032094817027,-2.97873550788325e-05,-0.0120232927443264,NA,"sender-agnostic"
