"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Anxa2",0.52927828432001,0.02304041643158,0.0103613242545799,0.0257004771550135,NA,"sender-agnostic"
"Adm",0.563284962116327,0.021354508200519,0.00867541602351891,0.0454177925216631,NA,"sender-agnostic"
"Tgfb2",0.528443559779108,0.0203785161924223,0.00769942401542222,0.0452554620635902,NA,"sender-agnostic"
"Abca1",0.511865288301007,0.0186709247321031,0.00599183255510297,0.0227627054961442,NA,"sender-agnostic"
"Angptl4",0.527671760626682,0.0184497950669385,0.00577070288993836,0.035132582177963,NA,"sender-agnostic"
"Lama2",0.536473609862595,0.0179519900557134,0.00527289787871328,0.0149437707250816,NA,"sender-agnostic"
"Nrxn1",0.533502632592781,0.0177465993442349,0.00506750716723481,0.0188057323104567,NA,"sender-agnostic"
"Fgf7",0.548042249903677,0.0174465153792747,0.00476742320227459,0.0261152465278393,NA,"sender-agnostic"
"Nppa",0.55104982663412,0.017334015988286,0.00465492381128585,0.0327638611571831,NA,"sender-agnostic"
"Mmp16",0.515242712212671,0.01684837392806,0.00416928175105992,0.0143206538066083,NA,"sender-agnostic"
"Nlgn2",0.518715166302814,0.0166581958251463,0.00397910364814619,0.012512310138362,NA,"sender-agnostic"
"Bmp2",0.530498266341329,0.0164985770974989,0.00381948492049874,0.0224853702460524,NA,"sender-agnostic"
"Mcam",0.526942981892895,0.0164829272742645,0.00380383509726437,0.0180218518460405,NA,"sender-agnostic"
"Bmp4",0.532034159496595,0.01638627687189,0.00370718469488988,0.0315860615427887,NA,"sender-agnostic"
"Fgf1",0.533242583793498,0.0162154514412745,0.00353635926427434,0.0208293251465794,NA,"sender-agnostic"
"Opcml",0.540767946577622,0.0161584569948487,0.00347936481784862,0.0159435368661904,NA,"sender-agnostic"
"Alox5ap",0.554578143058924,0.0160600090647703,0.00338091688777016,0.014340623965582,NA,"sender-agnostic"
"Fgfrl1",0.519619879285975,0.01600968514227,0.00333059296526987,0.0122599220317104,NA,"sender-agnostic"
"Inhba",0.520473866700911,0.015969829618378,0.00329073744137784,0.0330343609745592,NA,"sender-agnostic"
"Sema4c",0.536670733273405,0.0157564623983593,0.00307737022135913,0.0136755116342587,NA,"sender-agnostic"
"Tspan3",0.550703094901751,0.015728915345488,0.0030498231684879,0.0150524399835966,NA,"sender-agnostic"
"Timp1",0.532308976499288,0.0156905901275116,0.00301149795051146,0.00471592227580371,NA,"sender-agnostic"
"Nrxn2",0.521896750995249,0.0156043372166799,0.0029252450396798,0.00458433973410539,NA,"sender-agnostic"
"Enpp1",0.537842558109673,0.0155936885436056,0.00291459636660543,0.00894538484089101,NA,"sender-agnostic"
"Lsamp",0.518130217028383,0.0155683691068224,0.00288927692982224,0.0102934969703303,NA,"sender-agnostic"
"Negr1",0.523783870553501,0.0155446898281988,0.00286559765119863,0.00775398976300498,NA,"sender-agnostic"
"Wnt5a",0.499438166174385,0.0154885878944881,0.00280949571748792,0.0134149256937912,NA,"sender-agnostic"
"Dusp18",0.544083729292405,0.0154692230399392,0.0027901308629391,0.0107698111735297,NA,"sender-agnostic"
"Sema3f",0.514750866829324,0.015209166951924,0.00253007477492389,0.00307533367228801,NA,"sender-agnostic"
"Postn",0.499890843713882,0.015208608074404,0.00252951589740386,0.0267618266271858,NA,"sender-agnostic"
"Lgals1",0.496732374470271,0.0150683054363937,0.00238921325939354,0.0221368768854246,NA,"sender-agnostic"
"Ang",0.528033902658268,0.0150581999708404,0.00237910779384023,0.005984396687135,NA,"sender-agnostic"
"Nrg1",0.513419160138697,0.0150230932010952,0.00234400102409507,0.0130844901855985,NA,"sender-agnostic"
"Wnt11",0.521878130217021,0.0149714449589526,0.00229235278195248,0.00538241051757668,NA,"sender-agnostic"
"Col6a6",0.524237832284579,0.014925817005106,0.00224672482810588,0.00333838895564995,NA,"sender-agnostic"
"Lum",0.53624309747014,0.014921021782675,0.00224192960567489,0.00303046386671807,NA,"sender-agnostic"
"Dbh",0.507018107101574,0.0149139437963635,0.00223485161936337,0.0112557913385594,NA,"sender-agnostic"
"Igf2",0.512852189546671,0.0148813941881033,0.00220230201110317,0.0015174550601745,NA,"sender-agnostic"
"Thbs2",0.520572107358418,0.0148524161621395,0.0021733239851394,0.00266392880991128,NA,"sender-agnostic"
"Sema4a",0.521898035186847,0.0148470597363885,0.00216796755938835,0.00237373252179076,NA,"sender-agnostic"
"Tfpi",0.537838063439064,0.0148356373020168,0.00215654512501666,0.00298768036940465,NA,"sender-agnostic"
"Sema5a",0.533763323487847,0.0148123958554352,0.00213330367843505,0.00276051137909264,NA,"sender-agnostic"
"Adam9",0.509675741620646,0.0148008383611435,0.00212174618414341,0.0118783955556044,NA,"sender-agnostic"
"Nrp1",0.521706048542441,0.0147813448567391,0.002102252679739,0.00130706249136604,NA,"sender-agnostic"
"C1qa",0.530342237061782,0.014748242353926,0.0020691501769259,0.00155436496491227,NA,"sender-agnostic"
"Lrrc4b",0.508998330550916,0.0147338045344802,0.00205471235748009,0.00260690635425126,NA,"sender-agnostic"
"Ahsg",0.516872351354827,0.0147275462586428,0.00204845408164269,0.00323557614049837,NA,"sender-agnostic"
"Ccl19",0.512665981764494,0.0147167134482949,0.00203762127129477,0.0178851156687051,NA,"sender-agnostic"
"Fgf16",0.526833183510974,0.0147080470707753,0.00202895489377515,0.00241383898830951,NA,"sender-agnostic"
"Angptl2",0.52741235392321,0.0147005461419512,0.00202145396495107,0.0102321569722178,NA,"sender-agnostic"
"Epha4",0.541225760883529,0.0146495872994294,0.00197049512242928,0.00784723727822324,NA,"sender-agnostic"
"Fgf14",0.51488506485167,0.0146401510986212,0.0019610589216211,0.00285133927921149,NA,"sender-agnostic"
"Angpt2",0.513590599717478,0.0145636102248448,0.00188451804784471,0.00130590182133642,NA,"sender-agnostic"
"Col5a2",0.529043277256964,0.0145081259344911,0.00182903375749095,-0.00124681473154264,NA,"sender-agnostic"
"Prnp",0.520628611788886,0.014501321176053,0.0018222289990529,0.0141877028155579,NA,"sender-agnostic"
"Il1rn",0.525096314370105,0.0144974592725851,0.00181836709558501,0.00537101141561514,NA,"sender-agnostic"
"Col4a3",0.517937588288174,0.0144903410476889,0.00181124887068875,-0.000494317042374159,NA,"sender-agnostic"
"Slc6a8",0.514664825992041,0.014449115703444,0.00177002352644383,0.00161080231101726,NA,"sender-agnostic"
"Hbegf",0.50284320020547,0.014448711934726,0.00176961975772583,-0.00137757402328405,NA,"sender-agnostic"
"Prg4",0.522784769487608,0.0144266433650733,0.00174755118807313,0.00401566571621572,NA,"sender-agnostic"
"Fgf18",0.530027610119431,0.0144264322539979,0.00174734007699773,-0.00507814363818881,NA,"sender-agnostic"
"Hp",0.529801592397577,0.0144189809563777,0.00173988877937759,0.00594414205191867,NA,"sender-agnostic"
"Lama4",0.518632978040316,0.0144153049136731,0.00173621273667293,0.00440707784319355,NA,"sender-agnostic"
"Col4a4",0.521901245665855,0.014413069247425,0.00173397707042484,-0.00164393678898514,NA,"sender-agnostic"
"Mfng",0.506165403878257,0.0144065878741656,0.00172749569716548,0.00549570082310791,NA,"sender-agnostic"
"Col6a3",0.527307050211902,0.0143869187699464,0.0017078265929463,0.00345210600009381,NA,"sender-agnostic"
"Sema3d",0.516123667651209,0.0143702899285226,0.00169119775152248,-0.000613938196053585,NA,"sender-agnostic"
"Efna5",0.508210479003464,0.0143508609656034,0.00167176878860322,-0.00199926571524054,NA,"sender-agnostic"
"Serping1",0.518052523436495,0.0143417696447569,0.00166267746775681,0.00192400802479705,NA,"sender-agnostic"
"Col27a1",0.515682547836135,0.0143417509693367,0.00166265879233656,-0.000320400085887992,NA,"sender-agnostic"
"Lfng",0.522002054706563,0.0143375135526162,0.00165842137561603,0.00482583493076799,NA,"sender-agnostic"
"Pltp",0.50436239886992,0.0143368220193297,0.00165772984232953,-0.00166299719387794,NA,"sender-agnostic"
"Mpdz",0.529209580069344,0.0143353200903479,0.0016562279133478,0.0055610379660084,NA,"sender-agnostic"
"Ifitm6",0.522709644278927,0.0143289597180331,0.00164986754103295,0.00734280076010119,NA,"sender-agnostic"
"Efna1",0.531119172980602,0.0142879219683082,0.00160882979130806,0.00340914889436327,NA,"sender-agnostic"
"Cdh5",0.519820213175805,0.0142810277162128,0.0016019355392127,0.00230625805237888,NA,"sender-agnostic"
"Wnt5b",0.497070758957233,0.0142434431144908,0.00156435093749065,0.0021248320537059,NA,"sender-agnostic"
"Dsc2",0.515019262874011,0.0142307150620501,0.00155162288504997,-2.8450263090553e-05,NA,"sender-agnostic"
"Col5a1",0.52381661743931,0.0142304827092128,0.00155139053221268,-0.00343360854799858,NA,"sender-agnostic"
"Col16a1",0.519774624373958,0.0142237208553401,0.00154462867833997,-0.0039415730752361,NA,"sender-agnostic"
"Apoc2",0.529544111981499,0.014214918801623,0.00153582662462288,0.00478099101328386,NA,"sender-agnostic"
"Col6a2",0.523096185950936,0.0142052477229353,0.0015261555459352,0.000791042029721754,NA,"sender-agnostic"
"Dll4",0.516042763580329,0.0141993990924209,0.00152030691542075,0.00540745962222844,NA,"sender-agnostic"
"Psen1",0.519653268267614,0.0141845851138809,0.00150549293688075,-0.00163477615431148,NA,"sender-agnostic"
"Col4a2",0.521476178245794,0.0141836915405042,0.00150459936350406,-0.00137397703427715,NA,"sender-agnostic"
"Lamb1",0.515170155387188,0.0141777658733934,0.00149867369639322,-0.00232970761761716,NA,"sender-agnostic"
"Edn1",0.515785925260059,0.0141767272498519,0.00149763507285178,0.0107406588171185,NA,"sender-agnostic"
"Mmp15",0.481258507769363,0.0141745536650457,0.00149546148804557,-0.00433919104130434,NA,"sender-agnostic"
"Fst",0.512359059971749,0.0141715498238024,0.0014924576468023,0.00191424940121656,NA,"sender-agnostic"
"Lin7c",0.519971105688973,0.0141662730492246,0.00148718087222446,0.00150964652526475,NA,"sender-agnostic"
"Pam",0.49035058430718,0.0141650930781643,0.00148600090116413,-0.00430537552814972,NA,"sender-agnostic"
"Ocln",0.513031976370879,0.0141642356790254,0.00148514350202527,0.00410556390274927,NA,"sender-agnostic"
"Wnt9a",0.492362912546547,0.0141396903912745,0.00146059821427436,0.00231004590456823,NA,"sender-agnostic"
"Myoc",0.503037755233082,0.0141318536397099,0.00145276146270981,0.00380414133221615,NA,"sender-agnostic"
"Cd55",0.51503338898163,0.0141240595321211,0.00144496735512099,-0.000953015948362255,NA,"sender-agnostic"
"Col14a1",0.514872865031461,0.0141212570072458,0.00144216483024569,-0.00065829315158113,NA,"sender-agnostic"
"Col4a5",0.521576345190701,0.0140998274159242,0.00142073523892407,-0.00182225694366932,NA,"sender-agnostic"
"Gpc6",0.515099524849101,0.0140933371171268,0.00141424494012669,0.0010905736692479,NA,"sender-agnostic"
"Adam10",0.506186593039678,0.0140876072522365,0.00140851507523632,8.73632437027919e-05,NA,"sender-agnostic"
"Col3a1",0.520861050468719,0.0140863344047026,0.00140724222770243,0.0013243308653889,NA,"sender-agnostic"
"Bace2",0.522904841402338,0.0140830572243799,0.00140396504737981,0.00680026186796416,NA,"sender-agnostic"
"Sirpa",0.516590471298311,0.0140767695813906,0.00139767740439043,-0.000417913338564688,NA,"sender-agnostic"
"Fndc5",0.52177539488892,0.0140743960012181,0.00139530382421795,0.000622150790312144,NA,"sender-agnostic"
"Apoa1",0.507197251829973,0.0140676119051549,0.00138851972815479,-0.00168537249149485,NA,"sender-agnostic"
"Vcan",0.518288814691142,0.0140649907905065,0.00138589861350633,0.000424113542551605,NA,"sender-agnostic"
