"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Cd55",0.58434389718888,0.0760271838921819,0.0739429200839342,0.12484207889244,"Fibroblasts","sender-focused"
"Cd55",0.58434389718888,0.0760271838921819,0.0739429200839342,0.12484207889244,"Leukocytes","sender-focused"
"Cd55",0.58434389718888,0.0760271838921819,0.0739429200839342,0.12484207889244,"EndocardialCells","sender-focused"
"Bgn",0.5818823128237,0.0169270694507301,0.0148428056424824,0.0524201630760972,"Fibroblasts","sender-focused"
"Bgn",0.5818823128237,0.0169270694507301,0.0148428056424824,0.0524201630760972,"EndothelialCells","sender-focused"
"Bgn",0.5818823128237,0.0169270694507301,0.0148428056424824,0.0524201630760972,"Myocytes","sender-focused"
"Bgn",0.5818823128237,0.0169270694507301,0.0148428056424824,0.0524201630760972,"Leukocytes","sender-focused"
"Bgn",0.5818823128237,0.0169270694507301,0.0148428056424824,0.0524201630760972,"EndocardialCells","sender-focused"
"Fgf7",0.51220135973232,0.0149570150363127,0.0128727512280649,0.0409926354722766,"Fibroblasts","sender-focused"
"Fgf7",0.51220135973232,0.0149570150363127,0.0128727512280649,0.0409926354722766,"Myocytes","sender-focused"
"Prnp",0.543200272798977,0.00794550285213904,0.00586123904389131,0.0281026306313137,"Fibroblasts","sender-focused"
"Prnp",0.543200272798977,0.00794550285213904,0.00586123904389131,0.0281026306313137,"EndothelialCells","sender-focused"
"Prnp",0.543200272798977,0.00794550285213904,0.00586123904389131,0.0281026306313137,"Myocytes","sender-focused"
"Prnp",0.543200272798977,0.00794550285213904,0.00586123904389131,0.0281026306313137,"Leukocytes","sender-focused"
"Prnp",0.543200272798977,0.00794550285213904,0.00586123904389131,0.0281026306313137,"EndocardialCells","sender-focused"
"Tspan3",0.653012510389813,0.0072159145131975,0.00513165070494977,0.0349929238756158,"Fibroblasts","sender-focused"
"Tspan3",0.653012510389813,0.0072159145131975,0.00513165070494977,0.0349929238756158,"EndothelialCells","sender-focused"
"Tspan3",0.653012510389813,0.0072159145131975,0.00513165070494977,0.0349929238756158,"Myocytes","sender-focused"
"Tspan3",0.653012510389813,0.0072159145131975,0.00513165070494977,0.0349929238756158,"Leukocytes","sender-focused"
