"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Apoe",0.519877125560714,0.0490055377967015,0.0459047626029031,0.0855523106356131,NA,"sender-agnostic"
"Pdgfc",0.557202164440946,0.0121523305786448,0.00905155538484639,0.0198935822236759,NA,"sender-agnostic"
"Vegfc",0.60224541470122,0.00797137375299455,0.0048705985591961,0.0284994139053626,NA,"sender-agnostic"
"Wnt11",0.570569258254818,0.00704205172161586,0.00394127652781741,0.0481648665691325,NA,"sender-agnostic"
"Lama2",0.5532563011709,0.00662033726476603,0.00351956207096758,0.0261808425000272,NA,"sender-agnostic"
"Wnt5b",0.532248113825939,0.00655105111662022,0.00345027592282177,0.04426396467961,NA,"sender-agnostic"
"Wnt9a",0.525892317776946,0.00654938153692364,0.00344860634312519,0.0466603088576015,NA,"sender-agnostic"
"Wnt2",0.512807989409166,0.00582521743563854,0.00272444224184009,0.0392326626025152,NA,"sender-agnostic"
"Tgm2",0.555576263126091,0.00530164939995519,0.00220087420615674,0.028466684601081,NA,"sender-agnostic"
"Wnt5a",0.548179376116599,0.00524839100117983,0.00214761580738138,0.0177433432963811,NA,"sender-agnostic"
"Tgfb3",0.444584399059166,0.00507119001105061,0.00197041481725216,0.00710796965823034,NA,"sender-agnostic"
"Jam2",0.604166934436962,0.00506587577615635,0.0019651005823579,0.0216743103000222,NA,"sender-agnostic"
"Tnfsf12",0.513379946788697,0.00501287176408275,0.0019120965702843,0.0348857026933238,NA,"sender-agnostic"
"Il15",0.530191637854577,0.00499597246912735,0.0018951972753289,0.0191552593888387,NA,"sender-agnostic"
"Pdgfb",0.564322712491781,0.00498434698986328,0.00188357179606483,0.0178549848082649,NA,"sender-agnostic"
"Lpl",0.50637507551123,0.00493647107809125,0.0018356958842928,0.01134122891573,NA,"sender-agnostic"
"Pdgfa",0.589173939308243,0.00492892090718445,0.001828145713386,0.00818829515573534,NA,"sender-agnostic"
"Csf1",0.51230672339113,0.00490748738896777,0.00180671219516932,0.0169923888786814,NA,"sender-agnostic"
"Myoc",0.503071860982236,0.00480949472273963,0.00170871952894118,0.00837498010776658,NA,"sender-agnostic"
"Tgfb2",0.482616351554571,0.00474258146692692,0.00164180627312847,0.0224926271602763,NA,"sender-agnostic"
"Osm",0.547780933897142,0.0046483928786138,0.00154761768481535,0.0172542805706439,NA,"sender-agnostic"
"Dkk3",0.517576443067756,0.00463021226737875,0.0015294370735803,0.0100645650743766,NA,"sender-agnostic"
"Apoc2",0.519613639576876,0.00461776698460131,0.00151699179080286,0.0114029012101905,NA,"sender-agnostic"
"Gpc6",0.557478503399632,0.00454759378813551,0.00144681859433706,0.0150407599241066,NA,"sender-agnostic"
"Fgf1",0.522402735113036,0.00454454564922466,0.00144377045542621,0.0040364598783113,NA,"sender-agnostic"
