"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Adam9",0.453289360973098,0.0269326675583563,0.0252223887829159,0.0406546962852938,NA,"sender-agnostic"
"Tslp",0.437861915367502,0.00975520830407182,0.00804492952863143,0.0223369672218213,NA,"sender-agnostic"
"Furin",0.503880418022959,0.00606526992133681,0.00435499114589642,0.0380130181099063,NA,"sender-agnostic"
"Lama2",0.510836045913998,0.00319498624204047,0.00148470746660007,0.027974998173401,NA,"sender-agnostic"
"Adam17",0.415067671749182,0.00314609488898979,0.00143581611354939,0.0339220789696612,NA,"sender-agnostic"
"Tgfb2",0.450334075723835,0.0029096891750462,0.0011994103996058,0.0147839140593528,NA,"sender-agnostic"
"Tgfb1",0.55135343498372,0.00278934362178304,0.00107906484634264,0.0144329186118281,NA,"sender-agnostic"
"Osm",0.360296385129352,0.00236644307805438,0.000656164302613978,0.0151330213013878,NA,"sender-agnostic"
"Ccl19",0.444637656330302,0.00234491238551973,0.000634633610079329,0.02633617299902,NA,"sender-agnostic"
"App",0.415016275483982,0.00211764197431486,0.00040736319887446,0.00869498850437817,NA,"sender-agnostic"
"Ptprm",0.470875449717338,0.00208934413019937,0.000379065354758971,-0.0130163199538131,NA,"sender-agnostic"
"Ifitm6",0.472074695905448,0.00207115559275079,0.000360876817310394,-0.00666587010953372,NA,"sender-agnostic"
"Rspo1",0.472682885043705,0.00201322306456514,0.000302944289124741,-0.0158467978445054,NA,"sender-agnostic"
"Zdhhc5",0.442281994175085,0.00200929415931793,0.000299015383877534,-0.0191658602889509,NA,"sender-agnostic"
"Cd320",0.417217748843577,0.00199154482842907,0.00028126605298867,-0.0206528225435269,NA,"sender-agnostic"
"Il1b",0.429510022271713,0.00199117352284411,0.000280894747403716,0.00785332917240658,NA,"sender-agnostic"
"Adm",0.465136200102784,0.00193306697365338,0.000222788198212988,0.0160803019332375,NA,"sender-agnostic"
"Ebi3",0.444551995888298,0.00191927470887625,0.000208995933435852,-0.00871501590458267,NA,"sender-agnostic"
"Lpl",0.384641082747987,0.00190752460394494,0.000197245828504538,-0.0166539698771651,NA,"sender-agnostic"
"Thbs2",0.469282165495977,0.00188236102898708,0.000172082253546687,-0.0163038866389475,NA,"sender-agnostic"
"Fap",0.414690765804355,0.00186251711535916,0.000152238339918759,-0.0162915340260718,NA,"sender-agnostic"
"Epha4",0.416258351893086,0.00183235169256631,0.000122072917125914,-0.0110601361545371,NA,"sender-agnostic"
"Lama4",0.502946719205066,0.00182706428161514,0.000116785506174748,-0.0161932615656488,NA,"sender-agnostic"
"Mdk",0.425372622922731,0.00182467883350488,0.000114400058064486,-0.0158956207558808,NA,"sender-agnostic"
"Timp1",0.49004625663868,0.0018201092851737,0.000109830509733304,-0.0134323333867969,NA,"sender-agnostic"
"Adam10",0.48195134486895,0.00181954967239339,0.000109270896952996,-0.0153105518626633,NA,"sender-agnostic"
"Fgfrl1",0.438966935069385,0.00176390060541181,5.36218299714091e-05,-0.0184613000827799,NA,"sender-agnostic"
"Comp",0.465872879904053,0.00175988828243007,4.9609506989672e-05,-0.0204746973818121,NA,"sender-agnostic"
"Pecam1",0.451524755867735,0.00175231288054541,4.20341051050102e-05,-0.0192614286002327,NA,"sender-agnostic"
"Bace2",0.466215521672101,0.00173437860089975,2.40998254593555e-05,-0.0121062327016808,NA,"sender-agnostic"
"Pdgfc",0.423445262977564,0.00173426179780359,2.39830223631905e-05,0.00417502349216429,NA,"sender-agnostic"
"Mif",0.437305122494424,0.00170319563277331,-7.08314266708557e-06,0.00102601844549615,NA,"sender-agnostic"
"Col1a2",0.475920849751575,0.0017015041274148,-8.77464802559978e-06,-0.0230304941580969,NA,"sender-agnostic"
"Hbegf",0.476409114271033,0.00169651064496116,-1.37681304792398e-05,-0.00890566267108778,NA,"sender-agnostic"
"Sema6a",0.391613842727436,0.00168906174065907,-2.12170347813261e-05,-0.0227221827070766,NA,"sender-agnostic"
"Inhbb",0.423899263320215,0.00168162484953946,-2.86539259009403e-05,-0.012920691170894,NA,"sender-agnostic"
"Wnt2",0.441682371081035,0.0016806703560622,-2.96084193781921e-05,-0.0148207019144336,NA,"sender-agnostic"
"Col4a1",0.441613842727423,0.00167596550147182,-3.4313273968579e-05,-0.01862482464565,NA,"sender-agnostic"
"Efna5",0.437296556450228,0.00167276869098217,-3.75100844582229e-05,-0.0199809718761453,NA,"sender-agnostic"
"Col5a2",0.482705156758597,0.00166882901181578,-4.14497636246145e-05,-0.0183589528553154,NA,"sender-agnostic"
"Col6a6",0.474584546856254,0.0016663226139598,-4.39561614806012e-05,-0.0228243240013754,NA,"sender-agnostic"
"Vegfb",0.445245845468578,0.00166194973848207,-4.83290369583274e-05,-0.0250581893162844,NA,"sender-agnostic"
"Wnt5b",0.440937125235567,0.00165796354182956,-5.23152336108351e-05,-0.0117355906937752,NA,"sender-agnostic"
"Bmp6",0.379998286791169,0.0016571803299507,-5.30984454896954e-05,0.00605900523821362,NA,"sender-agnostic"
