"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Adm",0.695722222222212,0.00502671036790903,0.00433274784188544,0.0535830722344865,"EndothelialCells","sender-focused"
"Adm",0.695722222222212,0.00502671036790903,0.00433274784188544,0.0535830722344865,"Myocytes","sender-focused"
"Adm",0.695722222222212,0.00502671036790903,0.00433274784188544,0.0535830722344865,"EndocardialCells","sender-focused"
"Igf1",0.584083333333328,0.00448362738426134,0.00378966485823774,0.0238250442099767,"Myocytes","sender-focused"
"Igf1",0.584083333333328,0.00448362738426134,0.00378966485823774,0.0238250442099767,"Leukocytes","sender-focused"
"Furin",0.539694444444427,0.0028554163613874,0.00216145383536381,0.0264606370985951,"EndothelialCells","sender-focused"
"Furin",0.539694444444427,0.0028554163613874,0.00216145383536381,0.0264606370985951,"Myocytes","sender-focused"
"Furin",0.539694444444427,0.0028554163613874,0.00216145383536381,0.0264606370985951,"Leukocytes","sender-focused"
"Furin",0.539694444444427,0.0028554163613874,0.00216145383536381,0.0264606370985951,"SmoothMuscleCells","sender-focused"
"Furin",0.539694444444427,0.0028554163613874,0.00216145383536381,0.0264606370985951,"EndocardialCells","sender-focused"
"Tnfsf9",0.643388888888885,0.00240774751653248,0.00171378499050888,0.0205516751136212,"Leukocytes","sender-focused"
"Angpt1",0.621833333333313,0.00153408314960226,0.000840120623578661,0.0209610901711795,"Myocytes","sender-focused"
"Tnf",0.67694444444444,0.00144780575402315,0.000753843227999557,0.0155476913690421,"Leukocytes","sender-focused"
"Ifitm6",0.760388888888885,0.00136238866004894,0.000668426134025342,0.0122267793031029,"Leukocytes","sender-focused"
"Csf1",0.620972222222215,0.0012826561250792,0.000588693599055606,0.0128830126899948,"EndothelialCells","sender-focused"
"Csf1",0.620972222222215,0.0012826561250792,0.000588693599055606,0.0128830126899948,"Myocytes","sender-focused"
"Csf1",0.620972222222215,0.0012826561250792,0.000588693599055606,0.0128830126899948,"SmoothMuscleCells","sender-focused"
"Csf1",0.620972222222215,0.0012826561250792,0.000588693599055606,0.0128830126899948,"EndocardialCells","sender-focused"
"Ebi3",0.662472222222231,0.00120760587049309,0.000513643344469493,0.0109203887402823,"Leukocytes","sender-focused"
"Il34",0.695888888888876,0.00116689250065176,0.000472929974628169,0.0124390475022296,"SmoothMuscleCells","sender-focused"
"Il15",0.660027777777766,0.00115589499194459,0.000461932465920999,0.00485978051312338,"EndothelialCells","sender-focused"
"Il15",0.660027777777766,0.00115589499194459,0.000461932465920999,0.00485978051312338,"Myocytes","sender-focused"
"Il15",0.660027777777766,0.00115589499194459,0.000461932465920999,0.00485978051312338,"Leukocytes","sender-focused"
"Il15",0.660027777777766,0.00115589499194459,0.000461932465920999,0.00485978051312338,"EndocardialCells","sender-focused"
"Fgf7",0.572999999999996,0.0011309849965383,0.000437022470514708,0.0170172857810837,"Myocytes","sender-focused"
"Nppb",0.714055555555555,0.00110598104137959,0.000412018515355993,0.00960984115760781,"Myocytes","sender-focused"
"Tspan3",0.703416666666664,0.00108597558100086,0.000392013054977267,0.0108288419999037,"EndothelialCells","sender-focused"
"Tspan3",0.703416666666664,0.00108597558100086,0.000392013054977267,0.0108288419999037,"Myocytes","sender-focused"
"Tspan3",0.703416666666664,0.00108597558100086,0.000392013054977267,0.0108288419999037,"Leukocytes","sender-focused"
"Tspan3",0.703416666666664,0.00108597558100086,0.000392013054977267,0.0108288419999037,"SmoothMuscleCells","sender-focused"
"Tspan3",0.703416666666664,0.00108597558100086,0.000392013054977267,0.0108288419999037,"EndocardialCells","sender-focused"
"Slc6a8",0.662138888888887,0.00102248381386202,0.000328521287838424,0.00697035478173658,"Myocytes","sender-focused"
"Slc6a8",0.662138888888887,0.00102248381386202,0.000328521287838424,0.00697035478173658,"SmoothMuscleCells","sender-focused"
"Slc6a8",0.662138888888887,0.00102248381386202,0.000328521287838424,0.00697035478173658,"EndocardialCells","sender-focused"
"Fgfrl1",0.633194444444442,0.000995114635703014,0.000301152109679419,0.00678682583366193,"Myocytes","sender-focused"
"Fgfrl1",0.633194444444442,0.000995114635703014,0.000301152109679419,0.00678682583366193,"EndocardialCells","sender-focused"
"Nrtn",0.623555555555538,0.000967074529500317,0.000273112003476723,0.00420856037891682,"Myocytes","sender-focused"
"Tslp",0.639666666666655,0.000957508367311131,0.000263545841287536,0.00400730012402883,"Leukocytes","sender-focused"
"Tslp",0.639666666666655,0.000957508367311131,0.000263545841287536,0.00400730012402883,"SmoothMuscleCells","sender-focused"
"Igfbp3",0.640277777777771,0.000933226834055941,0.000239264308032346,0.00625441284595383,"EndothelialCells","sender-focused"
"Igfbp3",0.640277777777771,0.000933226834055941,0.000239264308032346,0.00625441284595383,"SmoothMuscleCells","sender-focused"
