"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Tgfb1",0.767250736548271,0.0114429335752519,0.00912238902079647,0.0671726646281807,NA,"sender-agnostic"
"Mfap2",0.534181009975704,0.00953092103136313,0.00721037647690769,0.0373049421131711,NA,"sender-agnostic"
"Adm",0.511045640150928,0.00715846057041802,0.00483791601596257,0.027085428683849,NA,"sender-agnostic"
"Dcn",0.475949759652683,0.00615120258439312,0.00383065802993768,0.0169589074300671,NA,"sender-agnostic"
"Col5a1",0.502196723006141,0.00581065959302963,0.00349011503857418,0.0310144157071458,NA,"sender-agnostic"
"Nrg1",0.462324908254512,0.0054034626774753,0.00308291812301986,0.0185589875456114,NA,"sender-agnostic"
"Copa",0.497885977154086,0.00528476794898811,0.00296422339453267,0.0343157240175883,NA,"sender-agnostic"
"Vegfa",0.526500232594201,0.00519765434061125,0.0028771097861558,0.0320701870151903,NA,"sender-agnostic"
"Jag1",0.515976637204718,0.00442900429018446,0.00210845973572901,0.0348361330496973,NA,"sender-agnostic"
"Tgfb3",0.557316379800511,0.00435240627578878,0.00203186172133333,0.0228320478228757,NA,"sender-agnostic"
"Bmp2",0.507076032459806,0.00430233285743756,0.00198178830298211,0.0228706981614268,NA,"sender-agnostic"
"Cd274",0.528547061559925,0.00422257882288073,0.00190203426842529,-0.000481603980637411,NA,"sender-agnostic"
"Fgf7",0.556944229079448,0.00406987579604375,0.0017493312415883,0.0249526153715965,NA,"sender-agnostic"
"Angptl2",0.509257249185914,0.00396944257641805,0.00164889802196261,0.0232822659259061,NA,"sender-agnostic"
"Ccl19",0.510973277510722,0.0039518475584816,0.00163130300402615,0.0216590827420562,NA,"sender-agnostic"
"Pdgfb",0.52904326252131,0.00365989181965304,0.00133934726519759,0.0203342417671659,NA,"sender-agnostic"
"Zdhhc5",0.568232800951046,0.00344308246005961,0.00112253790560416,0.0102818976494222,NA,"sender-agnostic"
"Esam",0.536093451181069,0.0033754296671794,0.00105488511272395,0.00942798574580757,NA,"sender-agnostic"
"Reck",0.523688427146332,0.00333890301810028,0.00101835846364484,0.0068320092078112,NA,"sender-agnostic"
"Wnt11",0.538181630226898,0.00326565417183079,0.000945109617375347,0.0170714555848656,NA,"sender-agnostic"
"Timd4",0.551661756344651,0.0032466698109509,0.000926125256495459,0.00628310139414762,NA,"sender-agnostic"
"Ang",0.559476921486537,0.00323860754490534,0.000918062990449899,0.00263945309561727,NA,"sender-agnostic"
"Wnt5b",0.530273427404788,0.00321976411264036,0.000899219558184913,0.0158136350642711,NA,"sender-agnostic"
"Cxcl12",0.53737530366464,0.00321753083141272,0.000896986276957274,0.00705032204853835,NA,"sender-agnostic"
"Postn",0.535080374218221,0.00317485550698478,0.000854310952529336,-0.00223153477437475,NA,"sender-agnostic"
"Vegfc",0.53689977774331,0.00317111286800095,0.000850568313545509,0.00173069161049709,NA,"sender-agnostic"
"Il15",0.472104202201905,0.00311133229530062,0.000790787740845179,0.0136180841753586,NA,"sender-agnostic"
"Wnt9a",0.523161213624867,0.00310812528482231,0.000787580730366865,0.0163692221831703,NA,"sender-agnostic"
"Wnt2",0.489822711531519,0.00306794049776616,0.000747395943310715,0.013227700838882,NA,"sender-agnostic"
"Il34",0.53535948725899,0.00303724989972367,0.000716705345268228,0.00573012554361889,NA,"sender-agnostic"
"Ocln",0.509236574145871,0.00299228011576765,0.000671735561312205,0.00374426212027259,NA,"sender-agnostic"
"Neo1",0.535845350700365,0.00295174994775085,0.000631205393295408,0.00210442633979455,NA,"sender-agnostic"
"Jam2",0.471225512999442,0.00294819697681117,0.000627652422355721,0.000945271247513574,NA,"sender-agnostic"
"Sirpb1b",0.507613583501311,0.00294725396792536,0.000626709413469918,0.00173718397892746,NA,"sender-agnostic"
"Tgfb2",0.46859978291208,0.00293925949002089,0.000618714935565441,0.0155353751106323,NA,"sender-agnostic"
"Nrp1",0.494123119863547,0.00291809368693221,0.000597549132476768,-0.0012115365309373,NA,"sender-agnostic"
"Sema4c",0.573039747764519,0.00291677542608808,0.000596230871632639,0.00750893403715069,NA,"sender-agnostic"
"Lrrn2",0.509164211505682,0.00289686792526195,0.000576323370806508,0.00364149000705251,NA,"sender-agnostic"
