"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Thy1",0.438938101264096,0.00699860353880426,0.00208350076847361,0.0160469023104673,NA,"sender-agnostic"
"Postn",0.510044313816199,0.00601089411070372,0.00109579134037307,0.0182165231114454,NA,"sender-agnostic"
"Epha4",0.484231629269791,0.00537288565324304,0.000457782882912389,0.0103895269667991,NA,"sender-agnostic"
"Hbegf",0.496219491729138,0.0053639905409114,0.000448887770580743,0.0142625109476789,NA,"sender-agnostic"
"Lama2",0.425045243635271,0.00532597286000321,0.000410870089672555,0.00365456066203267,NA,"sender-agnostic"
"Nrxn1",0.477945145210519,0.00526290101611582,0.000347798245785169,0.00157618614330518,NA,"sender-agnostic"
"Mmrn2",0.534841000938879,0.00524557949395188,0.000330476723621225,0.00594657979004761,NA,"sender-agnostic"
"Osm",0.50179840615404,0.00511679221504351,0.000201689444712854,0.00742875394855633,NA,"sender-agnostic"
"Nrxn2",0.514679802061918,0.00510764221604977,0.000192539445719121,0.00159785130273091,NA,"sender-agnostic"
"Pf4",0.460269511459451,0.00505418692461197,0.000139084154281317,0.0288496767901916,NA,"sender-agnostic"
"Rarres2",0.475600186870949,0.00503909678518675,0.000123994014856098,-0.00133697536088442,NA,"sender-agnostic"
"Angpt1",0.503680722809585,0.00500024651215312,8.51437418224674e-05,0.0139395609474054,NA,"sender-agnostic"
"Ctf1",0.434878647271995,0.00492962629975945,1.45235294287992e-05,-0.00393377313118421,NA,"sender-agnostic"
"Adm",0.439609385276197,0.00491077884949876,-4.32392083189043e-06,0.00844703539200655,NA,"sender-agnostic"
"Spon2",0.457965374444936,0.00488991799082447,-2.51847795061811e-05,-0.0037911594226991,NA,"sender-agnostic"
"Angptl6",0.473001229175447,0.00478319453744159,-0.000131908232889059,-0.0019941401626698,NA,"sender-agnostic"
"Nlgn2",0.489910329155942,0.00477180765617094,-0.000143295114159709,-0.000389918098366306,NA,"sender-agnostic"
"Il15",0.490141649997954,0.00473344536591687,-0.000181657404413785,-0.00233996088600976,NA,"sender-agnostic"
"Ebi3",0.502469690166137,0.00471561750845658,-0.000199485261874071,-0.00335354013020935,NA,"sender-agnostic"
"Calr",0.425775491783567,0.00468555286711775,-0.000229549903212905,0.00201580940752782,NA,"sender-agnostic"
"Cntf",0.50107269370852,0.00466888042904849,-0.000246222341282165,-0.004152374518678,NA,"sender-agnostic"
"Tgfb2",0.4796732479714,0.00466117392978529,-0.00025392884054536,-0.00466140419331447,NA,"sender-agnostic"
"Ifitm6",0.492060252275777,0.00464890422652566,-0.000266198543804997,-0.003802450413504,NA,"sender-agnostic"
"Il1rn",0.502968617472425,0.00464592918284467,-0.000269173587485978,-0.00580651487416068,NA,"sender-agnostic"
"Furin",0.410594494563956,0.00462640417973101,-0.000288698590599643,-0.00219130000032231,NA,"sender-agnostic"
"Tslp",0.503426723453657,0.00462548831516625,-0.000289614455164398,-0.00676199960994235,NA,"sender-agnostic"
"Ltbp1",0.470474842724499,0.00462174140913924,-0.000293361361191412,-0.00358859793135103,NA,"sender-agnostic"
"Inhbb",0.478376036975044,0.00460727017207085,-0.000307832598259807,-0.0038877295923707,NA,"sender-agnostic"
"Cxcl12",0.475831507712963,0.00458269425828566,-0.000332408512044993,-0.00180003973678689,NA,"sender-agnostic"
"Flrt2",0.480085996924785,0.00457487819685315,-0.000340224573477505,-0.00446090085095883,NA,"sender-agnostic"
"Tnf",0.468587990366161,0.00456921976042116,-0.000345883009909493,-0.00334897974025031,NA,"sender-agnostic"
"Jag1",0.407201788881175,0.00456283873178961,-0.000352264038541044,-0.000841072789355367,NA,"sender-agnostic"
"Pdgfb",0.48250352650891,0.0045464585936673,-0.000368644176663355,-0.00453863816479945,NA,"sender-agnostic"
"Ang",0.490545327545767,0.00452354044742957,-0.000391562322901078,-0.00492585055821794,NA,"sender-agnostic"
"Scube2",0.465639783556251,0.00450981929772253,-0.000405283472608127,-0.00675122768117226,NA,"sender-agnostic"
"Tgm2",0.455906165380788,0.00450801158354059,-0.000407091186790059,-0.00206835876104159,NA,"sender-agnostic"
"Bmp3",0.475364330326159,0.00449980012216245,-0.000415302648168208,-0.00659559589300601,NA,"sender-agnostic"
"Lrrc4b",0.483043275140259,0.00449963400031971,-0.000415468770010945,-0.00466451828133856,NA,"sender-agnostic"
"Tnfsf12",0.482748454459269,0.00447365280193677,-0.000441449968393885,-0.010691744789458,NA,"sender-agnostic"
"Vegfc",0.478625500628184,0.00447166885836628,-0.000443433911964375,0.00636486664586143,NA,"sender-agnostic"
"Ildr2",0.486726265801245,0.00446011071005621,-0.000454992060274442,-0.0088569880522831,NA,"sender-agnostic"
"Fgf7",0.454436597678618,0.00445398297156059,-0.000461119798770066,0.00607438222451787,NA,"sender-agnostic"
"Esam",0.474910760047711,0.00445382848695136,-0.000461274283379292,-0.00503764019273619,NA,"sender-agnostic"
"Il1b",0.457634268141671,0.00444336634739591,-0.000471736422934738,-0.00245085464768881,NA,"sender-agnostic"
"Gas6",0.483406131363014,0.00443153626801419,-0.000483566502316464,-0.00653976113945086,NA,"sender-agnostic"
"Gpc6",0.478557465086419,0.00442922487729323,-0.000485877893037419,-0.00654675740422621,NA,"sender-agnostic"
"Crlf1",0.477831752640903,0.00441800812824808,-0.000497094642082572,-0.00685696997614944,NA,"sender-agnostic"
"Cd38",0.472470551949668,0.00440631041658808,-0.000508792353742571,-0.00733198874501987,NA,"sender-agnostic"
"Inhba",0.47423040463004,0.0044021689276549,-0.000512933842675753,-0.0115601341994253,NA,"sender-agnostic"
"Lrrn2",0.474679439205704,0.00440137705417093,-0.000513725716159726,-0.007825356999849,NA,"sender-agnostic"
"Pdgfa",0.47285608668634,0.00438902304185876,-0.000526079728471888,-0.00833633067085177,NA,"sender-agnostic"
"Alcam",0.471645054042892,0.00438501785947588,-0.000530084910854771,-0.00990597851994275,NA,"sender-agnostic"
"Bace2",0.475532151329183,0.00436590328349564,-0.000549199486835016,-0.00894803577972935,NA,"sender-agnostic"
"Myoc",0.465109106330471,0.00436514387574695,-0.000549958894583707,-0.0118649686537321,NA,"sender-agnostic"
"Mmp9",0.477877109668743,0.00435877303605773,-0.000556329734272919,-0.00788201598539981,NA,"sender-agnostic"
"Pgf",0.48257156205067,0.00435634919020917,-0.000558753580121483,-0.00623331735468244,NA,"sender-agnostic"
"Glg1",0.468501812013254,0.00435546506924736,-0.000559637701083292,-0.00897575249336552,NA,"sender-agnostic"
"Sema6d",0.470452164210575,0.00435099679414236,-0.000564105976188297,-0.00716656907285502,NA,"sender-agnostic"
"Igfbp4",0.451479319463147,0.00433867253504997,-0.000576430235280682,-0.00850364099740072,NA,"sender-agnostic"
"Prnp",0.438847387208406,0.00433318794557986,-0.00058191482475079,-0.00274354982135229,NA,"sender-agnostic"
"Efna1",0.47716954003437,0.00432433958064772,-0.000590763189682932,-0.00860472060995708,NA,"sender-agnostic"
"Sost",0.481582778843661,0.00431901412165536,-0.000596088648675296,-0.00814152569326538,NA,"sender-agnostic"
"Znrf3",0.456913091398942,0.00430863812347454,-0.000606464646856108,-0.00931702024396563,NA,"sender-agnostic"
"Cklf",0.43671107119692,0.00430068995443821,-0.000614412815892441,-0.0123108878782751,NA,"sender-agnostic"
"Pdgfc",0.474575118041651,0.00429369081568625,-0.000621411954644398,-0.0157541091685821,NA,"sender-agnostic"
"Bmp1",0.463122468510878,0.00428256850910414,-0.000632534261226517,-0.0104372004157816,NA,"sender-agnostic"
"Efemp2",0.479877354596698,0.00428139780196662,-0.000633704968364037,-0.00810783187128203,NA,"sender-agnostic"
"Itgam",0.460868224226993,0.00425833264458893,-0.000656770125741718,-0.0102694830571757,NA,"sender-agnostic"
"Bmp6",0.461122223582923,0.00425813782012883,-0.000656964950201826,-0.00336503719204718,NA,"sender-agnostic"
"Sema3f",0.470311557424258,0.00425746785266242,-0.000657634917668234,-0.00839133216651999,NA,"sender-agnostic"
"Angptl4",0.439296421784067,0.00425652311123338,-0.000658579659097268,0.0018413053410499,NA,"sender-agnostic"
"Ntf3",0.465961818453963,0.00425137936182858,-0.000663723408502071,-0.0103840140608443,NA,"sender-agnostic"
"Sema4d",0.459725227125311,0.00425102073239378,-0.000664082037936875,-0.0096280210583345,NA,"sender-agnostic"
"Mpdz",0.471472697337082,0.00424308600097757,-0.000672016769353079,-0.00887644679119748,NA,"sender-agnostic"
"Timp2",0.456577449392886,0.00423652042826193,-0.000678582342068721,-0.00903078851412614,NA,"sender-agnostic"
"Fgf12",0.455153238718569,0.00423158194771661,-0.000683520822614045,-0.00981089532941236,NA,"sender-agnostic"
"Lgals3",0.456423235498217,0.00422802780490622,-0.000687074965424436,-0.00810345902606899,NA,"sender-agnostic"
"Nppb",0.471694946773516,0.0042215505584287,-0.000693552211901949,-0.0112845395201595,NA,"sender-agnostic"
"Plxna1",0.469186703133713,0.0042120107970509,-0.000703091973279753,-0.0092181306377893,NA,"sender-agnostic"
"Nts",0.442734484494696,0.00420739274039109,-0.000707710029939568,-0.00791212921647303,NA,"sender-agnostic"
"Bmp2",0.444961514561866,0.00420439733238847,-0.000710705437942178,-0.00386123443127726,NA,"sender-agnostic"
"S100a9",0.472470551949667,0.00420011914954206,-0.00071498362078859,-0.00865353739579065,NA,"sender-agnostic"
"Wnt5a",0.418631759898036,0.00419917218737736,-0.000715930582953288,0.00662030850849253,NA,"sender-agnostic"
"Jam2",0.459398656524826,0.00419913678506714,-0.000715965985263509,-0.0142629013868739,NA,"sender-agnostic"
"Dcn",0.449252289395973,0.00419396045061612,-0.000721142319714534,-0.0085593360884039,NA,"sender-agnostic"
"Lama4",0.458096909825688,0.00419323366761989,-0.000721869102710764,-0.0110643147349639,NA,"sender-agnostic"
"Fgf1",0.445006871589713,0.00419093994468729,-0.000724162825643367,-0.00370491603644255,NA,"sender-agnostic"
"Eng",0.460913581254838,0.00418846618508538,-0.000726636585245276,-0.0124938897044962,NA,"sender-agnostic"
"Lefty1",0.446308618288854,0.00418334435493301,-0.000731758415397647,-0.0115568105075804,NA,"sender-agnostic"
"Sirpa",0.45606945068103,0.00418328675776271,-0.00073181601256794,-0.0115441837735508,NA,"sender-agnostic"
"H2-DMa",0.466338281785063,0.0041747761382145,-0.000740326632116152,-0.0110962460805264,NA,"sender-agnostic"
"Icam1",0.465027463680355,0.00416995309725142,-0.000745149673079235,-0.0109950673670049,NA,"sender-agnostic"
"Fbln1",0.455597737591444,0.00416697611552603,-0.000748126654804624,-0.0107901842886968,NA,"sender-agnostic"
"Pdgfd",0.464796142838345,0.00416452680037541,-0.000750575969955242,-0.01799229893296,NA,"sender-agnostic"
"Col1a1",0.4573031618384,0.00415951046318505,-0.000755592307145603,-0.0114818011095217,NA,"sender-agnostic"
"Vegfa",0.458455230345659,0.00415207762353876,-0.000763025146791894,-0.0120709094922776,NA,"sender-agnostic"
"Clec11a",0.446839295514641,0.00415026961149833,-0.000764833158832324,-0.0127009925603674,NA,"sender-agnostic"
"Angptl2",0.45749819705814,0.00414565914384585,-0.000769443626484801,-0.0100087761477722,NA,"sender-agnostic"
"S100a8",0.456917627101722,0.0041452704745644,-0.000769832295766254,-0.0109827663039313,NA,"sender-agnostic"
"Sema4a",0.450984927859642,0.00413661164486723,-0.000778491125463424,-0.0111058229300099,NA,"sender-agnostic"
"Apoc2",0.451715176007938,0.00412031395431211,-0.00079478881601854,-0.0110812066205555,NA,"sender-agnostic"
"Mmp16",0.437355140992319,0.00411765038619971,-0.000797452384130941,-0.011238811170412,NA,"sender-agnostic"
"Flrt1",0.435903716101284,0.00411182788648184,-0.000803274883848814,-0.0119281055836977,NA,"sender-agnostic"
"Neo1",0.450227465494639,0.0041116539597347,-0.000803448810595954,-0.0126647243143025,NA,"sender-agnostic"
"Siglec1",0.426292561900999,0.00410229948462161,-0.000812803285709044,-0.0117222061721523,NA,"sender-agnostic"
"Gpc3",0.453565742743999,0.00410229156379423,-0.000812811206536421,-0.0118859030174214,NA,"sender-agnostic"
