"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Adm",0.435343139558575,0.0163073045253827,0.015040055863034,0.0403313475708814,NA,"sender-agnostic"
"Cntf",0.457931920359672,0.0037413241193245,0.00247407545697586,0.02771516655468,NA,"sender-agnostic"
"Dll4",0.56580039788837,0.00279543847267998,0.00152818981033135,0.00927015685879334,NA,"sender-agnostic"
"Pdgfb",0.380469007002193,0.00267400280027461,0.00140675413792597,0.0156147382652861,NA,"sender-agnostic"
"Mfng",0.531431614894176,0.00265791220760299,0.00139066354525436,0.00772917910549517,NA,"sender-agnostic"
"Sparc",0.377876466625937,0.00244333849415321,0.00117608983180458,0.0166388768773103,NA,"sender-agnostic"
"Mfap5",0.489794319908527,0.0022386208299765,0.000971372167627867,0.00746752752190221,NA,"sender-agnostic"
"Lfng",0.515860707739995,0.00220894295696283,0.000941694294614191,0.00215943347555541,NA,"sender-agnostic"
"Dll1",0.539499036608815,0.00210407753297259,0.000836828870623953,0.000749275916134252,NA,"sender-agnostic"
"Sema4d",0.46257656218181,0.00193052359206048,0.00066327492971185,-0.00806765347306954,NA,"sender-agnostic"
"Jag2",0.464448517317507,0.00181818676515246,0.000550938102803822,-0.00473477016040123,NA,"sender-agnostic"
"Tnfsf9",0.476400833372516,0.00175572729741697,0.000488478635068337,0.00945925124625543,NA,"sender-agnostic"
"Pdgfd",0.41923962592227,0.00172042717550848,0.000453178513159845,0.00942405474875011,NA,"sender-agnostic"
"Adam10",0.472359290066852,0.00162478532079233,0.000357536658443701,-0.00536196073850231,NA,"sender-agnostic"
"Angptl4",0.39560129705342,0.00160000702264922,0.000332758360300586,0.0175649773065871,NA,"sender-agnostic"
"Lama2",0.341275435875748,0.00159990529384604,0.000332656631497401,0.00840734984510138,NA,"sender-agnostic"
"Adam17",0.460814261321816,0.00159952769241275,0.000332279030064113,-0.00516726535113094,NA,"sender-agnostic"
"Il1b",0.416451274339347,0.00157265066531668,0.000305402002968044,0.00289728124855762,NA,"sender-agnostic"
"Epha4",0.4198897191284,0.00151885588221358,0.000251607219864947,0.00318702691001891,NA,"sender-agnostic"
"Rarres2",0.484084465122116,0.0015166377855599,0.000249389123211267,-0.000900230057283581,NA,"sender-agnostic"
"Alcam",0.438476118865257,0.00150480186459228,0.000237553202243643,-0.00689640083626103,NA,"sender-agnostic"
