"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Pf4",0.419621016365203,0.009592028928996,0.00542343235650874,0.0138119177666265,NA,"sender-agnostic"
"Angptl4",0.478541487223655,0.00797790155415311,0.00380930498166585,0.0486451154334998,NA,"sender-agnostic"
"Cklf",0.379776055124897,0.00618606804949566,0.0020174714770084,-0.0160669827524,NA,"sender-agnostic"
"Epha4",0.484547803617569,0.0053174839132942,0.00114888734080694,0.0100617592656723,NA,"sender-agnostic"
"Il1b",0.43436979615275,0.00508629194389485,0.000917695371407591,0.0149235744256257,NA,"sender-agnostic"
"Fgf7",0.46504450186621,0.00499325615445905,0.000824659581971789,0.0135567172125378,NA,"sender-agnostic"
"Pdgfb",0.467746195808221,0.00493535655504413,0.000766759982556869,0.0164947831259906,NA,"sender-agnostic"
"Edn1",0.428056273327585,0.00451283841158413,0.000344241839096863,0.0174527767045515,NA,"sender-agnostic"
"Tnf",0.465024404249218,0.00449762758802364,0.000329031015536373,0.00825998997313701,NA,"sender-agnostic"
"Dbh",0.42233419465978,0.00438255680951705,0.000213960237029786,0.000615141835572085,NA,"sender-agnostic"
"Tgfb2",0.45214470284239,0.00437566510412665,0.000207068531639387,0.00613804065065219,NA,"sender-agnostic"
"Ctf1",0.439836347975893,0.00422128037955795,5.26838070706876e-05,-0.0135836932824282,NA,"sender-agnostic"
"Esam",0.465736434108512,0.00413784074093186,-3.07558315554056e-05,-0.0140484574987719,NA,"sender-agnostic"
"Ltbp1",0.487889750215321,0.00408184180068026,-8.67547718070008e-05,-0.0190696349517547,NA,"sender-agnostic"
"Timd4",0.472055699109955,0.00407350175091395,-9.5094821573315e-05,-0.019304638213143,NA,"sender-agnostic"
"Bmp2",0.44160206718346,0.00401485637893097,-0.000153740193556293,0.000725065514809421,NA,"sender-agnostic"
"Tgfb1",0.457134654033872,0.00400917341913859,-0.000159423153348669,-0.000114045525207031,NA,"sender-agnostic"
