"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Pf4",0.419621016365203,0.009592028928996,0.00542343235650874,0.0138119177666265,"Fibroblasts","sender-focused"
"Pf4",0.419621016365203,0.009592028928996,0.00542343235650874,0.0138119177666265,"EndothelialCells","sender-focused"
"Pf4",0.419621016365203,0.009592028928996,0.00542343235650874,0.0138119177666265,"Myocytes","sender-focused"
"Pf4",0.419621016365203,0.009592028928996,0.00542343235650874,0.0138119177666265,"SmoothMuscleCells","sender-focused"
"Pf4",0.419621016365203,0.009592028928996,0.00542343235650874,0.0138119177666265,"EndocardialCells","sender-focused"
"Angptl4",0.478541487223655,0.00797790155415311,0.00380930498166585,0.0486451154334998,"Fibroblasts","sender-focused"
"Angptl4",0.478541487223655,0.00797790155415311,0.00380930498166585,0.0486451154334998,"EndothelialCells","sender-focused"
"Angptl4",0.478541487223655,0.00797790155415311,0.00380930498166585,0.0486451154334998,"Myocytes","sender-focused"
"Cklf",0.379776055124897,0.00618606804949566,0.0020174714770084,-0.0160669827524,"EndocardialCells","sender-focused"
"Epha4",0.484547803617569,0.0053174839132942,0.00114888734080694,0.0100617592656723,"EndothelialCells","sender-focused"
"Epha4",0.484547803617569,0.0053174839132942,0.00114888734080694,0.0100617592656723,"Myocytes","sender-focused"
"Epha4",0.484547803617569,0.0053174839132942,0.00114888734080694,0.0100617592656723,"SmoothMuscleCells","sender-focused"
"Epha4",0.484547803617569,0.0053174839132942,0.00114888734080694,0.0100617592656723,"EndocardialCells","sender-focused"
"Fgf7",0.46504450186621,0.00499325615445905,0.000824659581971789,0.0135567172125378,"Fibroblasts","sender-focused"
"Fgf7",0.46504450186621,0.00499325615445905,0.000824659581971789,0.0135567172125378,"Myocytes","sender-focused"
"Pdgfb",0.467746195808221,0.00493535655504413,0.000766759982556869,0.0164947831259906,"EndothelialCells","sender-focused"
"Pdgfb",0.467746195808221,0.00493535655504413,0.000766759982556869,0.0164947831259906,"SmoothMuscleCells","sender-focused"
"Pdgfb",0.467746195808221,0.00493535655504413,0.000766759982556869,0.0164947831259906,"EndocardialCells","sender-focused"
"Edn1",0.428056273327585,0.00451283841158413,0.000344241839096863,0.0174527767045515,"EndothelialCells","sender-focused"
"Edn1",0.428056273327585,0.00451283841158413,0.000344241839096863,0.0174527767045515,"EndocardialCells","sender-focused"
"Dbh",0.42233419465978,0.00438255680951705,0.000213960237029786,0.000615141835572085,"Myocytes","sender-focused"
"Tgfb2",0.45214470284239,0.00437566510412665,0.000207068531639387,0.00613804065065219,"Fibroblasts","sender-focused"
"Tgfb2",0.45214470284239,0.00437566510412665,0.000207068531639387,0.00613804065065219,"Myocytes","sender-focused"
"Tgfb2",0.45214470284239,0.00437566510412665,0.000207068531639387,0.00613804065065219,"SmoothMuscleCells","sender-focused"
"Tgfb2",0.45214470284239,0.00437566510412665,0.000207068531639387,0.00613804065065219,"EndocardialCells","sender-focused"
"Ctf1",0.439836347975893,0.00422128037955795,5.26838070706876e-05,-0.0135836932824282,"Myocytes","sender-focused"
"Esam",0.465736434108512,0.00413784074093186,-3.07558315554056e-05,-0.0140484574987719,"EndothelialCells","sender-focused"
"Esam",0.465736434108512,0.00413784074093186,-3.07558315554056e-05,-0.0140484574987719,"Myocytes","sender-focused"
"Esam",0.465736434108512,0.00413784074093186,-3.07558315554056e-05,-0.0140484574987719,"SmoothMuscleCells","sender-focused"
"Esam",0.465736434108512,0.00413784074093186,-3.07558315554056e-05,-0.0140484574987719,"EndocardialCells","sender-focused"
"Ltbp1",0.487889750215321,0.00408184180068026,-8.67547718070008e-05,-0.0190696349517547,"Fibroblasts","sender-focused"
"Ltbp1",0.487889750215321,0.00408184180068026,-8.67547718070008e-05,-0.0190696349517547,"EndothelialCells","sender-focused"
"Ltbp1",0.487889750215321,0.00408184180068026,-8.67547718070008e-05,-0.0190696349517547,"Myocytes","sender-focused"
"Ltbp1",0.487889750215321,0.00408184180068026,-8.67547718070008e-05,-0.0190696349517547,"SmoothMuscleCells","sender-focused"
"Ltbp1",0.487889750215321,0.00408184180068026,-8.67547718070008e-05,-0.0190696349517547,"EndocardialCells","sender-focused"
"Bmp2",0.44160206718346,0.00401485637893097,-0.000153740193556293,0.000725065514809421,"SmoothMuscleCells","sender-focused"
"Tgfb1",0.457134654033872,0.00400917341913859,-0.000159423153348669,-0.000114045525207031,"Fibroblasts","sender-focused"
"Tgfb1",0.457134654033872,0.00400917341913859,-0.000159423153348669,-0.000114045525207031,"EndothelialCells","sender-focused"
"Tgfb1",0.457134654033872,0.00400917341913859,-0.000159423153348669,-0.000114045525207031,"Myocytes","sender-focused"
"Tgfb1",0.457134654033872,0.00400917341913859,-0.000159423153348669,-0.000114045525207031,"SmoothMuscleCells","sender-focused"
"Tgfb1",0.457134654033872,0.00400917341913859,-0.000159423153348669,-0.000114045525207031,"EndocardialCells","sender-focused"
