"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Efemp2",0.496490791513141,0.0240282707152036,0.00767016774791976,0.0119150929135475,NA,"sender-agnostic"
"Epha4",0.466576325659342,0.0171770447452928,0.000818941778009032,0.000400325194398071,NA,"sender-agnostic"
"Siglec1",0.494542064032183,0.0168651085663264,0.000507005599042626,0.00169461654224179,NA,"sender-agnostic"
"Mmrn2",0.532812573389566,0.0166151114534452,0.000257008486161423,0.00435351768029241,NA,"sender-agnostic"
"Flrt2",0.512007159324961,0.0165843400843177,0.000226237117033942,0.00325748796517095,NA,"sender-agnostic"
"Igfbp4",0.506867015838652,0.0164745102808339,0.00011640731355007,0.00215486088574195,NA,"sender-agnostic"
"Fap",0.492873153830546,0.0164438763750144,8.57734077306556e-05,-0.000114228051881139,NA,"sender-agnostic"
"Jag1",0.483851544941148,0.016393228862143,3.51258948592323e-05,0.0161272828647583,NA,"sender-agnostic"
"Tnfsf9",0.505345009708654,0.0163628802806749,4.77731339111262e-06,-0.00370928848475098,NA,"sender-agnostic"
"Rarres2",0.512984021433991,0.016333146740953,-2.49562263307801e-05,-0.000116252811220342,NA,"sender-agnostic"
"Ngf",0.480253894207075,0.0161497628244938,-0.000208340142789951,-0.00302225977967268,NA,"sender-agnostic"
"Cklf",0.492565354823293,0.0161334497713159,-0.000224653195967872,-0.00253937214355399,NA,"sender-agnostic"
"Bace2",0.492321514051325,0.0160877893828898,-0.00027031358439401,-0.0023203983866555,NA,"sender-agnostic"
"Cntf",0.484489628272732,0.0159783865906576,-0.000379716376626156,0.00295560865813683,NA,"sender-agnostic"
"Rspo1",0.483380352629732,0.015970588005131,-0.000387514962152755,-0.00352096554832112,NA,"sender-agnostic"
"Glg1",0.484495624357287,0.0158835883788911,-0.000474514588392701,-0.00333853424639739,NA,"sender-agnostic"
"Spon2",0.490754037613432,0.0158324997567923,-0.000525603210491499,-0.00422156059332856,NA,"sender-agnostic"
"Fn1",0.450460849065555,0.0158063584757825,-0.000551744491501326,0.00962719516622928,NA,"sender-agnostic"
"Dbh",0.472694330602112,0.0157957590248647,-0.000562343942419077,0.0167088505033346,NA,"sender-agnostic"
"Nid1",0.481761909473108,0.0157563703256661,-0.000601732641617655,-0.00410075388741828,NA,"sender-agnostic"
"Copa",0.469335523902887,0.0157555607583529,-0.000602542208930881,0.012941691133724,NA,"sender-agnostic"
"Ifitm6",0.496464808480056,0.0157135773445299,-0.00064452562275388,-0.00222269316516066,NA,"sender-agnostic"
"Bace1",0.502275014415582,0.0156974584254909,-0.00066064454179288,-0.00145351674010889,NA,"sender-agnostic"
"Ltbp3",0.504193261800039,0.0156488588682903,-0.000709244098993513,-0.00333610830546517,NA,"sender-agnostic"
"Lama2",0.453661758871449,0.0156302025154201,-0.000727900451863706,0.00920727150375947,NA,"sender-agnostic"
"Gpc6",0.47962680369718,0.0155749064723862,-0.000783196494897621,-0.00656859232848491,NA,"sender-agnostic"
"Scube2",0.479108142383016,0.0155725895070353,-0.000785513460248456,-0.00546774720709612,NA,"sender-agnostic"
"Csf1",0.471215796085153,0.0155683599849162,-0.0007897429823676,-0.00375645050707178,NA,"sender-agnostic"
"Cd14",0.4855784172935,0.0155368428849883,-0.000821260082295506,-0.00427151202073726,NA,"sender-agnostic"
"S100a9",0.490977391763179,0.0154873940563471,-0.000870708910936664,-0.00478474639042097,NA,"sender-agnostic"
"Dcn",0.483921499260982,0.0154681049791001,-0.0008899979881837,-0.00419518787112015,NA,"sender-agnostic"
"Furin",0.472800761102991,0.0154584511169224,-0.000899651850361375,0.00769708859347721,NA,"sender-agnostic"
"Gdf15",0.47888978497041,0.0154449944564801,-0.000913108510803725,-0.00574191923889072,NA,"sender-agnostic"
"Fgfrl1",0.475647402246333,0.0154338474446625,-0.000924255522621266,-0.00705627264637731,NA,"sender-agnostic"
"Ctf1",0.485401033125362,0.0154307709143156,-0.000927332052968157,-0.00384147173616031,NA,"sender-agnostic"
"Mif",0.4817234345972,0.0154270988170806,-0.000931004150203175,-0.00466382461888547,NA,"sender-agnostic"
"S100a4",0.487028470408821,0.0154170866069515,-0.000941016360332314,-0.00377730078666232,NA,"sender-agnostic"
"Lama4",0.479152613343478,0.0154084141573373,-0.000949688809946539,-0.00472869015549271,NA,"sender-agnostic"
"Fbn1",0.463719191368037,0.0154040886269427,-0.000954014340341083,0.00184652414356878,NA,"sender-agnostic"
"Abca1",0.482232102437106,0.0153981554433614,-0.000959947523922363,0.00231070817621279,NA,"sender-agnostic"
"Cp",0.486160537169225,0.0153719322431919,-0.000986170724091904,-0.0047187449069435,NA,"sender-agnostic"
"Sema3a",0.480251395838507,0.0153545988078588,-0.00100350415942498,-0.00467043721151361,NA,"sender-agnostic"
"Postn",0.495375519785574,0.0153540219679619,-0.00100408099932192,-0.0119255208047076,NA,"sender-agnostic"
"Ptgfrn",0.480296366472692,0.0153488715599141,-0.00100923140736967,-0.00622153764878708,NA,"sender-agnostic"
"Sema6d",0.469208606779767,0.0153473601892504,-0.00101074277803341,-0.00743595025485769,NA,"sender-agnostic"
"Tslp",0.484883870832341,0.0153448184741711,-0.00101328449311273,-0.00924848117245027,NA,"sender-agnostic"
"Thbs1",0.487637572665047,0.0153248775323425,-0.00103322543494124,-0.00459472894665284,NA,"sender-agnostic"
"Dll4",0.494098353774981,0.0153111194591011,-0.00104698350818268,-0.00735161466048851,NA,"sender-agnostic"
"Ahsg",0.474886399181333,0.0153057304083547,-0.00105237255892914,-0.00644932276261805,NA,"sender-agnostic"
"Esam",0.487360753428005,0.0152965003426538,-0.00106160262462999,-0.00568530139795385,NA,"sender-agnostic"
"Inhbb",0.478135777337395,0.0152914621747012,-0.00106664079258261,-0.00828315463124766,NA,"sender-agnostic"
"Alcam",0.491373633017634,0.0152902776182112,-0.0010678253490726,-0.00516345501268743,NA,"sender-agnostic"
"Pam",0.48178989120104,0.0152850412011003,-0.00107306176618349,-0.0062526554077686,NA,"sender-agnostic"
"H2-DMb1",0.479109141730448,0.0152645445650775,-0.00109355840220632,-0.00684415377153088,NA,"sender-agnostic"
"Opcml",0.48727580889679,0.015262865329919,-0.00109523763736481,-0.00628217154849993,NA,"sender-agnostic"
"Pltp",0.480234906605984,0.015255328153218,-0.00110277481406575,-0.00795785179757488,NA,"sender-agnostic"
"Mmp15",0.484664514072298,0.0152536623904787,-0.00110444057680507,-0.00721337010198166,NA,"sender-agnostic"
"Cd38",0.471339715165992,0.0152425904201675,-0.00111551254711632,-0.00693172738760025,NA,"sender-agnostic"
"Ret",0.471698980565683,0.0152258540910773,-0.00113224887620646,-0.00568998356211664,NA,"sender-agnostic"
"Bmp3",0.475640406814344,0.0152223725765799,-0.00113573039070386,-0.00890450062824353,NA,"sender-agnostic"
"Ptprm",0.466032180985811,0.0152204790402355,-0.00113762392704834,-0.0105591178418518,NA,"sender-agnostic"
"Bmp1",0.477673579152809,0.0152064461065419,-0.00115165686074188,-0.00828802900040492,NA,"sender-agnostic"
"Ebi3",0.490568158992175,0.015185247192383,-0.00117285577490075,-0.00902305574829772,NA,"sender-agnostic"
"Rtn4",0.478318657916375,0.0151822719596511,-0.00117583100763271,-0.00621137808489588,NA,"sender-agnostic"
"Bmp10",0.476883595012448,0.0151703929605214,-0.00118771000676241,-0.00932071066215749,NA,"sender-agnostic"
"Tspan3",0.477342295481049,0.0151676165610391,-0.00119048640624469,-0.00736948411299914,NA,"sender-agnostic"
"Znrf3",0.474964847954284,0.0151429763684198,-0.00121512659886402,-0.00890122443483306,NA,"sender-agnostic"
"Sema3d",0.479818678403003,0.0150811468806385,-0.00127695608664532,-0.00702679333990032,NA,"sender-agnostic"
