"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Efemp2",0.496490791513141,0.0240282707152036,0.00767016774791976,0.0119150929135475,"Fibroblasts","sender-focused"
"Efemp2",0.496490791513141,0.0240282707152036,0.00767016774791976,0.0119150929135475,"EndothelialCells","sender-focused"
"Efemp2",0.496490791513141,0.0240282707152036,0.00767016774791976,0.0119150929135475,"Leukocytes","sender-focused"
"Efemp2",0.496490791513141,0.0240282707152036,0.00767016774791976,0.0119150929135475,"SmoothMuscleCells","sender-focused"
"Efemp2",0.496490791513141,0.0240282707152036,0.00767016774791976,0.0119150929135475,"EndocardialCells","sender-focused"
"Epha4",0.466576325659342,0.0171770447452928,0.000818941778009032,0.000400325194398071,"EndothelialCells","sender-focused"
"Epha4",0.466576325659342,0.0171770447452928,0.000818941778009032,0.000400325194398071,"SmoothMuscleCells","sender-focused"
"Epha4",0.466576325659342,0.0171770447452928,0.000818941778009032,0.000400325194398071,"EndocardialCells","sender-focused"
"Siglec1",0.494542064032183,0.0168651085663264,0.000507005599042626,0.00169461654224179,"Leukocytes","sender-focused"
"Mmrn2",0.532812573389566,0.0166151114534452,0.000257008486161423,0.00435351768029241,"EndothelialCells","sender-focused"
"Mmrn2",0.532812573389566,0.0166151114534452,0.000257008486161423,0.00435351768029241,"SmoothMuscleCells","sender-focused"
"Mmrn2",0.532812573389566,0.0166151114534452,0.000257008486161423,0.00435351768029241,"EndocardialCells","sender-focused"
"Flrt2",0.512007159324961,0.0165843400843177,0.000226237117033942,0.00325748796517095,"Fibroblasts","sender-focused"
"Flrt2",0.512007159324961,0.0165843400843177,0.000226237117033942,0.00325748796517095,"EndocardialCells","sender-focused"
"Igfbp4",0.506867015838652,0.0164745102808339,0.00011640731355007,0.00215486088574195,"Fibroblasts","sender-focused"
"Igfbp4",0.506867015838652,0.0164745102808339,0.00011640731355007,0.00215486088574195,"EndothelialCells","sender-focused"
"Igfbp4",0.506867015838652,0.0164745102808339,0.00011640731355007,0.00215486088574195,"Leukocytes","sender-focused"
"Igfbp4",0.506867015838652,0.0164745102808339,0.00011640731355007,0.00215486088574195,"SmoothMuscleCells","sender-focused"
