"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Ccl19",0.499505859099236,0.0121058019959592,0.00551393663831548,0.0450273777065643,NA,"sender-agnostic"
"Cd59a",0.444958110669548,0.0111142592372625,0.00452239387961877,0.00730820482356971,NA,"sender-agnostic"
"Cd59b",0.44499716131824,0.0111138813408625,0.00452201598321876,0.00731189423834004,NA,"sender-agnostic"
"Igsf3",0.456846029299993,0.00995488939026585,0.00336302403262209,-0.00410355888515736,NA,"sender-agnostic"
"Thbs1",0.470749562182149,0.00968592828631664,0.00309406292867288,-0.0034331520454357,NA,"sender-agnostic"
"Adm",0.508646714789053,0.00871859750602476,0.002126732148381,0.0255407799535552,NA,"sender-agnostic"
"Calr",0.482140336015806,0.00871720258981472,0.00212533723217096,0.0302031865194031,NA,"sender-agnostic"
"Bmp2",0.475156277692157,0.00841100331844453,0.00181913796080078,0.0246395293063599,NA,"sender-agnostic"
"Vegfa",0.452047305355036,0.00839732866629978,0.00180546330865602,0.0265983126761914,NA,"sender-agnostic"
"Lama2",0.487586399560224,0.00766454002957782,0.00107267467193406,0.0147065522816964,NA,"sender-agnostic"
"Angpt2",0.473678360833988,0.00737703049330647,0.000785165135662708,-0.00650349543200833,NA,"sender-agnostic"
"Nrg1",0.473837567324815,0.00723069188236024,0.000638826524716482,0.00677156318925912,NA,"sender-agnostic"
"Cklf",0.416231852712956,0.00722521522350888,0.000633349865865122,-0.0160302532265069,NA,"sender-agnostic"
"Tgfb1",0.517658402948615,0.00712880353257697,0.000536938174933208,0.0037519961140688,NA,"sender-agnostic"
"Scube2",0.511890922526501,0.00703788585136058,0.000446020493716818,-0.0023518363776775,NA,"sender-agnostic"
"Bgn",0.459070414327368,0.00699625555016909,0.000404390192525332,0.0025495328367233,NA,"sender-agnostic"
"Col5a3",0.47162369593363,0.00696477678534256,0.000372911427698797,-0.0105712014185963,NA,"sender-agnostic"
"Igf2",0.452086356003734,0.00686143080702422,0.000269565449380457,0.0150544955757585,NA,"sender-agnostic"
"Ocln",0.499385703257116,0.00683824802831352,0.000246382670669763,-0.00618984910811281,NA,"sender-agnostic"
"Tspan3",0.458298413041712,0.006805293421957,0.00021342806431324,-0.0110104159872508,NA,"sender-agnostic"
