"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Adamts3",0.504623887147804,0.0305594725221341,0.0226734736289409,0.0429058394486886,NA,"sender-agnostic"
"Fgf1",0.513715085370665,0.0292879263439242,0.0214019274507311,0.0452172786442746,NA,"sender-agnostic"
"Vegfa",0.488758327278251,0.0276143965954392,0.0197283977022461,0.0278783516697249,NA,"sender-agnostic"
"Col5a2",0.506341330945557,0.0267180163838798,0.0188320174906866,0.0161905716572561,NA,"sender-agnostic"
"Calr",0.557353326140624,0.01595997530326,0.00807397641006686,0.0519617089546376,NA,"sender-agnostic"
"Pdgfc",0.495491098405626,0.0156096693747014,0.00772367048150828,0.02779309772448,NA,"sender-agnostic"
"Pdgfa",0.49503849569539,0.0135106396563827,0.00562464076318956,0.00213033352262976,NA,"sender-agnostic"
"Adm",0.557512348714487,0.0134289419773097,0.00554294308411658,0.0517120142938906,NA,"sender-agnostic"
"Bmp2",0.553397333803065,0.0125186588289329,0.0046326599357398,0.0414232411321234,NA,"sender-agnostic"
"Cklf",0.43687293117748,0.0121219894793115,0.00423599058611837,-0.00542667204225718,NA,"sender-agnostic"
"Fbln1",0.465648677543818,0.0120559824474401,0.00416998355424701,0.00293879342558362,NA,"sender-agnostic"
"Angpt1",0.479990067205396,0.0118873858534567,0.00400138696026352,0.0272529490283157,NA,"sender-agnostic"
"Wnt11",0.494397512397652,0.0109206654734339,0.00303466658024079,0.0198788834482973,NA,"sender-agnostic"
"Ccl19",0.495464186893122,0.0108466810385637,0.00296068214537059,0.0124788045299544,NA,"sender-agnostic"
"Angptl4",0.519368949496884,0.010838273049512,0.0029522741563189,0.0290430083334652,NA,"sender-agnostic"
"Pdgfb",0.510077138180837,0.0107014441632955,0.00281544527010234,0.0314767446459149,NA,"sender-agnostic"
"Pf4",0.498554117828395,0.0106331035842011,0.00274710469100791,0.0188175658016699,NA,"sender-agnostic"
"Pltp",0.53610057076872,0.0105649523736604,0.00267895348046726,0.00692222652861796,NA,"sender-agnostic"
"Nrxn2",0.491175470401014,0.0103994293511512,0.00251343045795801,0.0115079562272772,NA,"sender-agnostic"
"Il15",0.475532542134874,0.010397432650106,0.00251143375691285,0.0250275041005058,NA,"sender-agnostic"
"Il33",0.500900312418202,0.0103900872137342,0.00250408832054105,0.0170103527541674,NA,"sender-agnostic"
"Lsamp",0.544978923392714,0.0103602394020873,0.00247424050889412,0.0137051371872555,NA,"sender-agnostic"
"Wnt2",0.491664770628295,0.0103519026471046,0.00246590375391144,0.0164791773950574,NA,"sender-agnostic"
"Cmtm8",0.519679655141207,0.0103274004227145,0.00244140152952138,0.0198768372466967,NA,"sender-agnostic"
"Tnfsf12",0.474977186376914,0.0103221098897052,0.00243611099651202,0.0193314425766797,NA,"sender-agnostic"
"Timp3",0.525817926492433,0.010211825179271,0.00232582628607783,0.00743375086324556,NA,"sender-agnostic"
"Calm3",0.512462476788829,0.0101664618571762,0.00228046296398302,0.0141429234125497,NA,"sender-agnostic"
"Hbegf",0.526833224464039,0.0100978067000515,0.00221180780685841,0.0085398101416607,NA,"sender-agnostic"
"Wnt5b",0.486086748037303,0.0100735302247564,0.00218753133156326,0.018117411916316,NA,"sender-agnostic"
"Pdgfd",0.471603461309815,0.010037344144292,0.00215134525109891,0.0147123564940294,NA,"sender-agnostic"
"Sema4d",0.520438070493488,0.0099976698057411,0.00211167091254796,0.010821056988155,NA,"sender-agnostic"
"Wnt9a",0.484349732230458,0.0099921857997651,0.00210618690657196,0.0190131565111902,NA,"sender-agnostic"
"S100a4",0.523616075469673,0.00991919684962384,0.0020331979564307,0.00672963559049575,NA,"sender-agnostic"
"Tgfb1",0.532041825383432,0.00981005363685943,0.00192405474366629,0.0143798971630937,NA,"sender-agnostic"
"Postn",0.508425749913766,0.00979133198156186,0.00190533308836872,0.0113116753290184,NA,"sender-agnostic"
"Anxa1",0.512249631189961,0.00969125598916022,0.00180525709596708,0.00270110325049626,NA,"sender-agnostic"
"Itgal",0.499285621668181,0.00968098723510341,0.00179498834191027,0.010919225204043,NA,"sender-agnostic"
"Has1",0.526231385184484,0.00968055934400853,0.00179456045081539,0.00864919559115385,NA,"sender-agnostic"
"Edn1",0.487818870841876,0.00965788745803469,0.00177188856484155,0.0159145735880291,NA,"sender-agnostic"
"Hp",0.519515739565067,0.00965587314858708,0.00176987425539394,0.00558486286938964,NA,"sender-agnostic"
"St6gal1",0.503248953509147,0.00964913181289536,0.00176313291970222,0.00288590131798906,NA,"sender-agnostic"
"Tgfb3",0.48276684599521,0.0096064946855872,0.00172049579239406,0.0194707205871448,NA,"sender-agnostic"
"Il1rn",0.525472969832201,0.0095281701643761,0.00164217127118296,0.00281165223126398,NA,"sender-agnostic"
"Mpdz",0.514483286727495,0.00950090844721227,0.00161490955401913,0.00472432501886715,NA,"sender-agnostic"
"Slit3",0.518857630759376,0.00949525811844327,0.00160925922525013,0.00287092858054412,NA,"sender-agnostic"
"Mmp2",0.488572393191886,0.00945788836008874,0.00157188946689561,-0.00210274206471414,NA,"sender-agnostic"
"Lum",0.506517479027378,0.00944656748004462,0.00156056858685149,-0.000432148756027041,NA,"sender-agnostic"
"Wnt5a",0.502245888043222,0.00944194397833515,0.00155594508514201,0.0144023604913071,NA,"sender-agnostic"
"Mmp14",0.506331544941011,0.00943157459575359,0.00154557570256045,-9.37860114413881e-05,NA,"sender-agnostic"
"B2m",0.501421417160257,0.00943058055094401,0.00154458165775087,-0.000122295539814371,NA,"sender-agnostic"
"Jam3",0.501646495264806,0.00941788566371051,0.00153188677051738,0.0027803676290603,NA,"sender-agnostic"
"Psap",0.511613540894499,0.0094170987499666,0.00153109985677347,0.000902875266070164,NA,"sender-agnostic"
"Apoa1",0.513639243835436,0.00940913618855119,0.00152313729535805,0.000893007531942778,NA,"sender-agnostic"
"S100a8",0.50252723567391,0.00938286184310572,0.00149686294991258,0.00237164479730954,NA,"sender-agnostic"
"Lama4",0.515099805013868,0.00937274777269899,0.00148674887950585,0.00433295751589886,NA,"sender-agnostic"
"Efnb1",0.494678860028339,0.00936567509509448,0.00147967620190135,0.00118049210746626,NA,"sender-agnostic"
"Cd79b",0.508022077226263,0.00934621815320928,0.00146021926001614,0.002541002705899,NA,"sender-agnostic"
"Sirpb1b",0.48422006767023,0.00933705974582669,0.00145106085263355,-0.00107132765988986,NA,"sender-agnostic"
"Itgam",0.500247096614786,0.00931346954510826,0.00142747065191512,0.000301297076318564,NA,"sender-agnostic"
"Siglece",0.499985320993191,0.009309910029156,0.00142391113596286,0.000618643318578679,NA,"sender-agnostic"
"Opcml",0.509326062331964,0.00929605430678353,0.00141005541359039,0.0055198646470427,NA,"sender-agnostic"
"Bmp6",0.485201114625925,0.00928127205067001,0.00139527315747687,0.0160689861180411,NA,"sender-agnostic"
"Cd38",0.497144933173831,0.00928043507813819,0.00139443618494505,0.000210781001743906,NA,"sender-agnostic"
"Col4a6",0.508900371134231,0.00926279471593153,0.00137679582273839,0.00274544949247231,NA,"sender-agnostic"
"Bace2",0.522084565758287,0.00926216585727561,0.00137616696408247,0.00608133265418481,NA,"sender-agnostic"
"Col15a1",0.500650769302291,0.00922945358631438,0.00134345469312124,-0.00168386452820926,NA,"sender-agnostic"
"Lrig1",0.495483758902214,0.00921281355545444,0.0013268146622613,-0.00022389654015591,NA,"sender-agnostic"
"Negr1",0.514084507042262,0.00921028116215938,0.00132428226896624,0.00175074173000704,NA,"sender-agnostic"
"Col3a1",0.494845222105615,0.00920904102789063,0.00132304213469749,-0.00149718382156002,NA,"sender-agnostic"
"Col6a3",0.493925337678328,0.00920891247776752,0.00132291358457438,-0.00114189191328477,NA,"sender-agnostic"
"Gas6",0.481113011227003,0.00920117746589909,0.00131517857270595,-0.000953328607913351,NA,"sender-agnostic"
"Bgn",0.499620792323868,0.00919861496677754,0.0013126160735844,-0.00350522497081841,NA,"sender-agnostic"
"Myoc",0.501047102486387,0.00918588310133727,0.00129988420814413,-0.00379337304833904,NA,"sender-agnostic"
"Ctf1",0.485482462256612,0.00918419059695008,0.00129819170375694,-0.00449076490053967,NA,"sender-agnostic"
"Penk",0.500420798195468,0.00918400242868289,0.00129800353548975,-0.00210337645115635,NA,"sender-agnostic"
"Mfap2",0.513653922842254,0.00918301442250467,0.00129701552931153,0.000921861090800328,NA,"sender-agnostic"
"Itgb2",0.489272092516896,0.0091805746635111,0.00129457577031796,-0.00312764303633854,NA,"sender-agnostic"
"Ang",0.524080910685588,0.00916866946296188,0.00128267056976875,0.00305861295717078,NA,"sender-agnostic"
"Col16a1",0.495358987344259,0.00916826736616341,0.00128226847297028,-0.00351849149070928,NA,"sender-agnostic"
"Lama2",0.49241584647717,0.00915842492712357,0.00127242603393043,-0.0114345243542328,NA,"sender-agnostic"
"Ezr",0.492714319615811,0.00914503428881987,0.00125903539562673,-0.00245767542674491,NA,"sender-agnostic"
"Mdk",0.496995696604508,0.00913727876923322,0.00125127987604008,4.13643343238294e-05,NA,"sender-agnostic"
"F13a1",0.524269291273091,0.00913107368759054,0.00124507479439741,0.00155588172593961,NA,"sender-agnostic"
"Itgb1",0.501372487137528,0.00912625109275396,0.00124025219956082,-0.00118338929184639,NA,"sender-agnostic"
"Efnb2",0.492530832030579,0.00912461739678373,0.00123861850359059,0.000227597374980474,NA,"sender-agnostic"
"A2m",0.493330837902184,0.00912190739981862,0.00123590850662549,-0.000753849453892669,NA,"sender-agnostic"
"Tnfsf9",0.476978424306489,0.00910183220838488,0.00121583331519174,0.00939130953215323,NA,"sender-agnostic"
"Efnb3",0.481983965631561,0.00908934911808371,0.00120335022489057,-0.00216410587616166,NA,"sender-agnostic"
"Apoe",0.511014148116079,0.00908854935449846,0.00120255046130532,-0.00103666578401618,NA,"sender-agnostic"
"Adam17",0.49983608442387,0.00908232306167082,0.00119632416847768,-0.0015655776995971,NA,"sender-agnostic"
"S100a9",0.483212109202033,0.00908167128167532,0.00119567238848218,-0.00337264723543411,NA,"sender-agnostic"
"Lin7c",0.505719919656908,0.00904053726313286,0.00115453836993972,0.000667653436291321,NA,"sender-agnostic"
"Sost",0.507153569322841,0.00903336386104504,0.00114736496785191,0.000914684564176435,NA,"sender-agnostic"
"Dcn",0.520770794648039,0.0090245699636661,0.00113857107047297,-0.000799926885911899,NA,"sender-agnostic"
"Lamb2",0.480799859081541,0.00901910908114685,0.00113311018795372,-0.0026902599004876,NA,"sender-agnostic"
"Il1b",0.490823174237372,0.00899822375876948,0.00111222486557635,0.0112723666927664,NA,"sender-agnostic"
"Fndc5",0.503726021230745,0.00898993486782805,0.00110393597463491,-0.000485616005194584,NA,"sender-agnostic"
"Cd320",0.500009786004554,0.00898421363443986,0.00109821474124672,0.000461530437474291,NA,"sender-agnostic"
"Msn",0.490957731799877,0.00898231861170808,0.00109631971851494,-0.00219604672936503,NA,"sender-agnostic"
"Angptl2",0.519427665524157,0.00897483193686313,0.00108883304367,-0.00658037651631287,NA,"sender-agnostic"
"Col5a1",0.498622619860216,0.0089743167653342,0.00108831787214106,-0.00475471349527364,NA,"sender-agnostic"
"H2-Q4",0.489528975136218,0.00897149617292847,0.00108549727973533,-0.00103126869695769,NA,"sender-agnostic"
"H2-Q6",0.489528975136218,0.00897149617292847,0.00108549727973533,-0.00103126869695769,NA,"sender-agnostic"
"H2-D1",0.489438454594171,0.0089692186786068,0.00108321978541367,-0.00104987943682738,NA,"sender-agnostic"
"Col5a3",0.496315569288591,0.00896853611361123,0.00108253722041809,-0.00278681900638183,NA,"sender-agnostic"
"Col27a1",0.49374674309537,0.00896029165950715,0.00107429276631401,-0.00285208688184694,NA,"sender-agnostic"
"H2-K1",0.489171785970303,0.0089534794147065,0.00106748052151336,-0.00109643524399036,NA,"sender-agnostic"
"Ptprk",0.503478924615969,0.00894752558558218,0.00106152669238904,-0.00181614391319117,NA,"sender-agnostic"
"Lamb3",0.495833608564721,0.00894593520672913,0.00105993631353599,-0.00412492398718113,NA,"sender-agnostic"
"Vwf",0.495596297954488,0.00894571665286657,0.00105971775967344,-0.00174827085518421,NA,"sender-agnostic"
"Neo1",0.505778635684185,0.00894364910542953,0.00105765021223639,0.000793728330080715,NA,"sender-agnostic"
