"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Fgf1",0.207494450467199,0.00479349583762819,0.00293849506471121,0.00640834328806406,NA,"sender-agnostic"
"Angptl4",0.209662640028907,0.00203629471021889,0.000181293937301897,0.00471392893456946,NA,"sender-agnostic"
"Cx3cl1",0.244940891022666,0.00170201823609485,-0.000152982536822135,0.0133519014477348,NA,"sender-agnostic"
"Inhba",0.177410820298388,0.00129365690592244,-0.000561343866994552,-0.000511765387877432,NA,"sender-agnostic"
"Tnfsf9",0.191620205461773,0.0011864577599498,-0.000668543012967194,-0.0023028454061708,NA,"sender-agnostic"
"Sema4c",0.24590237984616,0.0011416713091643,-0.000713329463752688,-0.0510312118209848,NA,"sender-agnostic"
"Tgm2",0.199144339476534,0.00113821646440984,-0.000716784308507147,-0.00911492031457021,NA,"sender-agnostic"
"Esam",0.215754220226114,0.00110446655242647,-0.00075053422049052,-0.0486516901730831,NA,"sender-agnostic"
"Zdhhc5",0.203958236539154,0.00109933402187074,-0.000755666751046253,-0.0579518525388487,NA,"sender-agnostic"
"Reck",0.229086004852616,0.00108816830080946,-0.000766832472107531,-0.0465011072217397,NA,"sender-agnostic"
"Postn",0.201660988074957,0.00108680701731868,-0.000768193755598313,-0.0160928811497168,NA,"sender-agnostic"
"Pltp",0.221536059057353,0.00108573929898647,-0.000769261473930521,-0.0410483216431185,NA,"sender-agnostic"
"Ltbp3",0.190471581229667,0.00108424375388476,-0.000770757019032226,-0.0548336487544602,NA,"sender-agnostic"
"Igf1",0.197537556140621,0.00108191938442896,-0.000773081388488032,-0.0134382662018857,NA,"sender-agnostic"
"Alcam",0.217806256775591,0.00107505341317944,-0.000779947359737553,-0.0435039208151373,NA,"sender-agnostic"
"Spn",0.211250064529456,0.00106428305907316,-0.000790717713843832,-0.0526964101763782,NA,"sender-agnostic"
"Adam11",0.198118321201796,0.00106158120884158,-0.000793419564075411,-0.0573421757737755,NA,"sender-agnostic"
"Tnf",0.186961179082135,0.00105024891487676,-0.000804751858040224,-0.0124138311523189,NA,"sender-agnostic"
"Clec11a",0.201344793763874,0.00104898576383377,-0.00080601500908322,-0.0522459297743456,NA,"sender-agnostic"
"Nrxn1",0.198492592019005,0.0010487982424605,-0.000806202530456485,-0.0559519200906998,NA,"sender-agnostic"
"Ocln",0.19314310051108,0.00104873576133823,-0.000806265011578758,-0.0564409003675404,NA,"sender-agnostic"
"Cd72",0.177423726188636,0.00104827694514013,-0.000806723827776857,-0.0564646469258846,NA,"sender-agnostic"
"Psap",0.190910381498114,0.00104083559714394,-0.000814165175773053,-0.0527445384758436,NA,"sender-agnostic"
"Tgfbi",0.191516958339793,0.00104057469421738,-0.00081442607869961,-0.0545374015326469,NA,"sender-agnostic"
"Lrrn2",0.188664756594907,0.00103764233238285,-0.000817358440534135,-0.0568962770324945,NA,"sender-agnostic"
"Jam3",0.179811315884571,0.00103754368568285,-0.000817457087234138,-0.0587142451228274,NA,"sender-agnostic"
"Tnfsf13b",0.186019049094005,0.00103571865890984,-0.000819282114007144,-0.0179838439487871,NA,"sender-agnostic"
"Ace2",0.190774869650512,0.00103557954553274,-0.000819421227384245,-0.0531249645654914,NA,"sender-agnostic"
"Il1b",0.153483299778015,0.0010351143364506,-0.00081988643646639,-0.0132316357831648,NA,"sender-agnostic"
"Mmrn2",0.186277166898972,0.00103476809858467,-0.00082023267433232,-0.0413751450295884,NA,"sender-agnostic"
"Jam2",0.172067781735583,0.00103465244613995,-0.000820348326777035,-0.0558923286136634,NA,"sender-agnostic"
"Gpc6",0.183076506117388,0.00103427502676511,-0.000820725746151876,-0.0561048699144816,NA,"sender-agnostic"
"Slamf7",0.184225130349494,0.001032329264697,-0.00082267150821999,-0.0615909402353199,NA,"sender-agnostic"
