"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Sema5a",0.450544196323735,0.0258049670875093,0.0179204089202972,0.014899737130566,NA,"sender-agnostic"
"Sost",0.467517972483199,0.0131131744575309,0.00522861629031878,0.0109015541898859,NA,"sender-agnostic"
"Gpi1",0.465257442913842,0.0103816253141259,0.00249706714691371,0.0481236095242314,NA,"sender-agnostic"
"Mif",0.493519720927854,0.00922442086878927,0.00133986270157713,0.0215244896486763,NA,"sender-agnostic"
"Cklf",0.506440670293698,0.00882834213067443,0.000943783963462291,0.0049475158710268,NA,"sender-agnostic"
"Ltbp3",0.485565429458171,0.0083477660227904,0.000463207855578263,-0.000630530241859836,NA,"sender-agnostic"
"Wnt5a",0.442582831857903,0.00833895355605947,0.000454395388847329,0.0108654230308126,NA,"sender-agnostic"
"Lama2",0.478428776343362,0.0083338139050183,0.000449255737806159,0.018871717591891,NA,"sender-agnostic"
"Col16a1",0.452711362343925,0.00827412748367463,0.000389569316462487,0.00833979964809765,NA,"sender-agnostic"
"Epha4",0.478176977680438,0.00816911045816153,0.00028455229094939,0.00612411837337053,NA,"sender-agnostic"
"Plxna2",0.470538141839027,0.00811961429757172,0.000235056130359576,0.00547813050775357,NA,"sender-agnostic"
"Tgm2",0.49463725431947,0.00799273203384729,0.00010817386663515,0.0097652345651693,NA,"sender-agnostic"
"Alcam",0.489731424190198,0.00790526419607708,2.07060288649353e-05,0.00071515195596,NA,"sender-agnostic"
"Ptdss1",0.470471655675227,0.0078979391065167,1.33809393045581e-05,-0.00709018720716079,NA,"sender-agnostic"
"Igf1",0.476352144673887,0.00789017483600982,5.61666879768039e-06,0.00723029670223639,NA,"sender-agnostic"
"Furin",0.458531023575706,0.00786401004890765,-2.05481183044899e-05,0.00193012588121378,NA,"sender-agnostic"
"Wnt11",0.447221302732717,0.00783190850782453,-5.26496593876054e-05,0.00763138089969288,NA,"sender-agnostic"
"Wnt5b",0.443257595690561,0.00782169293983598,-6.28652273761618e-05,0.00673930563122905,NA,"sender-agnostic"
"Rarres2",0.495989611183254,0.00780598742108824,-7.85707461238962e-05,-0.00415951072369051,NA,"sender-agnostic"
"Wnt9a",0.443899823740935,0.00778081416074766,-0.000103744006464482,0.00728158557786302,NA,"sender-agnostic"
"Wnt2",0.446764387181457,0.00764348401197826,-0.000241074155233882,0.00311786388837589,NA,"sender-agnostic"
"Nppa",0.474937545443995,0.00763330787118308,-0.000251250296029064,-0.0065176582265281,NA,"sender-agnostic"
"Fgf18",0.474066152318378,0.00760501838100935,-0.000279539786202789,0.00200603498584711,NA,"sender-agnostic"
"Clec11a",0.475390217197553,0.00760227251809241,-0.000282285649119732,-0.006801173098613,NA,"sender-agnostic"
"Siglec1",0.473166467208167,0.00758483320037306,-0.000299724966839081,-0.00656063972207636,NA,"sender-agnostic"
"Cntf",0.475231782083803,0.00755433524247027,-0.000330222924741869,-1.89749466489619e-05,NA,"sender-agnostic"
"Pam",0.472776037820723,0.00753906314333355,-0.000345495023878589,-0.00952783228123946,NA,"sender-agnostic"
"Angpt1",0.465380513046841,0.00751728628000269,-0.00036727188720945,0.00309444307451009,NA,"sender-agnostic"
"Il1rn",0.472232831716438,0.00747000188519821,-0.000414556282013925,-0.00697512161173777,NA,"sender-agnostic"
"Angptl4",0.462667311723907,0.00746940094926272,-0.000415157217949424,-0.00375462817318665,NA,"sender-agnostic"
"Sirpb1b",0.485595136041999,0.00740300657946591,-0.00048155158774623,-0.00904764999741866,NA,"sender-agnostic"
"Bgn",0.475384558800639,0.00739855164657572,-0.00048600652063642,-0.00799576916779901,NA,"sender-agnostic"
"Angptl2",0.448020551297606,0.0073983174303493,-0.000486240736862838,0.00129518964685885,NA,"sender-agnostic"
"Sema6b",0.470999301187973,0.00739668038214819,-0.000487877785063949,-0.00880627604548762,NA,"sender-agnostic"
"Nrxn2",0.466481071247695,0.00738488848368054,-0.000499669683531599,-0.00935297383385159,NA,"sender-agnostic"
"Ebi3",0.466466925255399,0.00738322148424496,-0.000501336682967183,-0.00867879735013263,NA,"sender-agnostic"
"Itgb2",0.463914988244676,0.00736656312038287,-0.000517995046829266,-0.0115526358323766,NA,"sender-agnostic"
"Mfng",0.467151591282667,0.00735885207497014,-0.000525706092241995,-0.00960851485871746,NA,"sender-agnostic"
"Jam2",0.440545808966852,0.00735305541321644,-0.000531502753995704,-0.0131141894944193,NA,"sender-agnostic"
"H2-DMa",0.473346121310367,0.00735037639021923,-0.000534181776992911,-0.0107039239774858,NA,"sender-agnostic"
"Tslp",0.471536848895335,0.00733767318209636,-0.000546884985115782,-0.00494965259597685,NA,"sender-agnostic"
"Boc",0.446648390044614,0.0073169970976585,-0.000567561069553644,-0.0124473447351684,NA,"sender-agnostic"
"Pdgfd",0.467066715328875,0.00731017958727964,-0.000574378579932501,-0.00113768338200788,NA,"sender-agnostic"
"Cxcl12",0.470427803099101,0.00729833573759567,-0.000586222429616469,-0.00120646379365051,NA,"sender-agnostic"
