"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","module","receiver"
"Adam10",0.419098937284834,0.00379511215705645,-0.0011199906132742,-0.0174523904718574,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Adam15",0.39543164015548,0.00369985452038664,-0.00121524824994401,-0.0199741640276199,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Adam17",0.444172302277367,0.00401337681129128,-0.00090172595903937,-0.0100845044829296,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Adam9",0.413347666154131,0.00381107010360339,-0.00110403266672726,-0.0154763370471092,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Adm",0.439609385276197,0.00491077884949876,-4.32392083189043e-06,0.00844703539200655,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Agrn",0.427489987436098,0.00395328910646629,-0.000961813663864364,-0.0122145616947182,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Ahsg",0.421593573816287,0.00393635019507109,-0.000978752575259562,-0.0151015791419579,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Alcam",0.471645054042892,0.00438501785947588,-0.000530084910854771,-0.00990597851994275,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Ang",0.490545327545767,0.00452354044742957,-0.000391562322901078,-0.00492585055821794,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Angpt1",0.503680722809585,0.00500024651215312,8.51437418224674e-05,0.0139395609474054,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Angpt2",0.424405709542662,0.00394575617289138,-0.000969346597439269,-0.0135336696248656,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Angptl1",0.43280129539671,0.00396211257739095,-0.000952990192939705,-0.0146841781113082,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Angptl2",0.45749819705814,0.00414565914384585,-0.000769443626484801,-0.0100087761477722,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Angptl4",0.439296421784067,0.00425652311123338,-0.000658579659097268,0.0018413053410499,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Anxa1",0.44923868228762,0.00408769020874043,-0.000827412561590222,-0.0118887967939779,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Anxa2",0.418005832913778,0.00382174444580773,-0.00109335832452292,-0.0147537417855878,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Apoe",0.437273498342196,0.0040074287699261,-0.000907674000404556,-0.0104191109421195,"Fibroblasts","lightcyan","SmoothMuscleCells"
"App",0.416558943725533,0.00390027342970219,-0.00101482934062846,-0.00391514404818459,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Arf1",0.412014169535496,0.00381527463815346,-0.0010998281321772,-0.0171245542658601,"Fibroblasts","lightcyan","SmoothMuscleCells"
"B2m",0.427004667238161,0.00391833477067978,-0.000996767999650875,-0.0133271764437193,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Bace1",0.404865901947175,0.00373444175868909,-0.00118066101164156,-0.0166926178093823,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Bace2",0.475532151329183,0.00436590328349564,-0.000549199486835016,-0.00894803577972935,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Bgn",0.410998172111775,0.00378165059955917,-0.00113345217077149,-0.0148557987025426,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Bmp1",0.463122468510878,0.00428256850910414,-0.000632534261226517,-0.0104372004157816,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Bmp4",0.437717997215072,0.00402329221749015,-0.000891810552840502,-0.00651578183223717,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Boc",0.437749747134564,0.00395963868068758,-0.000955464089643076,-0.0144478762544311,"Fibroblasts","lightcyan","SmoothMuscleCells"
"C1qa",0.424160781592295,0.0038962313104352,-0.00101887145989546,-0.0112739323009443,"Fibroblasts","lightcyan","SmoothMuscleCells"
"C1qb",0.415302554054237,0.00382721546795765,-0.00108788730237301,-0.016560096576324,"Fibroblasts","lightcyan","SmoothMuscleCells"
"C3",0.415674481682557,0.0038205583007448,-0.00109454446958585,-0.0162154643941254,"Fibroblasts","lightcyan","SmoothMuscleCells"
"C4b",0.410603565969526,0.00375276614016128,-0.00116233663016937,-0.0172170714207316,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Calm1",0.434992039841607,0.00394443350782911,-0.000970669262501544,-0.0127309774308101,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Calm2",0.44414962376345,0.00399841071973668,-0.000916692050593976,-0.0107198718773726,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Calm3",0.438021889301633,0.00396371492711989,-0.00095138784321076,-0.0138887600602346,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Calr",0.425775491783567,0.00468555286711775,-0.000229549903212905,0.00201580940752782,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Ccl19",0.432937366480244,0.00397701565104982,-0.00093808711928083,-0.0100118524033875,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Cd320",0.401863266703853,0.00374496345089565,-0.001170139319435,-0.0143686848520736,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Cd44",0.453470492985533,0.00409879781331005,-0.000816304957020604,-0.00934994692700948,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Cd47",0.414145949844192,0.00383469628675702,-0.00108040648357363,-0.0145460571585785,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Cd55",0.397041814643968,0.00374096900511303,-0.00117413376521762,-0.0171721336451995,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Cd9",0.406498754949581,0.00372989708434338,-0.00118520568598727,-0.0117716663563926,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Clec11a",0.446839295514641,0.00415026961149833,-0.000764833158832324,-0.0127009925603674,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col14a1",0.412794310414424,0.00377309903915987,-0.00114200373117078,-0.0181527351947751,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col15a1",0.43069672930472,0.00396481867913446,-0.000950284091196196,-0.0149070250296126,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col16a1",0.42514502909653,0.00386264535381515,-0.0010524574165155,-0.0143171561448206,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col18a1",0.418078404158329,0.00381315603946058,-0.00110194673087007,-0.0166902218177234,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col1a1",0.4573031618384,0.00415951046318505,-0.000755592307145603,-0.0114818011095217,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col1a2",0.435740430801043,0.00393152293107222,-0.000983579839258435,-0.0154343866599626,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col27a1",0.41411873562749,0.0038010133518382,-0.00111408941849246,-0.0179358264975534,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col3a1",0.4167721217564,0.0038463704484878,-0.00106873232184285,-0.0184618116291868,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col4a1",0.412667310736457,0.00379711443104694,-0.00111798833928372,-0.0157804074568098,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col4a2",0.415878588307864,0.00379831651390294,-0.00111678625642771,-0.0160350929410003,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col4a3",0.402602586257725,0.00369832528500725,-0.0012167774853234,-0.019628615347411,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col4a4",0.406358148163266,0.00375295747129218,-0.00116214529903847,-0.0165170097554278,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col4a5",0.404557474157833,0.00373327415373606,-0.00118182861659459,-0.0181100307460512,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col4a6",0.437581926131534,0.00394263445522464,-0.000972468315106017,-0.016540084694893,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col5a1",0.421593573816293,0.00386920837484586,-0.0010458943954848,-0.0137441772794101,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col5a2",0.426337918928845,0.00388202118222505,-0.0010330815881056,-0.0140059725279636,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col5a3",0.40370476203435,0.00374114384031329,-0.00117395893001737,-0.0186660387981207,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col6a1",0.412676382142027,0.00381779688437752,-0.00109730588595313,-0.0147550728883621,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col6a2",0.439945027282246,0.00399224913772856,-0.000922853632602092,-0.0141612259807235,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col6a3",0.394968998471466,0.00371288102912645,-0.00120222174120421,-0.0204063295899482,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col6a6",0.412299918810917,0.00380870502275118,-0.00110639774757948,-0.0171449615952326,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Col8a1",0.415474910760042,0.00377587558250824,-0.00113922718782241,-0.0150064920575692,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Copa",0.39616188830378,0.00368255392821095,-0.00123254884211971,-0.0156162644724591,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Cp",0.424754958657067,0.00401058634389644,-0.000904516426434213,-0.0131403635024307,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Crlf1",0.477831752640903,0.00441800812824808,-0.000497094642082572,-0.00685696997614943,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Ctsd",0.414785483936806,0.00377936225353446,-0.00113574051679619,-0.0174368371785444,"Fibroblasts","lightcyan","SmoothMuscleCells"
