"from","to","weight"
"Bmp6","Acvr1",0.825939523387435
"Bmp6","Bmpr1a",0.810372690939596
"Bmp6","Bmpr2",0.935263921715517
"Comp","Cd36",0.36967600884089
"Comp","Cd47",0.76539237333474
"Comp","Itga5",0.71259899313893
"Comp","Itgav",0.743751182706525
"Comp","Itgb1",0.666722292616309
"Comp","Sdc1",0.358880056448488
"Cx3cl1","Itgav",0.411250403678617
"Cx3cl1","Itgb1",0.167123196955939
"Esam","Esam",0.200207371088966
"Fgf1","Fgfr1",1.66944121463338
"Fgf1","Fgfr2",1.37354959930662
"Fgf1","Nrp1",0.575526650411952
"Mmp16","Ddr1",0.340783575908639
"Mmp16","Mmp2",0.639102646562857
"Nppa","Npr1",1.058164967475
"Nppa","Npr2",1.07202163181047
"Nppa","Npr3",1.06243191681211
"Nrg1","Erbb2",1.26567680088838
"Nrg1","Itgav",0.107815039491882
"Prnp","Ncam1",0.852837037071289
"Tgfb1","Acvrl1",0.954654917550899
"Tgfb1","App",0.915391823716162
"Tgfb1","Eng",0.923388863737016
"Tgfb1","Itgav",0.90894420507631
"Tgfb1","Itgb1",0.666722292616309
"Tgfb1","Sdc2",0.887539938967292
"Tgfb1","Tgfbr1",1.451487923895
"Tgfb1","Tgfbr2",1.36786928111112
"Tgfb1","Tgfbr3",1.05066693662449
