"from","to","weight"
"Anxa2","Dysf",0.837188295874699
"Anxa2","Plat",1.0409715837847
"Anxa2","Robo4",0.58842283383521
"App","Cd74",0.670218474887772
"App","Flt1",0.399044579222147
"App","Ncstn",0.656495594802084
"App","Tnfrsf21",1.17104041066622
"Bace2","App",0.629745677888093
"Col4a4","Cd47",0.556918465686623
"Col4a4","Cd93",0.505137451794435
"Col4a4","Itga1",0.516070952617506
"Col4a4","Itgb1",0.485123668825156
"Hbegf","Cd82",0.624230813803348
"Hbegf","Cd9",1.00407700292839
"Itgal","Icam1",1.08882519021902
"Serpinf1","Lrp6",0.516393714174126
"Timp1","Cd63",0.9180689468301
"Tnfsf9","Pvr",0.407259924259257
"Tnfsf9","Traf2",0.442415957878854
"Wnt5a","Fzd4",0.766876559550848
"Wnt5a","Fzd6",0.494966930431874
"Wnt5a","Lrp5",0.745827661840507
"Wnt5a","Lrp6",1.01629982253137
"Wnt5a","Mcam",0.337722923054172
"Wnt5a","Ryk",0.855826041962851
