"from","to","weight"
"Adam17","Il6ra",0.446709354765204
"Adam17","Itga5",0.343061968476499
"Adam17","Itgb1",0.453855960955043
"Adam17","Notch1",1.04650428687493
"Adam17","Notch2",0.655055946015402
"App","Bace1",1.20521669572848
"App","Cd74",0.670218474887772
"App","Lrp1",1.0336715808238
"App","Ncstn",0.656495594802084
"Bgn","Tlr4",0.631854234587732
"Ccl19","Ccrl2",0.939661221042665
"Col4a4","Cd47",0.556918465686623
"Col4a4","Ddr1",0.340783575908639
"Col4a4","Ddr2",0.375446233481756
"Col4a4","Itga1",0.516070952617506
"Col4a4","Itga11",0.541419116727641
"Col4a4","Itgav",0.937232641437178
"Col4a4","Itgb1",0.485123668825156
"Lama2","Dag1",1.13758264982166
"Lama2","Itga1",0.516070952617506
"Lama2","Itga9",0.543348421342934
"Lama2","Itgb1",0.666722292616309
"Lama2","Rpsa",0.383700402695029
"Lrig1","Egfr",0.761641189430205
"Lrig1","Erbb2",0.492116822838156
"Pf4","Ldlr",0.488708246206022
"Pf4","Sdc2",0.558261526421689
"Pf4","Thbd",0.740160412742221
"Postn","Itgav",0.107815039491882
"Postn","Itgb5",0.101171141620712
"Postn","Ptk7",0.339697581524996
"Prnp","Ncam1",0.852837037071289
