"from","to","weight"
"Adm","Calcrl",0.904619757536136
"Adm","Ramp1",0.771575398642373
"Adm","Ramp2",1.01437914594811
"Cx3cl1","Cx3cr1",0.989305910257128
"Cx3cl1","Itga4",0.161381475418202
"Cx3cl1","Itgav",0.411250403678617
"Cx3cl1","Itgb1",0.167123196955939
"Edn1","Ece1",0.986976945994064
"Edn1","Ednrb",1.21335829107346
"H2-D1","Aplp2",0.605073500840924
"H2-K1","Aplp2",0.605073500840924
"H2-Q4","Aplp2",0.605073500840924
"H2-Q6","Aplp2",0.605073500840924
"Mmp2","Ccr2",0.33906182795899
"Mmp2","Fgfr1",0.588573137136486
"Mmp2","Itgav",0.590067832153436
"Mmp2","Pecam1",0.355461667361232
"Tgfbi","Itga4",0.0978998732283037
"Tgfbi","Itga5",0.108359105297036
"Tgfbi","Itga6",0.110845689001517
"Tgfbi","Itgav",0.510588448303715
"Tgfbi","Itgb1",0.265530836770571
"Tgfbi","Itgb5",0.101171141620712
"Vwf","Itgav",0.517380000086372
