"from","to","weight"
"Abca1","Apoa1",1.09194854171003
"Adm","Ramp1",0.771575398642373
"Adm","Ramp2",1.01437914594811
"Angptl4","Cdh5",0.349779127980551
"Angptl4","Gpihbp1",0.84638230096034
"Angptl4","Itga5",0.108359105297036
"Angptl4","Itgav",0.107815039491882
"Angptl4","Itgb1",0.487074569070585
"Angptl4","Lpl",1.25388495068933
"Angptl4","Sdc2",0.49611170286876
"Angptl4","Sdc4",0.465751067673871
"Angptl4","Tie1",0.543155773245459
"Anxa2","Dysf",0.837188295874699
"Fgf7","Fgfr1",1.10200695559717
"Fgf7","Nrp1",0.575526650411952
"Lama2","Dag1",1.13758264982166
"Lama2","Itga1",0.516070952617506
"Lama2","Itga3",0.547418955797874
"Lama2","Itga6",0.800827553656451
"Lama2","Itga7",0.750291986483123
"Lama2","Itga9",0.543348421342934
"Lama2","Itgb1",0.666722292616309
"Lama2","Rpsa",0.383700402695029
"Mmp16","Ddr1",0.340783575908639
"Mmp16","Mmp2",0.639102646562857
"Nppa","Npr2",1.07202163181047
"Nppa","Npr3",1.06243191681211
"Nrxn1","Dag1",0.745594977533132
"Tgfb2","Acvr1",0.56253131532216
"Tgfb2","Eng",0.649381147040466
"Tgfb2","Tgfbr1",1.1169700379081
"Tgfb2","Tgfbr2",1.06116050130789
"Tgfb2","Tgfbr3",0.719691548993889
