"from","to","weight"
"Bgn","Fgfr3",0.324276850961878
"Cd55","Cr1l",0.616614466656305
"Fgf7","Fgfr1",1.10200695559717
"Fgf7","Fgfr3",1.12949844467396
"Fgf7","Nrp1",0.575526650411952
"Hbegf","Cd82",0.624230813803348
"Hbegf","Cd9",1.00407700292839
"Igf2","Igf1r",1.53035744592261
"Igf2","Igf2r",0.923639649464184
"Igf2","Insr",0.93495221785129
"Igf2","Itga6",0.110845689001517
"Igf2","Itgav",0.107815039491882
"Itgal","Icam1",1.08882519021902
"Nrg1","Itgav",0.107815039491882
"Prnp","Ncam1",0.852837037071289
"Sema4d","Plxnb1",1.22005381143742
"Sema4d","Plxnb2",0.366636580207528
"Tspan3","Adam10",0.39670015199041
