"from","to","weight"
"Adam10","App",0.712885207087245
"Adam10","Axl",0.489000227529168
"Adam10","Cd44",0.471259773734468
"Adam10","Notch1",0.863565862735022
"Adam10","Notch2",0.842442408670481
"Adam10","Notch4",0.94937445064019
"Adam10","Tspan14",0.917365589463444
"Adam10","Tspan17",0.598992636279925
"Adam10","Tspan5",0.747860215718297
"Angpt1","Itga5",0.588768416882746
"Angpt1","Itgb1",0.646545158066756
"Angpt1","Tek",1.06643909026116
"Angpt1","Tie1",0.779422543013986
"Angptl4","Cdh11",0.397186591939036
"Angptl4","Cdh5",0.349779127980551
"Angptl4","Gpihbp1",0.84638230096034
"Angptl4","Itga5",0.108359105297036
"Angptl4","Itgav",0.107815039491882
"Angptl4","Itgb1",0.487074569070585
"Angptl4","Lpl",1.25388495068933
"Angptl4","Sdc1",0.492320296997059
"Angptl4","Sdc2",0.49611170286876
"Angptl4","Sdc3",0.355963819526152
"Angptl4","Sdc4",0.465751067673871
"Angptl4","Tie1",0.543155773245459
"Boc","Smo",0.44598477382283
"Dll1","Notch1",1.15054497006153
"Dll1","Notch2",1.19721585465292
"Dll1","Notch4",0.861791612710916
"Dll4","Notch1",0.945661439038702
"Dll4","Notch2",0.764724394568058
"Dll4","Notch4",0.938237462215265
"Epha4","Fgfr1",0.746425903658877
"Epha4","Fgfr2",0.750299407606384
"Jag1","Notch1",1.45008161420581
"Jag1","Notch2",0.98124977010728
"Jag1","Notch4",0.861791612710916
"Lfng","Notch1",0.995047068614723
"Lfng","Notch2",0.856323803456529
"Timp1","Cd63",0.9180689468301
"Timp1","Fgfr2",0.382031612299298
"Timp1","Mmp2",0.76299476899093
