"from","to","weight"
"Apoe","App",0.813591620228587
"Apoe","Lrp5",0.469166504641594
"Apoe","Scarb1",0.827609772695103
"Lama2","Dag1",1.13758264982166
"Lama2","Itga1",0.516070952617506
"Lama2","Itga6",0.800827553656451
"Lama2","Itga9",0.543348421342934
"Lama2","Itgb1",0.666722292616309
"Lama2","Itgb4",0.789872570625271
"Lama2","Rpsa",0.383700402695029
"Pdgfc","Flt1",0.544342526553487
"Pdgfc","Flt4",0.629235736349176
"Pdgfc","Kdr",0.714050272176072
"Pdgfc","Pdgfrb",1.06700987366867
"Tgm2","Itga9",0.543348421342934
"Tgm2","Itgb1",0.55086385541329
"Tgm2","Sdc4",0.463133602220728
"Vegfc","Flt4",1.21516901706669
"Vegfc","Kdr",1.55933320675079
"Vegfc","Nrp2",1.27545293030172
"Wnt11","Fzd6",0.494966930431874
"Wnt11","Fzd7",0.723373131221934
"Wnt11","Lrp6",0.495996061377597
"Wnt2","Fzd1",0.91153968499173
"Wnt2","Fzd4",0.689907959488774
"Wnt2","Fzd7",0.723373131221934
"Wnt2","Lrp5",0.471818065901202
"Wnt2","Lrp6",0.5820848712659
"Wnt5a","Fzd1",1.04402469007575
"Wnt5a","Fzd4",0.766876559550848
"Wnt5a","Fzd6",0.494966930431874
"Wnt5a","Fzd7",0.898510470129549
"Wnt5a","Lrp5",0.745827661840507
"Wnt5a","Lrp6",1.01629982253137
"Wnt5a","Mcam",0.337722923054172
"Wnt5a","Ryk",0.855826041962851
"Wnt5b","Fzd1",0.679068440292263
"Wnt5b","Fzd6",0.494966930431874
"Wnt5b","Fzd7",0.526344223425989
"Wnt5b","Lrp5",0.471818065901202
"Wnt5b","Lrp6",0.495996061377597
"Wnt9a","Fzd1",0.734918773384105
"Wnt9a","Fzd4",0.501994134837609
"Wnt9a","Fzd6",0.494966930431874
"Wnt9a","Fzd7",0.526344223425989
"Wnt9a","Lrp5",0.680529192871725
"Wnt9a","Lrp6",0.784047092458763
