"from","to","weight"
"Adam17","Itga5",0.343061968476499
"Adam17","Itgb1",0.453855960955043
"Adam17","Notch1",1.04650428687493
"Adam17","Notch4",0.738202840320464
"Adam9","Itga6",0.45851690128031
"Adam9","Itgb1",0.583522040908115
"Adam9","Itgb5",0.582302604996125
"App","Cd74",0.670218474887772
"App","Flt1",0.399044579222147
"App","Ncstn",0.656495594802084
"App","Tnfrsf21",1.17104041066622
"Ccl19","Ccrl2",0.939661221042665
"Furin","Adamts1",0.683435873929361
"Furin","Insr",0.325243423136767
"Furin","Notch1",1.0193912618805
"Lama2","Dag1",1.13758264982166
"Lama2","Itga1",0.516070952617506
"Lama2","Itga6",0.800827553656451
"Lama2","Itgb1",0.666722292616309
"Lama2","Rpsa",0.383700402695029
"Osm","Il6st",0.88825464013105
"Osm","Lifr",0.870732125426378
"Osm","Osmr",1.04877808027219
"Tgfb1","Acvrl1",0.954654917550899
"Tgfb1","App",0.915391823716162
"Tgfb1","Eng",0.923388863737016
"Tgfb1","Itgb1",0.666722292616309
"Tgfb1","Tgfbr1",1.451487923895
"Tgfb1","Tgfbr2",1.36786928111112
"Tgfb1","Tgfbr3",1.05066693662449
"Tgfb2","Acvr1",0.56253131532216
"Tgfb2","Eng",0.649381147040466
"Tgfb2","Tgfbr1",1.1169700379081
"Tgfb2","Tgfbr2",1.06116050130789
"Tgfb2","Tgfbr3",0.719691548993889
"Tslp","Crlf2",1.23300826404306
