"from","to","weight"
"Adm","Calcrl",0.904619757536136
"Adm","Ramp2",1.01437914594811
"Angpt1","Itga5",0.588768416882746
"Angpt1","Itgb1",0.646545158066756
"Angpt1","Tek",1.06643909026116
"Csf1","Csf1r",1.69903211252564
"Csf1","Csf2ra",0.380583309685455
"Csf1","Sirpa",0.438196068333236
"Ebi3","Il27ra",1.07670207954775
"Ebi3","Il6st",0.97024393322324
"Furin","Adam19",0.588902831175984
"Furin","Adamts1",0.683435873929361
"Furin","Bace1",0.906432359233117
"Furin","Insr",0.325243423136767
"Furin","Lrp1",0.739475709621738
"Furin","Notch1",1.0193912618805
"Ifitm6","Cd81",0.663033127733978
"Igf1","Igf1r",1.46450195714308
"Igf1","Insr",1.07302188500981
"Igf1","Itgav",0.107815039491882
"Il34","Csf1r",1.19362571084547
"Tnf","Ltbr",0.661414633896396
"Tnf","Tnfrsf1a",1.39928762855151
"Tnf","Tnfrsf1b",1.04500921780111
"Tnf","Traf2",1.62735488403067
"Tnfsf9","Traf2",0.442415957878854
