"from","to","weight"
"Adm","Calcrl",0.904619757536136
"Adm","Ramp1",0.771575398642373
"Adm","Ramp2",1.01437914594811
"Col5a1","Cd93",0.419266094409565
"Col5a1","Itgb1",0.485123668825156
"Col5a1","Lair1",0.431636552097608
"Col5a1","Sdc3",0.610910779241056
"Copa","Cd74",0.42124772668859
"Copa","P2ry6",0.390447914328268
"Dcn","Igf1r",0.705427925915119
"Dcn","Lrp1",0.504328849237231
"Dcn","Tlr2",0.428948536514042
"Dcn","Tlr4",0.380535540963991
"Jag1","Notch1",1.45008161420581
"Jag1","Notch2",0.98124977010728
"Mfap2","Notch1",0.632915919296396
"Nrg1","Itgav",0.107815039491882
"Tgfb1","Acvrl1",0.954654917550899
"Tgfb1","App",0.915391823716162
"Tgfb1","Eng",0.923388863737016
"Tgfb1","Itgav",0.90894420507631
"Tgfb1","Itgb1",0.666722292616309
"Tgfb1","Tgfbr1",1.451487923895
"Tgfb1","Tgfbr2",1.36786928111112
"Tgfb3","Acvrl1",0.736296763220094
"Tgfb3","Eng",0.923388863737016
"Tgfb3","Tgfbr1",0.921284040055464
"Tgfb3","Tgfbr2",0.986693376466196
"Vegfa","Nrp1",1.3850842197522
"Vegfa","Nrp2",1.61375556443546
