"from","to","weight"
"Abca1","Apoa1",1.09194854171003
"Cx3cl1","Itgav",0.411250403678617
"Cx3cl1","Itgb1",0.167123196955939
"Lrrc4b","Ptprd",0.526550446702772
"Lrrc4b","Ptprs",0.733699169475851
"Mcam","Tmem132a",0.392131457344768
"Nlgn2","Mdga1",0.555207299228881
"Nlgn2","Nrxn2",0.752709171742208
"Nrxn1","Dag1",0.745594977533132
"Nrxn2","Dag1",0.358947013876623
"Nrxn2","Fgfrl1",0.424544922964631
"Prnp","Ncam1",0.852837037071289
"Vegfa","Flt1",1.6242902578616
"Vegfa","Gpc1",0.791556774718447
"Vegfa","Kdr",1.58141601661067
"Vegfa","Nrp1",1.3850842197522
"Vegfc","Kdr",1.55933320675079
