"from","to","weight"
"Epha4","Fgfr1",0.746425903658877
"Epha4","Fgfr3",0.766337717069036
"Hbegf","Cd82",0.624230813803348
"Hbegf","Cd9",1.00407700292839
"Lama2","Dag1",1.13758264982166
"Lama2","Itga1",0.516070952617506
"Lama2","Itga6",0.800827553656451
"Lama2","Itga7",0.750291986483123
"Lama2","Itga9",0.543348421342934
"Lama2","Itgb1",0.666722292616309
"Lama2","Rpsa",0.383700402695029
"Mmrn2","Cd248",0.479417757957863
"Mmrn2","Cd93",0.419266094409565
"Mmrn2","Clec14a",0.485487868041378
"Nrxn1","Dag1",0.745594977533132
"Nrxn1","Nlgn2",1.23905515712619
"Nrxn2","Dag1",0.358947013876623
"Nrxn2","Nlgn2",0.827840167389861
"Osm","Il6st",0.88825464013105
"Osm","Lifr",0.870732125426378
"Osm","Osmr",1.04877808027219
"Pf4","Ldlr",0.488708246206022
"Pf4","Procr",0.641246873225453
"Pf4","Sdc2",0.558261526421689
"Pf4","Thbd",0.740160412742221
"Postn","Itgav",0.107815039491882
"Postn","Itgb5",0.101171141620712
"Thy1","Itgav",0.107815039491882
