"from","to","weight"
"Angptl4","Gpihbp1",0.84638230096034
"Angptl4","Itga5",0.108359105297036
"Angptl4","Itgav",0.107815039491882
"Angptl4","Itgb1",0.487074569070585
"Angptl4","Lpl",1.25388495068933
"Angptl4","Sdc1",0.492320296997059
"Angptl4","Sdc2",0.49611170286876
"Angptl4","Sdc3",0.355963819526152
"Angptl4","Sdc4",0.465751067673871
"Col4a4","Cd47",0.556918465686623
"Col4a4","Ddr1",0.340783575908639
"Col4a4","Ddr2",0.375446233481756
"Col4a4","Itga1",0.516070952617506
"Col4a4","Itga11",0.541419116727641
"Col4a4","Itgav",0.937232641437178
"Col4a4","Itgb1",0.485123668825156
"Dkk3","Kremen1",1.05972614412277
"Efemp2","Aqp1",0.774416102653457
"Efemp2","Plscr4",0.952881945753742
"Epha4","Fgfr1",0.746425903658877
"Flrt1","Unc5b",0.348112965830971
"Flrt2","Unc5b",0.348112965830971
"Il1b","Il1r1",1.58325918146962
"Il1b","Il1rap",0.912480158527143
"Lama2","Dag1",1.13758264982166
"Lama2","Itga1",0.516070952617506
"Lama2","Itga9",0.543348421342934
"Lama2","Itgb1",0.666722292616309
"Lama2","Rpsa",0.383700402695029
"Sema6d","Plxna1",0.8898253278982
"Sema6d","Plxnc1",0.433890844031451
"Sema6d","Tyrobp",0.766378395071111
