"from","to","weight"
"Angptl4","Cdh5",0.349779127980551
"Angptl4","Gpihbp1",0.84638230096034
"Angptl4","Itga5",0.108359105297036
"Angptl4","Itgav",0.107815039491882
"Angptl4","Itgb1",0.487074569070585
"Angptl4","Lpl",1.25388495068933
"Angptl4","Sdc3",0.355963819526152
"Angptl4","Sdc4",0.465751067673871
"Cklf","Lrp6",0.395382949929691
"Dbh","Adrb1",0.540855405834905
"Dbh","Adrb2",0.473063278254016
"Edn1","Ece1",0.986976945994064
"Edn1","Ednrb",1.21335829107346
"Epha4","Fgfr1",0.746425903658877
"Fgf7","Fgfr1",1.10200695559717
"Fgf7","Nrp1",0.575526650411952
"Il1b","Adrb2",0.585561451793191
"Pdgfb","Lrp1",0.95643738404163
"Pf4","Ldlr",0.488708246206022
"Pf4","Thbd",0.740160412742221
"Tnf","Ltbr",0.661414633896396
"Tnf","Tnfrsf1a",1.39928762855151
"Tnf","Tnfrsf1b",1.04500921780111
"Tnf","Tnfrsf21",0.431636552097608
"Tnf","Traf2",1.62735488403067
