"from","to","weight"
"Ahsg","Insr",0.45989026849501
"Furin","Adam19",0.588902831175984
"Furin","Adamts1",0.683435873929361
"Furin","Bace1",0.906432359233117
"Furin","Insr",0.325243423136767
"Furin","Lrp1",0.739475709621738
"Furin","Notch1",1.0193912618805
"Il1b","Il1r1",1.58325918146962
"Il1b","Il1rap",0.912480158527143
"Jag1","Notch1",1.45008161420581
"Jag1","Notch2",0.98124977010728
"Jag2","Notch1",1.1557346418677
"Jag2","Notch2",0.98124977010728
"Jam2","F11r",0.427849471183951
"Jam2","Itga3",0.114401719061849
"Jam2","Itgav",0.107815039491882
"Jam2","Itgb1",0.512869647149857
"Jam2","Jam2",0.181195092966799
"Jam2","Jam3",1.39728004607695
"Ltbp1","Itgb5",0.385907875452548
"Mmp15","Ddr1",0.340783575908639
"Mxra8","Jam3",0.433890844031451
"Tnf","Ltbr",0.661414633896396
"Tnf","Tnfrsf1a",1.39928762855151
"Tnf","Traf2",1.62735488403067
